기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,전주시 완산구,외지인방문자(b),1633071.0,0.0
201901,전주시 완산구,외국인방문자(c),13520.0,0.0
201901,전주시 완산구,외부방문자(b+c),1646590.0,0.0
201902,전주시 완산구,외지인방문자(b),2048117.0,0.0
201902,전주시 완산구,외국인방문자(c),14449.0,0.0
201902,전주시 완산구,외부방문자(b+c),2062566.0,0.0
201903,전주시 완산구,외지인방문자(b),1840252.0,0.0
201903,전주시 완산구,외국인방문자(c),16822.0,0.0
201903,전주시 완산구,외부방문자(b+c),1857074.0,0.0
201904,전주시 완산구,외지인방문자(b),1752854.0,0.0
201904,전주시 완산구,외국인방문자(c),18495.0,0.0
201904,전주시 완산구,외부방문자(b+c),1771348.0,0.0
201905,전주시 완산구,외지인방문자(b),2007212.0,0.0
201905,전주시 완산구,외국인방문자(c),19508.0,0.0
201905,전주시 완산구,외부방문자(b+c),2026719.0,0.0
201906,전주시 완산구,외지인방문자(b),1740119.0,0.0
201906,전주시 완산구,외국인방문자(c),16886.0,0.0
201906,전주시 완산구,외부방문자(b+c),1757005.0,0.0
201907,전주시 완산구,외지인방문자(b),1604947.0,0.0
201907,전주시 완산구,외국인방문자(c),19307.0,0.0
201907,전주시 완산구,외부방문자(b+c),1624254.0,0.0
201908,전주시 완산구,외지인방문자(b),1845798.0,0.0
201908,전주시 완산구,외국인방문자(c),17700.0,0.0
201908,전주시 완산구,외부방문자(b+c),1863498.0,0.0
201909,전주시 완산구,외지인방문자(b),1789640.0,0.0
201909,전주시 완산구,외국인방문자(c),19180.0,0.0
201909,전주시 완산구,외부방문자(b+c),1808821.0,0.0
201910,전주시 완산구,외지인방문자(b),1741752.0,0.0
201910,전주시 완산구,외국인방문자(c),25264.0,0.0
201910,전주시 완산구,외부방문자(b+c),1767015.0,0.0
201911,전주시 완산구,외지인방문자(b),1721662.0,0.0
201911,전주시 완산구,외국인방문자(c),23684.0,0.0
201911,전주시 완산구,외부방문자(b+c),1745346.0,0.0
201912,전주시 완산구,외지인방문자(b),1792794.0,0.0
201912,전주시 완산구,외국인방문자(c),19608.0,0.0
201912,전주시 완산구,외부방문자(b+c),1812402.0,0.0
