기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,군산시,외지인방문자(b),794211.0,0.0
201901,군산시,외국인방문자(c),39071.0,0.0
201901,군산시,외부방문자(b+c),833282.0,0.0
201902,군산시,외지인방문자(b),973244.0,0.0
201902,군산시,외국인방문자(c),31584.0,0.0
201902,군산시,외부방문자(b+c),1004828.0,0.0
201903,군산시,외지인방문자(b),903278.0,0.0
201903,군산시,외국인방문자(c),39144.0,0.0
201903,군산시,외부방문자(b+c),942422.0,0.0
201904,군산시,외지인방문자(b),974408.0,0.0
201904,군산시,외국인방문자(c),43089.0,0.0
201904,군산시,외부방문자(b+c),1017496.0,0.0
201905,군산시,외지인방문자(b),1108992.0,0.0
201905,군산시,외국인방문자(c),43320.0,0.0
201905,군산시,외부방문자(b+c),1152312.0,0.0
201906,군산시,외지인방문자(b),1044055.0,0.0
201906,군산시,외국인방문자(c),38902.0,0.0
201906,군산시,외부방문자(b+c),1082957.0,0.0
201907,군산시,외지인방문자(b),906005.0,0.0
201907,군산시,외국인방문자(c),45282.0,0.0
201907,군산시,외부방문자(b+c),951288.0,0.0
201908,군산시,외지인방문자(b),1241008.0,0.0
201908,군산시,외국인방문자(c),43978.0,0.0
201908,군산시,외부방문자(b+c),1284986.0,0.0
201909,군산시,외지인방문자(b),1184702.0,0.0
201909,군산시,외국인방문자(c),51556.0,0.0
201909,군산시,외부방문자(b+c),1236257.0,0.0
201910,군산시,외지인방문자(b),1206961.0,0.0
201910,군산시,외국인방문자(c),60659.0,0.0
201910,군산시,외부방문자(b+c),1267620.0,0.0
201911,군산시,외지인방문자(b),1054748.0,0.0
201911,군산시,외국인방문자(c),51248.0,0.0
201911,군산시,외부방문자(b+c),1105996.0,0.0
201912,군산시,외지인방문자(b),906212.0,0.0
201912,군산시,외국인방문자(c),47390.0,0.0
201912,군산시,외부방문자(b+c),953602.0,0.0
