기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,무주군,외지인방문자(b),719496.0,0.0
201901,무주군,외국인방문자(c),1839.0,0.0
201901,무주군,외부방문자(b+c),721335.0,0.0
201902,무주군,외지인방문자(b),559653.0,0.0
201902,무주군,외국인방문자(c),1983.0,0.0
201902,무주군,외부방문자(b+c),561635.0,0.0
201903,무주군,외지인방문자(b),230850.0,0.0
201903,무주군,외국인방문자(c),2338.0,0.0
201903,무주군,외부방문자(b+c),233189.0,0.0
201904,무주군,외지인방문자(b),233428.0,0.0
201904,무주군,외국인방문자(c),2270.0,0.0
201904,무주군,외부방문자(b+c),235698.0,0.0
201905,무주군,외지인방문자(b),337994.0,0.0
201905,무주군,외국인방문자(c),2435.0,0.0
201905,무주군,외부방문자(b+c),340429.0,0.0
201906,무주군,외지인방문자(b),345803.0,0.0
201906,무주군,외국인방문자(c),2353.0,0.0
201906,무주군,외부방문자(b+c),348155.0,0.0
201907,무주군,외지인방문자(b),445917.0,0.0
201907,무주군,외국인방문자(c),2442.0,0.0
201907,무주군,외부방문자(b+c),448359.0,0.0
201908,무주군,외지인방문자(b),818596.0,0.0
201908,무주군,외국인방문자(c),3865.0,0.0
201908,무주군,외부방문자(b+c),822462.0,0.0
201909,무주군,외지인방문자(b),383828.0,0.0
201909,무주군,외국인방문자(c),3684.0,0.0
201909,무주군,외부방문자(b+c),387512.0,0.0
201910,무주군,외지인방문자(b),333554.0,0.0
201910,무주군,외국인방문자(c),3539.0,0.0
201910,무주군,외부방문자(b+c),337093.0,0.0
201911,무주군,외지인방문자(b),334547.0,0.0
201911,무주군,외국인방문자(c),2810.0,0.0
201911,무주군,외부방문자(b+c),337357.0,0.0
201912,무주군,외지인방문자(b),453818.0,0.0
201912,무주군,외국인방문자(c),2098.0,0.0
201912,무주군,외부방문자(b+c),455916.0,0.0
