기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,완주군,외지인방문자(b),610809.0,0.0
201901,완주군,외국인방문자(c),9162.0,0.0
201901,완주군,외부방문자(b+c),619970.0,0.0
201902,완주군,외지인방문자(b),724602.0,0.0
201902,완주군,외국인방문자(c),8851.0,0.0
201902,완주군,외부방문자(b+c),733454.0,0.0
201903,완주군,외지인방문자(b),663942.0,0.0
201903,완주군,외국인방문자(c),11728.0,0.0
201903,완주군,외부방문자(b+c),675670.0,0.0
201904,완주군,외지인방문자(b),759572.0,0.0
201904,완주군,외국인방문자(c),10669.0,0.0
201904,완주군,외부방문자(b+c),770241.0,0.0
201905,완주군,외지인방문자(b),849973.0,0.0
201905,완주군,외국인방문자(c),11466.0,0.0
201905,완주군,외부방문자(b+c),861440.0,0.0
201906,완주군,외지인방문자(b),895091.0,0.0
201906,완주군,외국인방문자(c),9761.0,0.0
201906,완주군,외부방문자(b+c),904852.0,0.0
201907,완주군,외지인방문자(b),1062408.0,0.0
201907,완주군,외국인방문자(c),8430.0,0.0
201907,완주군,외부방문자(b+c),1070837.0,0.0
201908,완주군,외지인방문자(b),1449619.0,0.0
201908,완주군,외국인방문자(c),7801.0,0.0
201908,완주군,외부방문자(b+c),1457420.0,0.0
201909,완주군,외지인방문자(b),942127.0,0.0
201909,완주군,외국인방문자(c),13318.0,0.0
201909,완주군,외부방문자(b+c),955445.0,0.0
201910,완주군,외지인방문자(b),879403.0,0.0
201910,완주군,외국인방문자(c),14286.0,0.0
201910,완주군,외부방문자(b+c),893689.0,0.0
201911,완주군,외지인방문자(b),861060.0,0.0
201911,완주군,외국인방문자(c),13280.0,0.0
201911,완주군,외부방문자(b+c),874341.0,0.0
201912,완주군,외지인방문자(b),736160.0,0.0
201912,완주군,외국인방문자(c),9820.0,0.0
201912,완주군,외부방문자(b+c),745980.0,0.0
