기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,장수군,외지인방문자(b),90907.0,0.0
201901,장수군,외국인방문자(c),569.0,0.0
201901,장수군,외부방문자(b+c),91476.0,0.0
201902,장수군,외지인방문자(b),176121.0,0.0
201902,장수군,외국인방문자(c),694.0,0.0
201902,장수군,외부방문자(b+c),176815.0,0.0
201903,장수군,외지인방문자(b),123153.0,0.0
201903,장수군,외국인방문자(c),804.0,0.0
201903,장수군,외부방문자(b+c),123957.0,0.0
201904,장수군,외지인방문자(b),141405.0,0.0
201904,장수군,외국인방문자(c),1203.0,0.0
201904,장수군,외부방문자(b+c),142608.0,0.0
201905,장수군,외지인방문자(b),195531.0,0.0
201905,장수군,외국인방문자(c),1109.0,0.0
201905,장수군,외부방문자(b+c),196640.0,0.0
201906,장수군,외지인방문자(b),164002.0,0.0
201906,장수군,외국인방문자(c),829.0,0.0
201906,장수군,외부방문자(b+c),164830.0,0.0
201907,장수군,외지인방문자(b),201117.0,0.0
201907,장수군,외국인방문자(c),938.0,0.0
201907,장수군,외부방문자(b+c),202055.0,0.0
201908,장수군,외지인방문자(b),343495.0,0.0
201908,장수군,외국인방문자(c),1282.0,0.0
201908,장수군,외부방문자(b+c),344777.0,0.0
201909,장수군,외지인방문자(b),250140.0,0.0
201909,장수군,외국인방문자(c),1262.0,0.0
201909,장수군,외부방문자(b+c),251402.0,0.0
201910,장수군,외지인방문자(b),152710.0,0.0
201910,장수군,외국인방문자(c),1488.0,0.0
201910,장수군,외부방문자(b+c),154198.0,0.0
201911,장수군,외지인방문자(b),174261.0,0.0
201911,장수군,외국인방문자(c),1242.0,0.0
201911,장수군,외부방문자(b+c),175502.0,0.0
201912,장수군,외지인방문자(b),103735.0,0.0
201912,장수군,외국인방문자(c),659.0,0.0
201912,장수군,외부방문자(b+c),104393.0,0.0
