기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,정읍시,외지인방문자(b),334094.0,0.0
201901,정읍시,외국인방문자(c),4675.0,0.0
201901,정읍시,외부방문자(b+c),338769.0,0.0
201902,정읍시,외지인방문자(b),547297.0,0.0
201902,정읍시,외국인방문자(c),4671.0,0.0
201902,정읍시,외부방문자(b+c),551968.0,0.0
201903,정읍시,외지인방문자(b),378318.0,0.0
201903,정읍시,외국인방문자(c),5881.0,0.0
201903,정읍시,외부방문자(b+c),384199.0,0.0
201904,정읍시,외지인방문자(b),407961.0,0.0
201904,정읍시,외국인방문자(c),5867.0,0.0
201904,정읍시,외부방문자(b+c),413828.0,0.0
201905,정읍시,외지인방문자(b),481206.0,0.0
201905,정읍시,외국인방문자(c),5869.0,0.0
201905,정읍시,외부방문자(b+c),487075.0,0.0
201906,정읍시,외지인방문자(b),423993.0,0.0
201906,정읍시,외국인방문자(c),5441.0,0.0
201906,정읍시,외부방문자(b+c),429434.0,0.0
201907,정읍시,외지인방문자(b),428320.0,0.0
201907,정읍시,외국인방문자(c),6394.0,0.0
201907,정읍시,외부방문자(b+c),434714.0,0.0
201908,정읍시,외지인방문자(b),568908.0,0.0
201908,정읍시,외국인방문자(c),5347.0,0.0
201908,정읍시,외부방문자(b+c),574254.0,0.0
201909,정읍시,외지인방문자(b),651357.0,0.0
201909,정읍시,외국인방문자(c),5935.0,0.0
201909,정읍시,외부방문자(b+c),657292.0,0.0
201910,정읍시,외지인방문자(b),657510.0,0.0
201910,정읍시,외국인방문자(c),11100.0,0.0
201910,정읍시,외부방문자(b+c),668610.0,0.0
201911,정읍시,외지인방문자(b),831006.0,0.0
201911,정읍시,외국인방문자(c),13669.0,0.0
201911,정읍시,외부방문자(b+c),844676.0,0.0
201912,정읍시,외지인방문자(b),391571.0,0.0
201912,정읍시,외국인방문자(c),6113.0,0.0
201912,정읍시,외부방문자(b+c),397684.0,0.0
