기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,김제시,외지인방문자(b),370896.0,0.0
201901,김제시,외국인방문자(c),4100.0,0.0
201901,김제시,외부방문자(b+c),374996.0,0.0
201902,김제시,외지인방문자(b),543541.0,0.0
201902,김제시,외국인방문자(c),3839.0,0.0
201902,김제시,외부방문자(b+c),547381.0,0.0
201903,김제시,외지인방문자(b),396966.0,0.0
201903,김제시,외국인방문자(c),4704.0,0.0
201903,김제시,외부방문자(b+c),401670.0,0.0
201904,김제시,외지인방문자(b),447333.0,0.0
201904,김제시,외국인방문자(c),6023.0,0.0
201904,김제시,외부방문자(b+c),453356.0,0.0
201905,김제시,외지인방문자(b),508393.0,0.0
201905,김제시,외국인방문자(c),5976.0,0.0
201905,김제시,외부방문자(b+c),514369.0,0.0
201906,김제시,외지인방문자(b),450770.0,0.0
201906,김제시,외국인방문자(c),5468.0,0.0
201906,김제시,외부방문자(b+c),456238.0,0.0
201907,김제시,외지인방문자(b),432085.0,0.0
201907,김제시,외국인방문자(c),6144.0,0.0
201907,김제시,외부방문자(b+c),438229.0,0.0
201908,김제시,외지인방문자(b),504286.0,0.0
201908,김제시,외국인방문자(c),5701.0,0.0
201908,김제시,외부방문자(b+c),509987.0,0.0
201909,김제시,외지인방문자(b),662868.0,0.0
201909,김제시,외국인방문자(c),5367.0,0.0
201909,김제시,외부방문자(b+c),668235.0,0.0
201910,김제시,외지인방문자(b),518814.0,0.0
201910,김제시,외국인방문자(c),7205.0,0.0
201910,김제시,외부방문자(b+c),526019.0,0.0
201911,김제시,외지인방문자(b),523447.0,0.0
201911,김제시,외국인방문자(c),7450.0,0.0
201911,김제시,외부방문자(b+c),530897.0,0.0
201912,김제시,외지인방문자(b),416038.0,0.0
201912,김제시,외국인방문자(c),5793.0,0.0
201912,김제시,외부방문자(b+c),421831.0,0.0
