기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,부안군,외지인방문자(b),416882.0,0.0
201901,부안군,외국인방문자(c),7096.0,0.0
201901,부안군,외부방문자(b+c),423978.0,0.0
201902,부안군,외지인방문자(b),560607.0,0.0
201902,부안군,외국인방문자(c),6273.0,0.0
201902,부안군,외부방문자(b+c),566880.0,0.0
201903,부안군,외지인방문자(b),482496.0,0.0
201903,부안군,외국인방문자(c),8090.0,0.0
201903,부안군,외부방문자(b+c),490586.0,0.0
201904,부안군,외지인방문자(b),549230.0,0.0
201904,부안군,외국인방문자(c),8355.0,0.0
201904,부안군,외부방문자(b+c),557585.0,0.0
201905,부안군,외지인방문자(b),679938.0,0.0
201905,부안군,외국인방문자(c),9742.0,0.0
201905,부안군,외부방문자(b+c),689680.0,0.0
201906,부안군,외지인방문자(b),640576.0,0.0
201906,부안군,외국인방문자(c),8840.0,0.0
201906,부안군,외부방문자(b+c),649415.0,0.0
201907,부안군,외지인방문자(b),645240.0,0.0
201907,부안군,외국인방문자(c),8747.0,0.0
201907,부안군,외부방문자(b+c),653987.0,0.0
201908,부안군,외지인방문자(b),966662.0,0.0
201908,부안군,외국인방문자(c),10892.0,0.0
201908,부안군,외부방문자(b+c),977554.0,0.0
201909,부안군,외지인방문자(b),687714.0,0.0
201909,부안군,외국인방문자(c),11329.0,0.0
201909,부안군,외부방문자(b+c),699043.0,0.0
201910,부안군,외지인방문자(b),651323.0,0.0
201910,부안군,외국인방문자(c),11670.0,0.0
201910,부안군,외부방문자(b+c),662992.0,0.0
201911,부안군,외지인방문자(b),624078.0,0.0
201911,부안군,외국인방문자(c),9775.0,0.0
201911,부안군,외부방문자(b+c),633853.0,0.0
201912,부안군,외지인방문자(b),485345.0,0.0
201912,부안군,외국인방문자(c),8314.0,0.0
201912,부안군,외부방문자(b+c),493659.0,0.0
