기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,익산시,외지인방문자(b),736409.0,0.0
201901,익산시,외국인방문자(c),11059.0,0.0
201901,익산시,외부방문자(b+c),747468.0,0.0
201902,익산시,외지인방문자(b),1011816.0,0.0
201902,익산시,외국인방문자(c),10969.0,0.0
201902,익산시,외부방문자(b+c),1022785.0,0.0
201903,익산시,외지인방문자(b),787586.0,0.0
201903,익산시,외국인방문자(c),16759.0,0.0
201903,익산시,외부방문자(b+c),804346.0,0.0
201904,익산시,외지인방문자(b),794380.0,0.0
201904,익산시,외국인방문자(c),16216.0,0.0
201904,익산시,외부방문자(b+c),810596.0,0.0
201905,익산시,외지인방문자(b),979352.0,0.0
201905,익산시,외국인방문자(c),17733.0,0.0
201905,익산시,외부방문자(b+c),997085.0,0.0
201906,익산시,외지인방문자(b),830784.0,0.0
201906,익산시,외국인방문자(c),15317.0,0.0
201906,익산시,외부방문자(b+c),846101.0,0.0
201907,익산시,외지인방문자(b),791212.0,0.0
201907,익산시,외국인방문자(c),14104.0,0.0
201907,익산시,외부방문자(b+c),805316.0,0.0
201908,익산시,외지인방문자(b),896552.0,0.0
201908,익산시,외국인방문자(c),13982.0,0.0
201908,익산시,외부방문자(b+c),910535.0,0.0
201909,익산시,외지인방문자(b),1060491.0,0.0
201909,익산시,외국인방문자(c),17727.0,0.0
201909,익산시,외부방문자(b+c),1078217.0,0.0
201910,익산시,외지인방문자(b),831116.0,0.0
201910,익산시,외국인방문자(c),18941.0,0.0
201910,익산시,외부방문자(b+c),850057.0,0.0
201911,익산시,외지인방문자(b),875711.0,0.0
201911,익산시,외국인방문자(c),17610.0,0.0
201911,익산시,외부방문자(b+c),893320.0,0.0
201912,익산시,외지인방문자(b),828349.0,0.0
201912,익산시,외국인방문자(c),15396.0,0.0
201912,익산시,외부방문자(b+c),843745.0,0.0
