기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,전주시 덕진구,외지인방문자(b),1276861.0,0.0
201901,전주시 덕진구,외국인방문자(c),10290.0,0.0
201901,전주시 덕진구,외부방문자(b+c),1287151.0,0.0
201902,전주시 덕진구,외지인방문자(b),1328999.0,0.0
201902,전주시 덕진구,외국인방문자(c),10031.0,0.0
201902,전주시 덕진구,외부방문자(b+c),1339030.0,0.0
201903,전주시 덕진구,외지인방문자(b),1256358.0,0.0
201903,전주시 덕진구,외국인방문자(c),12116.0,0.0
201903,전주시 덕진구,외부방문자(b+c),1268474.0,0.0
201904,전주시 덕진구,외지인방문자(b),1255854.0,0.0
201904,전주시 덕진구,외국인방문자(c),11374.0,0.0
201904,전주시 덕진구,외부방문자(b+c),1267229.0,0.0
201905,전주시 덕진구,외지인방문자(b),1361899.0,0.0
201905,전주시 덕진구,외국인방문자(c),12210.0,0.0
201905,전주시 덕진구,외부방문자(b+c),1374108.0,0.0
201906,전주시 덕진구,외지인방문자(b),1302764.0,0.0
201906,전주시 덕진구,외국인방문자(c),11487.0,0.0
201906,전주시 덕진구,외부방문자(b+c),1314251.0,0.0
201907,전주시 덕진구,외지인방문자(b),1265822.0,0.0
201907,전주시 덕진구,외국인방문자(c),13179.0,0.0
201907,전주시 덕진구,외부방문자(b+c),1279000.0,0.0
201908,전주시 덕진구,외지인방문자(b),1403501.0,0.0
201908,전주시 덕진구,외국인방문자(c),13654.0,0.0
201908,전주시 덕진구,외부방문자(b+c),1417155.0,0.0
201909,전주시 덕진구,외지인방문자(b),1453196.0,0.0
201909,전주시 덕진구,외국인방문자(c),16086.0,0.0
201909,전주시 덕진구,외부방문자(b+c),1469282.0,0.0
201910,전주시 덕진구,외지인방문자(b),1340452.0,0.0
201910,전주시 덕진구,외국인방문자(c),16638.0,0.0
201910,전주시 덕진구,외부방문자(b+c),1357089.0,0.0
201911,전주시 덕진구,외지인방문자(b),1315699.0,0.0
201911,전주시 덕진구,외국인방문자(c),15421.0,0.0
201911,전주시 덕진구,외부방문자(b+c),1331120.0,0.0
201912,전주시 덕진구,외지인방문자(b),1353393.0,0.0
201912,전주시 덕진구,외국인방문자(c),14041.0,0.0
201912,전주시 덕진구,외부방문자(b+c),1367434.0,0.0
