기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,진안군,외지인방문자(b),155849.0,0.0
201901,진안군,외국인방문자(c),795.0,0.0
201901,진안군,외부방문자(b+c),156644.0,0.0
201902,진안군,외지인방문자(b),240169.0,0.0
201902,진안군,외국인방문자(c),639.0,0.0
201902,진안군,외부방문자(b+c),240808.0,0.0
201903,진안군,외지인방문자(b),192833.0,0.0
201903,진안군,외국인방문자(c),712.0,0.0
201903,진안군,외부방문자(b+c),193545.0,0.0
201904,진안군,외지인방문자(b),325932.0,0.0
201904,진안군,외국인방문자(c),1389.0,0.0
201904,진안군,외부방문자(b+c),327322.0,0.0
201905,진안군,외지인방문자(b),314263.0,0.0
201905,진안군,외국인방문자(c),1069.0,0.0
201905,진안군,외부방문자(b+c),315333.0,0.0
201906,진안군,외지인방문자(b),259218.0,0.0
201906,진안군,외국인방문자(c),862.0,0.0
201906,진안군,외부방문자(b+c),260079.0,0.0
201907,진안군,외지인방문자(b),288114.0,0.0
201907,진안군,외국인방문자(c),1000.0,0.0
201907,진안군,외부방문자(b+c),289114.0,0.0
201908,진안군,외지인방문자(b),449161.0,0.0
201908,진안군,외국인방문자(c),1367.0,0.0
201908,진안군,외부방문자(b+c),450529.0,0.0
201909,진안군,외지인방문자(b),329401.0,0.0
201909,진안군,외국인방문자(c),1393.0,0.0
201909,진안군,외부방문자(b+c),330793.0,0.0
201910,진안군,외지인방문자(b),305613.0,0.0
201910,진안군,외국인방문자(c),2356.0,0.0
201910,진안군,외부방문자(b+c),307968.0,0.0
201911,진안군,외지인방문자(b),283662.0,0.0
201911,진안군,외국인방문자(c),2151.0,0.0
201911,진안군,외부방문자(b+c),285813.0,0.0
201912,진안군,외지인방문자(b),166686.0,0.0
201912,진안군,외국인방문자(c),1081.0,0.0
201912,진안군,외부방문자(b+c),167767.0,0.0
