기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,서귀포시,외지인방문자(b),2228235.0,0.0
201901,서귀포시,외국인방문자(c),162621.0,0.0
201901,서귀포시,외부방문자(b+c),2390855.0,0.0
201902,서귀포시,외지인방문자(b),2133629.0,0.0
201902,서귀포시,외국인방문자(c),126373.0,0.0
201902,서귀포시,외부방문자(b+c),2260002.0,0.0
201903,서귀포시,외지인방문자(b),2118444.0,0.0
201903,서귀포시,외국인방문자(c),130607.0,0.0
201903,서귀포시,외부방문자(b+c),2249050.0,0.0
201904,서귀포시,외지인방문자(b),2413681.0,0.0
201904,서귀포시,외국인방문자(c),147094.0,0.0
201904,서귀포시,외부방문자(b+c),2560775.0,0.0
201905,서귀포시,외지인방문자(b),2620010.0,0.0
201905,서귀포시,외국인방문자(c),168997.0,0.0
201905,서귀포시,외부방문자(b+c),2789007.0,0.0
201906,서귀포시,외지인방문자(b),2479406.0,0.0
201906,서귀포시,외국인방문자(c),164306.0,0.0
201906,서귀포시,외부방문자(b+c),2643711.0,0.0
201907,서귀포시,외지인방문자(b),2538364.0,0.0
201907,서귀포시,외국인방문자(c),163180.0,0.0
201907,서귀포시,외부방문자(b+c),2701543.0,0.0
201908,서귀포시,외지인방문자(b),3162381.0,0.0
201908,서귀포시,외국인방문자(c),187061.0,0.0
201908,서귀포시,외부방문자(b+c),3349442.0,0.0
201909,서귀포시,외지인방문자(b),2184666.0,0.0
201909,서귀포시,외국인방문자(c),162759.0,0.0
201909,서귀포시,외부방문자(b+c),2347425.0,0.0
201910,서귀포시,외지인방문자(b),2723649.0,0.0
201910,서귀포시,외국인방문자(c),214443.0,0.0
201910,서귀포시,외부방문자(b+c),2938092.0,0.0
201911,서귀포시,외지인방문자(b),2409776.0,0.0
201911,서귀포시,외국인방문자(c),177303.0,0.0
201911,서귀포시,외부방문자(b+c),2587079.0,0.0
201912,서귀포시,외지인방문자(b),2426479.0,0.0
201912,서귀포시,외국인방문자(c),189131.0,0.0
201912,서귀포시,외부방문자(b+c),2615609.0,0.0
