기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,제주시,외지인방문자(b),2446837.0,0.0
201901,제주시,외국인방문자(c),376032.0,0.0
201901,제주시,외부방문자(b+c),2822868.0,0.0
201902,제주시,외지인방문자(b),2330294.0,0.0
201902,제주시,외국인방문자(c),299720.0,0.0
201902,제주시,외부방문자(b+c),2630014.0,0.0
201903,제주시,외지인방문자(b),2434262.0,0.0
201903,제주시,외국인방문자(c),320763.0,0.0
201903,제주시,외부방문자(b+c),2755024.0,0.0
201904,제주시,외지인방문자(b),2666937.0,0.0
201904,제주시,외국인방문자(c),354857.0,0.0
201904,제주시,외부방문자(b+c),3021794.0,0.0
201905,제주시,외지인방문자(b),2839029.0,0.0
201905,제주시,외국인방문자(c),369460.0,0.0
201905,제주시,외부방문자(b+c),3208489.0,0.0
201906,제주시,외지인방문자(b),2843883.0,0.0
201906,제주시,외국인방문자(c),367926.0,0.0
201906,제주시,외부방문자(b+c),3211809.0,0.0
201907,제주시,외지인방문자(b),2912421.0,0.0
201907,제주시,외국인방문자(c),399131.0,0.0
201907,제주시,외부방문자(b+c),3311551.0,0.0
201908,제주시,외지인방문자(b),3632006.0,0.0
201908,제주시,외국인방문자(c),459731.0,0.0
201908,제주시,외부방문자(b+c),4091737.0,0.0
201909,제주시,외지인방문자(b),2480699.0,0.0
201909,제주시,외국인방문자(c),425449.0,0.0
201909,제주시,외부방문자(b+c),2906148.0,0.0
201910,제주시,외지인방문자(b),3080002.0,0.0
201910,제주시,외국인방문자(c),477145.0,0.0
201910,제주시,외부방문자(b+c),3557147.0,0.0
201911,제주시,외지인방문자(b),2741184.0,0.0
201911,제주시,외국인방문자(c),393047.0,0.0
201911,제주시,외부방문자(b+c),3134231.0,0.0
201912,제주시,외지인방문자(b),2606084.0,0.0
201912,제주시,외국인방문자(c),440495.0,0.0
201912,제주시,외부방문자(b+c),3046579.0,0.0
