기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,계룡시,외지인방문자(b),168310.0,0.0
201901,계룡시,외국인방문자(c),1013.0,0.0
201901,계룡시,외부방문자(b+c),169323.0,0.0
201902,계룡시,외지인방문자(b),185671.0,0.0
201902,계룡시,외국인방문자(c),839.0,0.0
201902,계룡시,외부방문자(b+c),186510.0,0.0
201903,계룡시,외지인방문자(b),172617.0,0.0
201903,계룡시,외국인방문자(c),1008.0,0.0
201903,계룡시,외부방문자(b+c),173625.0,0.0
201904,계룡시,외지인방문자(b),174366.0,0.0
201904,계룡시,외국인방문자(c),1067.0,0.0
201904,계룡시,외부방문자(b+c),175433.0,0.0
201905,계룡시,외지인방문자(b),191279.0,0.0
201905,계룡시,외국인방문자(c),1084.0,0.0
201905,계룡시,외부방문자(b+c),192362.0,0.0
201906,계룡시,외지인방문자(b),179973.0,0.0
201906,계룡시,외국인방문자(c),999.0,0.0
201906,계룡시,외부방문자(b+c),180971.0,0.0
201907,계룡시,외지인방문자(b),178867.0,0.0
201907,계룡시,외국인방문자(c),1210.0,0.0
201907,계룡시,외부방문자(b+c),180077.0,0.0
201908,계룡시,외지인방문자(b),197899.0,0.0
201908,계룡시,외국인방문자(c),1069.0,0.0
201908,계룡시,외부방문자(b+c),198968.0,0.0
201909,계룡시,외지인방문자(b),205973.0,0.0
201909,계룡시,외국인방문자(c),1019.0,0.0
201909,계룡시,외부방문자(b+c),206992.0,0.0
201910,계룡시,외지인방문자(b),232066.0,0.0
201910,계룡시,외국인방문자(c),1489.0,0.0
201910,계룡시,외부방문자(b+c),233554.0,0.0
201911,계룡시,외지인방문자(b),179744.0,0.0
201911,계룡시,외국인방문자(c),1062.0,0.0
201911,계룡시,외부방문자(b+c),180806.0,0.0
201912,계룡시,외지인방문자(b),174471.0,0.0
201912,계룡시,외국인방문자(c),1150.0,0.0
201912,계룡시,외부방문자(b+c),175621.0,0.0
