기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,논산시,외지인방문자(b),535387.0,0.0
201901,논산시,외국인방문자(c),8236.0,0.0
201901,논산시,외부방문자(b+c),543624.0,0.0
201902,논산시,외지인방문자(b),749530.0,0.0
201902,논산시,외국인방문자(c),8469.0,0.0
201902,논산시,외부방문자(b+c),757999.0,0.0
201903,논산시,외지인방문자(b),626225.0,0.0
201903,논산시,외국인방문자(c),11353.0,0.0
201903,논산시,외부방문자(b+c),637578.0,0.0
201904,논산시,외지인방문자(b),623748.0,0.0
201904,논산시,외국인방문자(c),11168.0,0.0
201904,논산시,외부방문자(b+c),634915.0,0.0
201905,논산시,외지인방문자(b),717454.0,0.0
201905,논산시,외국인방문자(c),10809.0,0.0
201905,논산시,외부방문자(b+c),728263.0,0.0
201906,논산시,외지인방문자(b),673395.0,0.0
201906,논산시,외국인방문자(c),9306.0,0.0
201906,논산시,외부방문자(b+c),682701.0,0.0
201907,논산시,외지인방문자(b),668039.0,0.0
201907,논산시,외국인방문자(c),9317.0,0.0
201907,논산시,외부방문자(b+c),677356.0,0.0
201908,논산시,외지인방문자(b),817554.0,0.0
201908,논산시,외국인방문자(c),9149.0,0.0
201908,논산시,외부방문자(b+c),826704.0,0.0
201909,논산시,외지인방문자(b),819679.0,0.0
201909,논산시,외국인방문자(c),10907.0,0.0
201909,논산시,외부방문자(b+c),830586.0,0.0
201910,논산시,외지인방문자(b),644305.0,0.0
201910,논산시,외국인방문자(c),12304.0,0.0
201910,논산시,외부방문자(b+c),656609.0,0.0
201911,논산시,외지인방문자(b),662729.0,0.0
201911,논산시,외국인방문자(c),10245.0,0.0
201911,논산시,외부방문자(b+c),672974.0,0.0
201912,논산시,외지인방문자(b),561274.0,0.0
201912,논산시,외국인방문자(c),9707.0,0.0
201912,논산시,외부방문자(b+c),570981.0,0.0
