기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,부여군,외지인방문자(b),325385.0,0.0
201901,부여군,외국인방문자(c),2895.0,0.0
201901,부여군,외부방문자(b+c),328280.0,0.0
201902,부여군,외지인방문자(b),545175.0,0.0
201902,부여군,외국인방문자(c),3007.0,0.0
201902,부여군,외부방문자(b+c),548182.0,0.0
201903,부여군,외지인방문자(b),408431.0,0.0
201903,부여군,외국인방문자(c),3925.0,0.0
201903,부여군,외부방문자(b+c),412357.0,0.0
201904,부여군,외지인방문자(b),451293.0,0.0
201904,부여군,외국인방문자(c),4276.0,0.0
201904,부여군,외부방문자(b+c),455570.0,0.0
201905,부여군,외지인방문자(b),546773.0,0.0
201905,부여군,외국인방문자(c),4257.0,0.0
201905,부여군,외부방문자(b+c),551030.0,0.0
201906,부여군,외지인방문자(b),481316.0,0.0
201906,부여군,외국인방문자(c),3705.0,0.0
201906,부여군,외부방문자(b+c),485021.0,0.0
201907,부여군,외지인방문자(b),566675.0,0.0
201907,부여군,외국인방문자(c),3773.0,0.0
201907,부여군,외부방문자(b+c),570449.0,0.0
201908,부여군,외지인방문자(b),564435.0,0.0
201908,부여군,외국인방문자(c),3992.0,0.0
201908,부여군,외부방문자(b+c),568428.0,0.0
201909,부여군,외지인방문자(b),658978.0,0.0
201909,부여군,외국인방문자(c),4509.0,0.0
201909,부여군,외부방문자(b+c),663487.0,0.0
201910,부여군,외지인방문자(b),575045.0,0.0
201910,부여군,외국인방문자(c),5773.0,0.0
201910,부여군,외부방문자(b+c),580818.0,0.0
201911,부여군,외지인방문자(b),510699.0,0.0
201911,부여군,외국인방문자(c),4830.0,0.0
201911,부여군,외부방문자(b+c),515528.0,0.0
201912,부여군,외지인방문자(b),370966.0,0.0
201912,부여군,외국인방문자(c),3975.0,0.0
201912,부여군,외부방문자(b+c),374941.0,0.0
