기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,아산시,외지인방문자(b),1527428.0,0.0
201901,아산시,외국인방문자(c),34963.0,0.0
201901,아산시,외부방문자(b+c),1562391.0,0.0
201902,아산시,외지인방문자(b),1637533.0,0.0
201902,아산시,외국인방문자(c),36174.0,0.0
201902,아산시,외부방문자(b+c),1673707.0,0.0
201903,아산시,외지인방문자(b),1581195.0,0.0
201903,아산시,외국인방문자(c),43393.0,0.0
201903,아산시,외부방문자(b+c),1624588.0,0.0
201904,아산시,외지인방문자(b),1522935.0,0.0
201904,아산시,외국인방문자(c),38270.0,0.0
201904,아산시,외부방문자(b+c),1561205.0,0.0
201905,아산시,외지인방문자(b),1664469.0,0.0
201905,아산시,외국인방문자(c),42263.0,0.0
201905,아산시,외부방문자(b+c),1706732.0,0.0
201906,아산시,외지인방문자(b),1695917.0,0.0
201906,아산시,외국인방문자(c),39657.0,0.0
201906,아산시,외부방문자(b+c),1735574.0,0.0
201907,아산시,외지인방문자(b),1477400.0,0.0
201907,아산시,외국인방문자(c),40717.0,0.0
201907,아산시,외부방문자(b+c),1518117.0,0.0
201908,아산시,외지인방문자(b),1800252.0,0.0
201908,아산시,외국인방문자(c),42515.0,0.0
201908,아산시,외부방문자(b+c),1842767.0,0.0
201909,아산시,외지인방문자(b),1562346.0,0.0
201909,아산시,외국인방문자(c),46950.0,0.0
201909,아산시,외부방문자(b+c),1609296.0,0.0
201910,아산시,외지인방문자(b),1550878.0,0.0
201910,아산시,외국인방문자(c),48498.0,0.0
201910,아산시,외부방문자(b+c),1599376.0,0.0
201911,아산시,외지인방문자(b),1550773.0,0.0
201911,아산시,외국인방문자(c),44937.0,0.0
201911,아산시,외부방문자(b+c),1595710.0,0.0
201912,아산시,외지인방문자(b),1493046.0,0.0
201912,아산시,외국인방문자(c),40494.0,0.0
201912,아산시,외부방문자(b+c),1533539.0,0.0
