기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,천안시 서북구,외지인방문자(b),1651522.0,0.0
201901,천안시 서북구,외국인방문자(c),30906.0,0.0
201901,천안시 서북구,외부방문자(b+c),1682428.0,0.0
201902,천안시 서북구,외지인방문자(b),1642354.0,0.0
201902,천안시 서북구,외국인방문자(c),29130.0,0.0
201902,천안시 서북구,외부방문자(b+c),1671484.0,0.0
201903,천안시 서북구,외지인방문자(b),1633540.0,0.0
201903,천안시 서북구,외국인방문자(c),34741.0,0.0
201903,천안시 서북구,외부방문자(b+c),1668281.0,0.0
201904,천안시 서북구,외지인방문자(b),1509764.0,0.0
201904,천안시 서북구,외국인방문자(c),36414.0,0.0
201904,천안시 서북구,외부방문자(b+c),1546179.0,0.0
201905,천안시 서북구,외지인방문자(b),1615064.0,0.0
201905,천안시 서북구,외국인방문자(c),38034.0,0.0
201905,천안시 서북구,외부방문자(b+c),1653097.0,0.0
201906,천안시 서북구,외지인방문자(b),1679719.0,0.0
201906,천안시 서북구,외국인방문자(c),37453.0,0.0
201906,천안시 서북구,외부방문자(b+c),1717172.0,0.0
201907,천안시 서북구,외지인방문자(b),1703933.0,0.0
201907,천안시 서북구,외국인방문자(c),36934.0,0.0
201907,천안시 서북구,외부방문자(b+c),1740867.0,0.0
201908,천안시 서북구,외지인방문자(b),1871766.0,0.0
201908,천안시 서북구,외국인방문자(c),37036.0,0.0
201908,천안시 서북구,외부방문자(b+c),1908803.0,0.0
201909,천안시 서북구,외지인방문자(b),1749152.0,0.0
201909,천안시 서북구,외국인방문자(c),39785.0,0.0
201909,천안시 서북구,외부방문자(b+c),1788936.0,0.0
201910,천안시 서북구,외지인방문자(b),1703262.0,0.0
201910,천안시 서북구,외국인방문자(c),41772.0,0.0
201910,천안시 서북구,외부방문자(b+c),1745033.0,0.0
201911,천안시 서북구,외지인방문자(b),1758639.0,0.0
201911,천안시 서북구,외국인방문자(c),37787.0,0.0
201911,천안시 서북구,외부방문자(b+c),1796427.0,0.0
201912,천안시 서북구,외지인방문자(b),1850442.0,0.0
201912,천안시 서북구,외국인방문자(c),36859.0,0.0
201912,천안시 서북구,외부방문자(b+c),1887301.0,0.0
