기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,홍성군,외지인방문자(b),431671.0,0.0
201901,홍성군,외국인방문자(c),4146.0,0.0
201901,홍성군,외부방문자(b+c),435817.0,0.0
201902,홍성군,외지인방문자(b),642056.0,0.0
201902,홍성군,외국인방문자(c),3391.0,0.0
201902,홍성군,외부방문자(b+c),645447.0,0.0
201903,홍성군,외지인방문자(b),492519.0,0.0
201903,홍성군,외국인방문자(c),5003.0,0.0
201903,홍성군,외부방문자(b+c),497522.0,0.0
201904,홍성군,외지인방문자(b),483832.0,0.0
201904,홍성군,외국인방문자(c),6605.0,0.0
201904,홍성군,외부방문자(b+c),490437.0,0.0
201905,홍성군,외지인방문자(b),539998.0,0.0
201905,홍성군,외국인방문자(c),6306.0,0.0
201905,홍성군,외부방문자(b+c),546304.0,0.0
201906,홍성군,외지인방문자(b),500077.0,0.0
201906,홍성군,외국인방문자(c),5399.0,0.0
201906,홍성군,외부방문자(b+c),505476.0,0.0
201907,홍성군,외지인방문자(b),458003.0,0.0
201907,홍성군,외국인방문자(c),5592.0,0.0
201907,홍성군,외부방문자(b+c),463595.0,0.0
201908,홍성군,외지인방문자(b),625173.0,0.0
201908,홍성군,외국인방문자(c),4773.0,0.0
201908,홍성군,외부방문자(b+c),629946.0,0.0
201909,홍성군,외지인방문자(b),724560.0,0.0
201909,홍성군,외국인방문자(c),5381.0,0.0
201909,홍성군,외부방문자(b+c),729941.0,0.0
201910,홍성군,외지인방문자(b),567122.0,0.0
201910,홍성군,외국인방문자(c),6102.0,0.0
201910,홍성군,외부방문자(b+c),573225.0,0.0
201911,홍성군,외지인방문자(b),561113.0,0.0
201911,홍성군,외국인방문자(c),5864.0,0.0
201911,홍성군,외부방문자(b+c),566977.0,0.0
201912,홍성군,외지인방문자(b),464697.0,0.0
201912,홍성군,외국인방문자(c),4907.0,0.0
201912,홍성군,외부방문자(b+c),469604.0,0.0
