기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,공주시,외지인방문자(b),730041.0,0.0
201901,공주시,외국인방문자(c),5771.0,0.0
201901,공주시,외부방문자(b+c),735812.0,0.0
201902,공주시,외지인방문자(b),921445.0,0.0
201902,공주시,외국인방문자(c),6716.0,0.0
201902,공주시,외부방문자(b+c),928161.0,0.0
201903,공주시,외지인방문자(b),834869.0,0.0
201903,공주시,외국인방문자(c),9721.0,0.0
201903,공주시,외부방문자(b+c),844590.0,0.0
201904,공주시,외지인방문자(b),1089819.0,0.0
201904,공주시,외국인방문자(c),9533.0,0.0
201904,공주시,외부방문자(b+c),1099353.0,0.0
201905,공주시,외지인방문자(b),1046606.0,0.0
201905,공주시,외국인방문자(c),9655.0,0.0
201905,공주시,외부방문자(b+c),1056261.0,0.0
201906,공주시,외지인방문자(b),1009791.0,0.0
201906,공주시,외국인방문자(c),8283.0,0.0
201906,공주시,외부방문자(b+c),1018075.0,0.0
201907,공주시,외지인방문자(b),1034025.0,0.0
201907,공주시,외국인방문자(c),9030.0,0.0
201907,공주시,외부방문자(b+c),1043055.0,0.0
201908,공주시,외지인방문자(b),1319745.0,0.0
201908,공주시,외국인방문자(c),9689.0,0.0
201908,공주시,외부방문자(b+c),1329434.0,0.0
201909,공주시,외지인방문자(b),1211630.0,0.0
201909,공주시,외국인방문자(c),10474.0,0.0
201909,공주시,외부방문자(b+c),1222103.0,0.0
201910,공주시,외지인방문자(b),1178152.0,0.0
201910,공주시,외국인방문자(c),11165.0,0.0
201910,공주시,외부방문자(b+c),1189317.0,0.0
201911,공주시,외지인방문자(b),1060771.0,0.0
201911,공주시,외국인방문자(c),9903.0,0.0
201911,공주시,외부방문자(b+c),1070674.0,0.0
201912,공주시,외지인방문자(b),801074.0,0.0
201912,공주시,외국인방문자(c),7844.0,0.0
201912,공주시,외부방문자(b+c),808919.0,0.0
