기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,당진시,외지인방문자(b),643247.0,0.0
201901,당진시,외국인방문자(c),22546.0,0.0
201901,당진시,외부방문자(b+c),665793.0,0.0
201902,당진시,외지인방문자(b),789821.0,0.0
201902,당진시,외국인방문자(c),21965.0,0.0
201902,당진시,외부방문자(b+c),811785.0,0.0
201903,당진시,외지인방문자(b),802618.0,0.0
201903,당진시,외국인방문자(c),25631.0,0.0
201903,당진시,외부방문자(b+c),828248.0,0.0
201904,당진시,외지인방문자(b),862987.0,0.0
201904,당진시,외국인방문자(c),24882.0,0.0
201904,당진시,외부방문자(b+c),887869.0,0.0
201905,당진시,외지인방문자(b),951271.0,0.0
201905,당진시,외국인방문자(c),25453.0,0.0
201905,당진시,외부방문자(b+c),976725.0,0.0
201906,당진시,외지인방문자(b),909606.0,0.0
201906,당진시,외국인방문자(c),23723.0,0.0
201906,당진시,외부방문자(b+c),933329.0,0.0
201907,당진시,외지인방문자(b),755584.0,0.0
201907,당진시,외국인방문자(c),26267.0,0.0
201907,당진시,외부방문자(b+c),781851.0,0.0
201908,당진시,외지인방문자(b),929822.0,0.0
201908,당진시,외국인방문자(c),25690.0,0.0
201908,당진시,외부방문자(b+c),955513.0,0.0
201909,당진시,외지인방문자(b),997245.0,0.0
201909,당진시,외국인방문자(c),26995.0,0.0
201909,당진시,외부방문자(b+c),1024241.0,0.0
201910,당진시,외지인방문자(b),941976.0,0.0
201910,당진시,외국인방문자(c),30880.0,0.0
201910,당진시,외부방문자(b+c),972856.0,0.0
201911,당진시,외지인방문자(b),858289.0,0.0
201911,당진시,외국인방문자(c),29025.0,0.0
201911,당진시,외부방문자(b+c),887314.0,0.0
201912,당진시,외지인방문자(b),698684.0,0.0
201912,당진시,외국인방문자(c),28353.0,0.0
201912,당진시,외부방문자(b+c),727037.0,0.0
