기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,서산시,외지인방문자(b),560700.0,0.0
201901,서산시,외국인방문자(c),17203.0,0.0
201901,서산시,외부방문자(b+c),577903.0,0.0
201902,서산시,외지인방문자(b),760217.0,0.0
201902,서산시,외국인방문자(c),19302.0,0.0
201902,서산시,외부방문자(b+c),779519.0,0.0
201903,서산시,외지인방문자(b),714180.0,0.0
201903,서산시,외국인방문자(c),25845.0,0.0
201903,서산시,외부방문자(b+c),740025.0,0.0
201904,서산시,외지인방문자(b),835712.0,0.0
201904,서산시,외국인방문자(c),25489.0,0.0
201904,서산시,외부방문자(b+c),861200.0,0.0
201905,서산시,외지인방문자(b),912413.0,0.0
201905,서산시,외국인방문자(c),26743.0,0.0
201905,서산시,외부방문자(b+c),939156.0,0.0
201906,서산시,외지인방문자(b),805765.0,0.0
201906,서산시,외국인방문자(c),27025.0,0.0
201906,서산시,외부방문자(b+c),832789.0,0.0
201907,서산시,외지인방문자(b),715698.0,0.0
201907,서산시,외국인방문자(c),22618.0,0.0
201907,서산시,외부방문자(b+c),738316.0,0.0
201908,서산시,외지인방문자(b),893235.0,0.0
201908,서산시,외국인방문자(c),19855.0,0.0
201908,서산시,외부방문자(b+c),913090.0,0.0
201909,서산시,외지인방문자(b),885489.0,0.0
201909,서산시,외국인방문자(c),22527.0,0.0
201909,서산시,외부방문자(b+c),908016.0,0.0
201910,서산시,외지인방문자(b),808224.0,0.0
201910,서산시,외국인방문자(c),25334.0,0.0
201910,서산시,외부방문자(b+c),833558.0,0.0
201911,서산시,외지인방문자(b),771644.0,0.0
201911,서산시,외국인방문자(c),25865.0,0.0
201911,서산시,외부방문자(b+c),797509.0,0.0
201912,서산시,외지인방문자(b),619883.0,0.0
201912,서산시,외국인방문자(c),22125.0,0.0
201912,서산시,외부방문자(b+c),642008.0,0.0
