기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,예산군,외지인방문자(b),539774.0,0.0
201901,예산군,외국인방문자(c),4212.0,0.0
201901,예산군,외부방문자(b+c),543987.0,0.0
201902,예산군,외지인방문자(b),745307.0,0.0
201902,예산군,외국인방문자(c),3947.0,0.0
201902,예산군,외부방문자(b+c),749254.0,0.0
201903,예산군,외지인방문자(b),553564.0,0.0
201903,예산군,외국인방문자(c),6108.0,0.0
201903,예산군,외부방문자(b+c),559672.0,0.0
201904,예산군,외지인방문자(b),677232.0,0.0
201904,예산군,외국인방문자(c),7171.0,0.0
201904,예산군,외부방문자(b+c),684403.0,0.0
201905,예산군,외지인방문자(b),812258.0,0.0
201905,예산군,외국인방문자(c),6770.0,0.0
201905,예산군,외부방문자(b+c),819028.0,0.0
201906,예산군,외지인방문자(b),716535.0,0.0
201906,예산군,외국인방문자(c),5648.0,0.0
201906,예산군,외부방문자(b+c),722184.0,0.0
201907,예산군,외지인방문자(b),642976.0,0.0
201907,예산군,외국인방문자(c),6669.0,0.0
201907,예산군,외부방문자(b+c),649644.0,0.0
201908,예산군,외지인방문자(b),789844.0,0.0
201908,예산군,외국인방문자(c),5862.0,0.0
201908,예산군,외부방문자(b+c),795706.0,0.0
201909,예산군,외지인방문자(b),770101.0,0.0
201909,예산군,외국인방문자(c),6086.0,0.0
201909,예산군,외부방문자(b+c),776187.0,0.0
201910,예산군,외지인방문자(b),706939.0,0.0
201910,예산군,외국인방문자(c),7485.0,0.0
201910,예산군,외부방문자(b+c),714424.0,0.0
201911,예산군,외지인방문자(b),715441.0,0.0
201911,예산군,외국인방문자(c),7017.0,0.0
201911,예산군,외부방문자(b+c),722458.0,0.0
201912,예산군,외지인방문자(b),586592.0,0.0
201912,예산군,외국인방문자(c),5779.0,0.0
201912,예산군,외부방문자(b+c),592370.0,0.0
