기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,청양군,외지인방문자(b),235405.0,0.0
201901,청양군,외국인방문자(c),1089.0,0.0
201901,청양군,외부방문자(b+c),236494.0,0.0
201902,청양군,외지인방문자(b),298434.0,0.0
201902,청양군,외국인방문자(c),1133.0,0.0
201902,청양군,외부방문자(b+c),299567.0,0.0
201903,청양군,외지인방문자(b),208642.0,0.0
201903,청양군,외국인방문자(c),1765.0,0.0
201903,청양군,외부방문자(b+c),210407.0,0.0
201904,청양군,외지인방문자(b),248028.0,0.0
201904,청양군,외국인방문자(c),2009.0,0.0
201904,청양군,외부방문자(b+c),250037.0,0.0
201905,청양군,외지인방문자(b),282461.0,0.0
201905,청양군,외국인방문자(c),1848.0,0.0
201905,청양군,외부방문자(b+c),284310.0,0.0
201906,청양군,외지인방문자(b),256302.0,0.0
201906,청양군,외국인방문자(c),1583.0,0.0
201906,청양군,외부방문자(b+c),257885.0,0.0
201907,청양군,외지인방문자(b),223910.0,0.0
201907,청양군,외국인방문자(c),1536.0,0.0
201907,청양군,외부방문자(b+c),225446.0,0.0
201908,청양군,외지인방문자(b),343452.0,0.0
201908,청양군,외국인방문자(c),1874.0,0.0
201908,청양군,외부방문자(b+c),345326.0,0.0
201909,청양군,외지인방문자(b),330359.0,0.0
201909,청양군,외국인방문자(c),2284.0,0.0
201909,청양군,외부방문자(b+c),332643.0,0.0
201910,청양군,외지인방문자(b),239651.0,0.0
201910,청양군,외국인방문자(c),2405.0,0.0
201910,청양군,외부방문자(b+c),242056.0,0.0
201911,청양군,외지인방문자(b),263409.0,0.0
201911,청양군,외국인방문자(c),1512.0,0.0
201911,청양군,외부방문자(b+c),264920.0,0.0
201912,청양군,외지인방문자(b),198692.0,0.0
201912,청양군,외국인방문자(c),1157.0,0.0
201912,청양군,외부방문자(b+c),199849.0,0.0
