기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,금산군,외지인방문자(b),316297.0,0.0
201901,금산군,외국인방문자(c),2974.0,0.0
201901,금산군,외부방문자(b+c),319272.0,0.0
201902,금산군,외지인방문자(b),424171.0,0.0
201902,금산군,외국인방문자(c),3155.0,0.0
201902,금산군,외부방문자(b+c),427326.0,0.0
201903,금산군,외지인방문자(b),381051.0,0.0
201903,금산군,외국인방문자(c),4812.0,0.0
201903,금산군,외부방문자(b+c),385863.0,0.0
201904,금산군,외지인방문자(b),409061.0,0.0
201904,금산군,외국인방문자(c),4478.0,0.0
201904,금산군,외부방문자(b+c),413539.0,0.0
201905,금산군,외지인방문자(b),485777.0,0.0
201905,금산군,외국인방문자(c),4660.0,0.0
201905,금산군,외부방문자(b+c),490437.0,0.0
201906,금산군,외지인방문자(b),485269.0,0.0
201906,금산군,외국인방문자(c),4058.0,0.0
201906,금산군,외부방문자(b+c),489327.0,0.0
201907,금산군,외지인방문자(b),487661.0,0.0
201907,금산군,외국인방문자(c),4183.0,0.0
201907,금산군,외부방문자(b+c),491844.0,0.0
201908,금산군,외지인방문자(b),660646.0,0.0
201908,금산군,외국인방문자(c),3907.0,0.0
201908,금산군,외부방문자(b+c),664553.0,0.0
201909,금산군,외지인방문자(b),580464.0,0.0
201909,금산군,외국인방문자(c),5044.0,0.0
201909,금산군,외부방문자(b+c),585508.0,0.0
201910,금산군,외지인방문자(b),532659.0,0.0
201910,금산군,외국인방문자(c),5139.0,0.0
201910,금산군,외부방문자(b+c),537798.0,0.0
201911,금산군,외지인방문자(b),451317.0,0.0
201911,금산군,외국인방문자(c),4198.0,0.0
201911,금산군,외부방문자(b+c),455515.0,0.0
201912,금산군,외지인방문자(b),336078.0,0.0
201912,금산군,외국인방문자(c),3578.0,0.0
201912,금산군,외부방문자(b+c),339655.0,0.0
