기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,보령시,외지인방문자(b),693434.0,0.0
201901,보령시,외국인방문자(c),7083.0,0.0
201901,보령시,외부방문자(b+c),700516.0,0.0
201902,보령시,외지인방문자(b),869009.0,0.0
201902,보령시,외국인방문자(c),6560.0,0.0
201902,보령시,외부방문자(b+c),875569.0,0.0
201903,보령시,외지인방문자(b),799496.0,0.0
201903,보령시,외국인방문자(c),8095.0,0.0
201903,보령시,외부방문자(b+c),807591.0,0.0
201904,보령시,외지인방문자(b),823679.0,0.0
201904,보령시,외국인방문자(c),9036.0,0.0
201904,보령시,외부방문자(b+c),832714.0,0.0
201905,보령시,외지인방문자(b),1040158.0,0.0
201905,보령시,외국인방문자(c),9192.0,0.0
201905,보령시,외부방문자(b+c),1049351.0,0.0
201906,보령시,외지인방문자(b),1032040.0,0.0
201906,보령시,외국인방문자(c),8554.0,0.0
201906,보령시,외부방문자(b+c),1040594.0,0.0
201907,보령시,외지인방문자(b),1168719.0,0.0
201907,보령시,외국인방문자(c),11376.0,0.0
201907,보령시,외부방문자(b+c),1180095.0,0.0
201908,보령시,외지인방문자(b),1724101.0,0.0
201908,보령시,외국인방문자(c),10494.0,0.0
201908,보령시,외부방문자(b+c),1734595.0,0.0
201909,보령시,외지인방문자(b),1134130.0,0.0
201909,보령시,외국인방문자(c),9647.0,0.0
201909,보령시,외부방문자(b+c),1143777.0,0.0
201910,보령시,외지인방문자(b),1179192.0,0.0
201910,보령시,외국인방문자(c),10198.0,0.0
201910,보령시,외부방문자(b+c),1189390.0,0.0
201911,보령시,외지인방문자(b),962490.0,0.0
201911,보령시,외국인방문자(c),8884.0,0.0
201911,보령시,외부방문자(b+c),971374.0,0.0
201912,보령시,외지인방문자(b),808653.0,0.0
201912,보령시,외국인방문자(c),8093.0,0.0
201912,보령시,외부방문자(b+c),816746.0,0.0
