기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,서천군,외지인방문자(b),296500.0,0.0
201901,서천군,외국인방문자(c),3599.0,0.0
201901,서천군,외부방문자(b+c),300098.0,0.0
201902,서천군,외지인방문자(b),442451.0,0.0
201902,서천군,외국인방문자(c),3096.0,0.0
201902,서천군,외부방문자(b+c),445546.0,0.0
201903,서천군,외지인방문자(b),463796.0,0.0
201903,서천군,외국인방문자(c),3859.0,0.0
201903,서천군,외부방문자(b+c),467655.0,0.0
201904,서천군,외지인방문자(b),434131.0,0.0
201904,서천군,외국인방문자(c),4334.0,0.0
201904,서천군,외부방문자(b+c),438465.0,0.0
201905,서천군,외지인방문자(b),569611.0,0.0
201905,서천군,외국인방문자(c),4087.0,0.0
201905,서천군,외부방문자(b+c),573698.0,0.0
201906,서천군,외지인방문자(b),478224.0,0.0
201906,서천군,외국인방문자(c),4150.0,0.0
201906,서천군,외부방문자(b+c),482374.0,0.0
201907,서천군,외지인방문자(b),403397.0,0.0
201907,서천군,외국인방문자(c),4694.0,0.0
201907,서천군,외부방문자(b+c),408091.0,0.0
201908,서천군,외지인방문자(b),598913.0,0.0
201908,서천군,외국인방문자(c),5203.0,0.0
201908,서천군,외부방문자(b+c),604117.0,0.0
201909,서천군,외지인방문자(b),589237.0,0.0
201909,서천군,외국인방문자(c),5306.0,0.0
201909,서천군,외부방문자(b+c),594543.0,0.0
201910,서천군,외지인방문자(b),551548.0,0.0
201910,서천군,외국인방문자(c),5922.0,0.0
201910,서천군,외부방문자(b+c),557470.0,0.0
201911,서천군,외지인방문자(b),433223.0,0.0
201911,서천군,외국인방문자(c),5129.0,0.0
201911,서천군,외부방문자(b+c),438352.0,0.0
201912,서천군,외지인방문자(b),325292.0,0.0
201912,서천군,외국인방문자(c),4377.0,0.0
201912,서천군,외부방문자(b+c),329669.0,0.0
