기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,천안시 동남구,외지인방문자(b),1728729.0,0.0
201901,천안시 동남구,외국인방문자(c),22226.0,0.0
201901,천안시 동남구,외부방문자(b+c),1750955.0,0.0
201902,천안시 동남구,외지인방문자(b),1819024.0,0.0
201902,천안시 동남구,외국인방문자(c),23588.0,0.0
201902,천안시 동남구,외부방문자(b+c),1842612.0,0.0
201903,천안시 동남구,외지인방문자(b),1782675.0,0.0
201903,천안시 동남구,외국인방문자(c),28218.0,0.0
201903,천안시 동남구,외부방문자(b+c),1810893.0,0.0
201904,천안시 동남구,외지인방문자(b),1774777.0,0.0
201904,천안시 동남구,외국인방문자(c),25519.0,0.0
201904,천안시 동남구,외부방문자(b+c),1800296.0,0.0
201905,천안시 동남구,외지인방문자(b),1927735.0,0.0
201905,천안시 동남구,외국인방문자(c),26794.0,0.0
201905,천안시 동남구,외부방문자(b+c),1954529.0,0.0
201906,천안시 동남구,외지인방문자(b),1968249.0,0.0
201906,천안시 동남구,외국인방문자(c),26005.0,0.0
201906,천안시 동남구,외부방문자(b+c),1994253.0,0.0
201907,천안시 동남구,외지인방문자(b),1836230.0,0.0
201907,천안시 동남구,외국인방문자(c),25494.0,0.0
201907,천안시 동남구,외부방문자(b+c),1861724.0,0.0
201908,천안시 동남구,외지인방문자(b),2175656.0,0.0
201908,천안시 동남구,외국인방문자(c),26496.0,0.0
201908,천안시 동남구,외부방문자(b+c),2202151.0,0.0
201909,천안시 동남구,외지인방문자(b),1874463.0,0.0
201909,천안시 동남구,외국인방문자(c),30170.0,0.0
201909,천안시 동남구,외부방문자(b+c),1904633.0,0.0
201910,천안시 동남구,외지인방문자(b),1880864.0,0.0
201910,천안시 동남구,외국인방문자(c),30300.0,0.0
201910,천안시 동남구,외부방문자(b+c),1911163.0,0.0
201911,천안시 동남구,외지인방문자(b),1784763.0,0.0
201911,천안시 동남구,외국인방문자(c),28183.0,0.0
201911,천안시 동남구,외부방문자(b+c),1812946.0,0.0
201912,천안시 동남구,외지인방문자(b),1749507.0,0.0
201912,천안시 동남구,외국인방문자(c),26578.0,0.0
201912,천안시 동남구,외부방문자(b+c),1776085.0,0.0
