기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,태안군,외지인방문자(b),474379.0,0.0
201901,태안군,외국인방문자(c),15506.0,0.0
201901,태안군,외부방문자(b+c),489885.0,0.0
201902,태안군,외지인방문자(b),646941.0,0.0
201902,태안군,외국인방문자(c),17417.0,0.0
201902,태안군,외부방문자(b+c),664358.0,0.0
201903,태안군,외지인방문자(b),747283.0,0.0
201903,태안군,외국인방문자(c),27000.0,0.0
201903,태안군,외부방문자(b+c),774282.0,0.0
201904,태안군,외지인방문자(b),1139397.0,0.0
201904,태안군,외국인방문자(c),26681.0,0.0
201904,태안군,외부방문자(b+c),1166078.0,0.0
201905,태안군,외지인방문자(b),1506539.0,0.0
201905,태안군,외국인방문자(c),28409.0,0.0
201905,태안군,외부방문자(b+c),1534948.0,0.0
201906,태안군,외지인방문자(b),1458236.0,0.0
201906,태안군,외국인방문자(c),22287.0,0.0
201906,태안군,외부방문자(b+c),1480523.0,0.0
201907,태안군,외지인방문자(b),1320850.0,0.0
201907,태안군,외국인방문자(c),20835.0,0.0
201907,태안군,외부방문자(b+c),1341685.0,0.0
201908,태안군,외지인방문자(b),2163820.0,0.0
201908,태안군,외국인방문자(c),19959.0,0.0
201908,태안군,외부방문자(b+c),2183779.0,0.0
201909,태안군,외지인방문자(b),1277271.0,0.0
201909,태안군,외국인방문자(c),20519.0,0.0
201909,태안군,외부방문자(b+c),1297790.0,0.0
201910,태안군,외지인방문자(b),1481266.0,0.0
201910,태안군,외국인방문자(c),23729.0,0.0
201910,태안군,외부방문자(b+c),1504995.0,0.0
201911,태안군,외지인방문자(b),884993.0,0.0
201911,태안군,외국인방문자(c),22172.0,0.0
201911,태안군,외부방문자(b+c),907164.0,0.0
201912,태안군,외지인방문자(b),591837.0,0.0
201912,태안군,외국인방문자(c),21121.0,0.0
201912,태안군,외부방문자(b+c),612958.0,0.0
