기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,괴산군,외지인방문자(b),240209.0,0.0
201901,괴산군,외국인방문자(c),4810.0,0.0
201901,괴산군,외부방문자(b+c),245018.0,0.0
201902,괴산군,외지인방문자(b),367704.0,0.0
201902,괴산군,외국인방문자(c),4733.0,0.0
201902,괴산군,외부방문자(b+c),372437.0,0.0
201903,괴산군,외지인방문자(b),355233.0,0.0
201903,괴산군,외국인방문자(c),7922.0,0.0
201903,괴산군,외부방문자(b+c),363155.0,0.0
201904,괴산군,외지인방문자(b),420290.0,0.0
201904,괴산군,외국인방문자(c),7315.0,0.0
201904,괴산군,외부방문자(b+c),427606.0,0.0
201905,괴산군,외지인방문자(b),535436.0,0.0
201905,괴산군,외국인방문자(c),7177.0,0.0
201905,괴산군,외부방문자(b+c),542614.0,0.0
201906,괴산군,외지인방문자(b),633713.0,0.0
201906,괴산군,외국인방문자(c),8087.0,0.0
201906,괴산군,외부방문자(b+c),641800.0,0.0
201907,괴산군,외지인방문자(b),606680.0,0.0
201907,괴산군,외국인방문자(c),9441.0,0.0
201907,괴산군,외부방문자(b+c),616121.0,0.0
201908,괴산군,외지인방문자(b),893455.0,0.0
201908,괴산군,외국인방문자(c),8560.0,0.0
201908,괴산군,외부방문자(b+c),902015.0,0.0
201909,괴산군,외지인방문자(b),565890.0,0.0
201909,괴산군,외국인방문자(c),8126.0,0.0
201909,괴산군,외부방문자(b+c),574016.0,0.0
201910,괴산군,외지인방문자(b),510458.0,0.0
201910,괴산군,외국인방문자(c),8822.0,0.0
201910,괴산군,외부방문자(b+c),519280.0,0.0
201911,괴산군,외지인방문자(b),463050.0,0.0
201911,괴산군,외국인방문자(c),13504.0,0.0
201911,괴산군,외부방문자(b+c),476555.0,0.0
201912,괴산군,외지인방문자(b),291189.0,0.0
201912,괴산군,외국인방문자(c),5774.0,0.0
201912,괴산군,외부방문자(b+c),296963.0,0.0
