기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,영동군,외지인방문자(b),211888.0,0.0
201901,영동군,외국인방문자(c),1643.0,0.0
201901,영동군,외부방문자(b+c),213531.0,0.0
201902,영동군,외지인방문자(b),327400.0,0.0
201902,영동군,외국인방문자(c),1709.0,0.0
201902,영동군,외부방문자(b+c),329109.0,0.0
201903,영동군,외지인방문자(b),239104.0,0.0
201903,영동군,외국인방문자(c),2291.0,0.0
201903,영동군,외부방문자(b+c),241395.0,0.0
201904,영동군,외지인방문자(b),271239.0,0.0
201904,영동군,외국인방문자(c),2407.0,0.0
201904,영동군,외부방문자(b+c),273646.0,0.0
201905,영동군,외지인방문자(b),334189.0,0.0
201905,영동군,외국인방문자(c),2461.0,0.0
201905,영동군,외부방문자(b+c),336650.0,0.0
201906,영동군,외지인방문자(b),338031.0,0.0
201906,영동군,외국인방문자(c),2641.0,0.0
201906,영동군,외부방문자(b+c),340672.0,0.0
201907,영동군,외지인방문자(b),334122.0,0.0
201907,영동군,외국인방문자(c),2474.0,0.0
201907,영동군,외부방문자(b+c),336597.0,0.0
201908,영동군,외지인방문자(b),509896.0,0.0
201908,영동군,외국인방문자(c),2712.0,0.0
201908,영동군,외부방문자(b+c),512607.0,0.0
201909,영동군,외지인방문자(b),446795.0,0.0
201909,영동군,외국인방문자(c),3934.0,0.0
201909,영동군,외부방문자(b+c),450728.0,0.0
201910,영동군,외지인방문자(b),330306.0,0.0
201910,영동군,외국인방문자(c),3677.0,0.0
201910,영동군,외부방문자(b+c),333982.0,0.0
201911,영동군,외지인방문자(b),299020.0,0.0
201911,영동군,외국인방문자(c),2789.0,0.0
201911,영동군,외부방문자(b+c),301809.0,0.0
201912,영동군,외지인방문자(b),231982.0,0.0
201912,영동군,외국인방문자(c),2037.0,0.0
201912,영동군,외부방문자(b+c),234019.0,0.0
