기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,제천시,외지인방문자(b),521496.0,0.0
201901,제천시,외국인방문자(c),5240.0,0.0
201901,제천시,외부방문자(b+c),526736.0,0.0
201902,제천시,외지인방문자(b),724227.0,0.0
201902,제천시,외국인방문자(c),4633.0,0.0
201902,제천시,외부방문자(b+c),728861.0,0.0
201903,제천시,외지인방문자(b),581872.0,0.0
201903,제천시,외국인방문자(c),6092.0,0.0
201903,제천시,외부방문자(b+c),587964.0,0.0
201904,제천시,외지인방문자(b),801137.0,0.0
201904,제천시,외국인방문자(c),6760.0,0.0
201904,제천시,외부방문자(b+c),807897.0,0.0
201905,제천시,외지인방문자(b),857530.0,0.0
201905,제천시,외국인방문자(c),6553.0,0.0
201905,제천시,외부방문자(b+c),864083.0,0.0
201906,제천시,외지인방문자(b),843965.0,0.0
201906,제천시,외국인방문자(c),6326.0,0.0
201906,제천시,외부방문자(b+c),850291.0,0.0
201907,제천시,외지인방문자(b),830120.0,0.0
201907,제천시,외국인방문자(c),6915.0,0.0
201907,제천시,외부방문자(b+c),837035.0,0.0
201908,제천시,외지인방문자(b),1221486.0,0.0
201908,제천시,외국인방문자(c),6985.0,0.0
201908,제천시,외부방문자(b+c),1228471.0,0.0
201909,제천시,외지인방문자(b),884110.0,0.0
201909,제천시,외국인방문자(c),7352.0,0.0
201909,제천시,외부방문자(b+c),891463.0,0.0
201910,제천시,외지인방문자(b),862769.0,0.0
201910,제천시,외국인방문자(c),8557.0,0.0
201910,제천시,외부방문자(b+c),871325.0,0.0
201911,제천시,외지인방문자(b),772893.0,0.0
201911,제천시,외국인방문자(c),7340.0,0.0
201911,제천시,외부방문자(b+c),780233.0,0.0
201912,제천시,외지인방문자(b),597527.0,0.0
201912,제천시,외국인방문자(c),6277.0,0.0
201912,제천시,외부방문자(b+c),603804.0,0.0
