기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,청주시 상당구,외지인방문자(b),1076193.0,0.0
201901,청주시 상당구,외국인방문자(c),5403.0,0.0
201901,청주시 상당구,외부방문자(b+c),1081596.0,0.0
201902,청주시 상당구,외지인방문자(b),1226347.0,0.0
201902,청주시 상당구,외국인방문자(c),6194.0,0.0
201902,청주시 상당구,외부방문자(b+c),1232541.0,0.0
201903,청주시 상당구,외지인방문자(b),1159744.0,0.0
201903,청주시 상당구,외국인방문자(c),8219.0,0.0
201903,청주시 상당구,외부방문자(b+c),1167962.0,0.0
201904,청주시 상당구,외지인방문자(b),1252346.0,0.0
201904,청주시 상당구,외국인방문자(c),7709.0,0.0
201904,청주시 상당구,외부방문자(b+c),1260055.0,0.0
201905,청주시 상당구,외지인방문자(b),1367620.0,0.0
201905,청주시 상당구,외국인방문자(c),7954.0,0.0
201905,청주시 상당구,외부방문자(b+c),1375573.0,0.0
201906,청주시 상당구,외지인방문자(b),1244049.0,0.0
201906,청주시 상당구,외국인방문자(c),7158.0,0.0
201906,청주시 상당구,외부방문자(b+c),1251207.0,0.0
201907,청주시 상당구,외지인방문자(b),1195898.0,0.0
201907,청주시 상당구,외국인방문자(c),8799.0,0.0
201907,청주시 상당구,외부방문자(b+c),1204697.0,0.0
201908,청주시 상당구,외지인방문자(b),1328452.0,0.0
201908,청주시 상당구,외국인방문자(c),7686.0,0.0
201908,청주시 상당구,외부방문자(b+c),1336138.0,0.0
201909,청주시 상당구,외지인방문자(b),1305557.0,0.0
201909,청주시 상당구,외국인방문자(c),7456.0,0.0
201909,청주시 상당구,외부방문자(b+c),1313012.0,0.0
201910,청주시 상당구,외지인방문자(b),1311420.0,0.0
201910,청주시 상당구,외국인방문자(c),8746.0,0.0
201910,청주시 상당구,외부방문자(b+c),1320166.0,0.0
201911,청주시 상당구,외지인방문자(b),1275181.0,0.0
201911,청주시 상당구,외국인방문자(c),7693.0,0.0
201911,청주시 상당구,외부방문자(b+c),1282874.0,0.0
201912,청주시 상당구,외지인방문자(b),1184656.0,0.0
201912,청주시 상당구,외국인방문자(c),6554.0,0.0
201912,청주시 상당구,외부방문자(b+c),1191210.0,0.0
