기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,단양군,외지인방문자(b),290927.0,0.0
201901,단양군,외국인방문자(c),1395.0,0.0
201901,단양군,외부방문자(b+c),292323.0,0.0
201902,단양군,외지인방문자(b),426813.0,0.0
201902,단양군,외국인방문자(c),1403.0,0.0
201902,단양군,외부방문자(b+c),428216.0,0.0
201903,단양군,외지인방문자(b),386204.0,0.0
201903,단양군,외국인방문자(c),1661.0,0.0
201903,단양군,외부방문자(b+c),387866.0,0.0
201904,단양군,외지인방문자(b),476698.0,0.0
201904,단양군,외국인방문자(c),2673.0,0.0
201904,단양군,외부방문자(b+c),479371.0,0.0
201905,단양군,외지인방문자(b),631450.0,0.0
201905,단양군,외국인방문자(c),2319.0,0.0
201905,단양군,외부방문자(b+c),633769.0,0.0
201906,단양군,외지인방문자(b),572889.0,0.0
201906,단양군,외국인방문자(c),2439.0,0.0
201906,단양군,외부방문자(b+c),575329.0,0.0
201907,단양군,외지인방문자(b),552410.0,0.0
201907,단양군,외국인방문자(c),2428.0,0.0
201907,단양군,외부방문자(b+c),554838.0,0.0
201908,단양군,외지인방문자(b),908615.0,0.0
201908,단양군,외국인방문자(c),2741.0,0.0
201908,단양군,외부방문자(b+c),911356.0,0.0
201909,단양군,외지인방문자(b),507141.0,0.0
201909,단양군,외국인방문자(c),2737.0,0.0
201909,단양군,외부방문자(b+c),509877.0,0.0
201910,단양군,외지인방문자(b),620506.0,0.0
201910,단양군,외국인방문자(c),4159.0,0.0
201910,단양군,외부방문자(b+c),624665.0,0.0
201911,단양군,외지인방문자(b),500065.0,0.0
201911,단양군,외국인방문자(c),2657.0,0.0
201911,단양군,외부방문자(b+c),502722.0,0.0
201912,단양군,외지인방문자(b),332636.0,0.0
201912,단양군,외국인방문자(c),1724.0,0.0
201912,단양군,외부방문자(b+c),334360.0,0.0
