기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,옥천군,외지인방문자(b),257536.0,0.0
201901,옥천군,외국인방문자(c),1824.0,0.0
201901,옥천군,외부방문자(b+c),259360.0,0.0
201902,옥천군,외지인방문자(b),355343.0,0.0
201902,옥천군,외국인방문자(c),2128.0,0.0
201902,옥천군,외부방문자(b+c),357471.0,0.0
201903,옥천군,외지인방문자(b),333416.0,0.0
201903,옥천군,외국인방문자(c),3035.0,0.0
201903,옥천군,외부방문자(b+c),336451.0,0.0
201904,옥천군,외지인방문자(b),356435.0,0.0
201904,옥천군,외국인방문자(c),2450.0,0.0
201904,옥천군,외부방문자(b+c),358885.0,0.0
201905,옥천군,외지인방문자(b),440788.0,0.0
201905,옥천군,외국인방문자(c),2803.0,0.0
201905,옥천군,외부방문자(b+c),443591.0,0.0
201906,옥천군,외지인방문자(b),413500.0,0.0
201906,옥천군,외국인방문자(c),3043.0,0.0
201906,옥천군,외부방문자(b+c),416543.0,0.0
201907,옥천군,외지인방문자(b),397140.0,0.0
201907,옥천군,외국인방문자(c),3083.0,0.0
201907,옥천군,외부방문자(b+c),400223.0,0.0
201908,옥천군,외지인방문자(b),468931.0,0.0
201908,옥천군,외국인방문자(c),2580.0,0.0
201908,옥천군,외부방문자(b+c),471511.0,0.0
201909,옥천군,외지인방문자(b),454979.0,0.0
201909,옥천군,외국인방문자(c),3523.0,0.0
201909,옥천군,외부방문자(b+c),458502.0,0.0
201910,옥천군,외지인방문자(b),359848.0,0.0
201910,옥천군,외국인방문자(c),3951.0,0.0
201910,옥천군,외부방문자(b+c),363799.0,0.0
201911,옥천군,외지인방문자(b),357379.0,0.0
201911,옥천군,외국인방문자(c),3462.0,0.0
201911,옥천군,외부방문자(b+c),360842.0,0.0
201912,옥천군,외지인방문자(b),284618.0,0.0
201912,옥천군,외국인방문자(c),2428.0,0.0
201912,옥천군,외부방문자(b+c),287046.0,0.0
