기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,증평군,외지인방문자(b),176180.0,0.0
201901,증평군,외국인방문자(c),2156.0,0.0
201901,증평군,외부방문자(b+c),178336.0,0.0
201902,증평군,외지인방문자(b),208734.0,0.0
201902,증평군,외국인방문자(c),2434.0,0.0
201902,증평군,외부방문자(b+c),211168.0,0.0
201903,증평군,외지인방문자(b),187327.0,0.0
201903,증평군,외국인방문자(c),3175.0,0.0
201903,증평군,외부방문자(b+c),190502.0,0.0
201904,증평군,외지인방문자(b),201314.0,0.0
201904,증평군,외국인방문자(c),2765.0,0.0
201904,증평군,외부방문자(b+c),204079.0,0.0
201905,증평군,외지인방문자(b),220855.0,0.0
201905,증평군,외국인방문자(c),2966.0,0.0
201905,증평군,외부방문자(b+c),223821.0,0.0
201906,증평군,외지인방문자(b),216502.0,0.0
201906,증평군,외국인방문자(c),3170.0,0.0
201906,증평군,외부방문자(b+c),219673.0,0.0
201907,증평군,외지인방문자(b),199419.0,0.0
201907,증평군,외국인방문자(c),3439.0,0.0
201907,증평군,외부방문자(b+c),202857.0,0.0
201908,증평군,외지인방문자(b),223433.0,0.0
201908,증평군,외국인방문자(c),3214.0,0.0
201908,증평군,외부방문자(b+c),226647.0,0.0
201909,증평군,외지인방문자(b),247686.0,0.0
201909,증평군,외국인방문자(c),3463.0,0.0
201909,증평군,외부방문자(b+c),251149.0,0.0
201910,증평군,외지인방문자(b),264238.0,0.0
201910,증평군,외국인방문자(c),3834.0,0.0
201910,증평군,외부방문자(b+c),268072.0,0.0
201911,증평군,외지인방문자(b),219662.0,0.0
201911,증평군,외국인방문자(c),3169.0,0.0
201911,증평군,외부방문자(b+c),222832.0,0.0
201912,증평군,외지인방문자(b),195829.0,0.0
201912,증평군,외국인방문자(c),2983.0,0.0
201912,증평군,외부방문자(b+c),198812.0,0.0
