기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,청주시 서원구,외지인방문자(b),1031715.0,0.0
201901,청주시 서원구,외국인방문자(c),7902.0,0.0
201901,청주시 서원구,외부방문자(b+c),1039617.0,0.0
201902,청주시 서원구,외지인방문자(b),1109261.0,0.0
201902,청주시 서원구,외국인방문자(c),8175.0,0.0
201902,청주시 서원구,외부방문자(b+c),1117436.0,0.0
201903,청주시 서원구,외지인방문자(b),1043187.0,0.0
201903,청주시 서원구,외국인방문자(c),10470.0,0.0
201903,청주시 서원구,외부방문자(b+c),1053657.0,0.0
201904,청주시 서원구,외지인방문자(b),1009749.0,0.0
201904,청주시 서원구,외국인방문자(c),9508.0,0.0
201904,청주시 서원구,외부방문자(b+c),1019257.0,0.0
201905,청주시 서원구,외지인방문자(b),1077555.0,0.0
201905,청주시 서원구,외국인방문자(c),9864.0,0.0
201905,청주시 서원구,외부방문자(b+c),1087420.0,0.0
201906,청주시 서원구,외지인방문자(b),1057835.0,0.0
201906,청주시 서원구,외국인방문자(c),8894.0,0.0
201906,청주시 서원구,외부방문자(b+c),1066729.0,0.0
201907,청주시 서원구,외지인방문자(b),1034156.0,0.0
201907,청주시 서원구,외국인방문자(c),9363.0,0.0
201907,청주시 서원구,외부방문자(b+c),1043518.0,0.0
201908,청주시 서원구,외지인방문자(b),1093366.0,0.0
201908,청주시 서원구,외국인방문자(c),9470.0,0.0
201908,청주시 서원구,외부방문자(b+c),1102836.0,0.0
201909,청주시 서원구,외지인방문자(b),1154983.0,0.0
201909,청주시 서원구,외국인방문자(c),11147.0,0.0
201909,청주시 서원구,외부방문자(b+c),1166129.0,0.0
201910,청주시 서원구,외지인방문자(b),1062135.0,0.0
201910,청주시 서원구,외국인방문자(c),10819.0,0.0
201910,청주시 서원구,외부방문자(b+c),1072954.0,0.0
201911,청주시 서원구,외지인방문자(b),1061256.0,0.0
201911,청주시 서원구,외국인방문자(c),9914.0,0.0
201911,청주시 서원구,외부방문자(b+c),1071170.0,0.0
201912,청주시 서원구,외지인방문자(b),1103764.0,0.0
201912,청주시 서원구,외국인방문자(c),9374.0,0.0
201912,청주시 서원구,외부방문자(b+c),1113138.0,0.0
