기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,충주시,외지인방문자(b),779444.0,0.0
201901,충주시,외국인방문자(c),10665.0,0.0
201901,충주시,외부방문자(b+c),790109.0,0.0
201902,충주시,외지인방문자(b),1023212.0,0.0
201902,충주시,외국인방문자(c),13239.0,0.0
201902,충주시,외부방문자(b+c),1036451.0,0.0
201903,충주시,외지인방문자(b),920742.0,0.0
201903,충주시,외국인방문자(c),17569.0,0.0
201903,충주시,외부방문자(b+c),938311.0,0.0
201904,충주시,외지인방문자(b),1001563.0,0.0
201904,충주시,외국인방문자(c),19075.0,0.0
201904,충주시,외부방문자(b+c),1020637.0,0.0
201905,충주시,외지인방문자(b),1134390.0,0.0
201905,충주시,외국인방문자(c),17972.0,0.0
201905,충주시,외부방문자(b+c),1152362.0,0.0
201906,충주시,외지인방문자(b),1064555.0,0.0
201906,충주시,외국인방문자(c),17555.0,0.0
201906,충주시,외부방문자(b+c),1082110.0,0.0
201907,충주시,외지인방문자(b),1022872.0,0.0
201907,충주시,외국인방문자(c),16762.0,0.0
201907,충주시,외부방문자(b+c),1039633.0,0.0
201908,충주시,외지인방문자(b),1268850.0,0.0
201908,충주시,외국인방문자(c),18465.0,0.0
201908,충주시,외부방문자(b+c),1287315.0,0.0
201909,충주시,외지인방문자(b),1208755.0,0.0
201909,충주시,외국인방문자(c),21860.0,0.0
201909,충주시,외부방문자(b+c),1230615.0,0.0
201910,충주시,외지인방문자(b),1113990.0,0.0
201910,충주시,외국인방문자(c),20364.0,0.0
201910,충주시,외부방문자(b+c),1134354.0,0.0
201911,충주시,외지인방문자(b),1091172.0,0.0
201911,충주시,외국인방문자(c),16198.0,0.0
201911,충주시,외부방문자(b+c),1107370.0,0.0
201912,충주시,외지인방문자(b),887463.0,0.0
201912,충주시,외국인방문자(c),13142.0,0.0
201912,충주시,외부방문자(b+c),900604.0,0.0
