기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,보은군,외지인방문자(b),216285.0,0.0
201901,보은군,외국인방문자(c),1602.0,0.0
201901,보은군,외부방문자(b+c),217886.0,0.0
201902,보은군,외지인방문자(b),336399.0,0.0
201902,보은군,외국인방문자(c),1800.0,0.0
201902,보은군,외부방문자(b+c),338199.0,0.0
201903,보은군,외지인방문자(b),313466.0,0.0
201903,보은군,외국인방문자(c),3080.0,0.0
201903,보은군,외부방문자(b+c),316546.0,0.0
201904,보은군,외지인방문자(b),366715.0,0.0
201904,보은군,외국인방문자(c),3031.0,0.0
201904,보은군,외부방문자(b+c),369746.0,0.0
201905,보은군,외지인방문자(b),431494.0,0.0
201905,보은군,외국인방문자(c),3175.0,0.0
201905,보은군,외부방문자(b+c),434669.0,0.0
201906,보은군,외지인방문자(b),389461.0,0.0
201906,보은군,외국인방문자(c),3560.0,0.0
201906,보은군,외부방문자(b+c),393021.0,0.0
201907,보은군,외지인방문자(b),367344.0,0.0
201907,보은군,외국인방문자(c),2912.0,0.0
201907,보은군,외부방문자(b+c),370256.0,0.0
201908,보은군,외지인방문자(b),490815.0,0.0
201908,보은군,외국인방문자(c),3099.0,0.0
201908,보은군,외부방문자(b+c),493914.0,0.0
201909,보은군,외지인방문자(b),440074.0,0.0
201909,보은군,외국인방문자(c),3711.0,0.0
201909,보은군,외부방문자(b+c),443785.0,0.0
201910,보은군,외지인방문자(b),669286.0,0.0
201910,보은군,외국인방문자(c),5573.0,0.0
201910,보은군,외부방문자(b+c),674859.0,0.0
201911,보은군,외지인방문자(b),447751.0,0.0
201911,보은군,외국인방문자(c),3824.0,0.0
201911,보은군,외부방문자(b+c),451575.0,0.0
201912,보은군,외지인방문자(b),238732.0,0.0
201912,보은군,외국인방문자(c),2532.0,0.0
201912,보은군,외부방문자(b+c),241264.0,0.0
