기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,음성군,외지인방문자(b),531727.0,0.0
201901,음성군,외국인방문자(c),26145.0,0.0
201901,음성군,외부방문자(b+c),557872.0,0.0
201902,음성군,외지인방문자(b),645747.0,0.0
201902,음성군,외국인방문자(c),29421.0,0.0
201902,음성군,외부방문자(b+c),675168.0,0.0
201903,음성군,외지인방문자(b),638695.0,0.0
201903,음성군,외국인방문자(c),36865.0,0.0
201903,음성군,외부방문자(b+c),675560.0,0.0
201904,음성군,외지인방문자(b),675052.0,0.0
201904,음성군,외국인방문자(c),34117.0,0.0
201904,음성군,외부방문자(b+c),709169.0,0.0
201905,음성군,외지인방문자(b),827597.0,0.0
201905,음성군,외국인방문자(c),35372.0,0.0
201905,음성군,외부방문자(b+c),862969.0,0.0
201906,음성군,외지인방문자(b),742792.0,0.0
201906,음성군,외국인방문자(c),34899.0,0.0
201906,음성군,외부방문자(b+c),777690.0,0.0
201907,음성군,외지인방문자(b),674794.0,0.0
201907,음성군,외국인방문자(c),35320.0,0.0
201907,음성군,외부방문자(b+c),710115.0,0.0
201908,음성군,외지인방문자(b),776447.0,0.0
201908,음성군,외국인방문자(c),32511.0,0.0
201908,음성군,외부방문자(b+c),808958.0,0.0
201909,음성군,외지인방문자(b),800325.0,0.0
201909,음성군,외국인방문자(c),34090.0,0.0
201909,음성군,외부방문자(b+c),834415.0,0.0
201910,음성군,외지인방문자(b),706000.0,0.0
201910,음성군,외국인방문자(c),37184.0,0.0
201910,음성군,외부방문자(b+c),743185.0,0.0
201911,음성군,외지인방문자(b),691062.0,0.0
201911,음성군,외국인방문자(c),34965.0,0.0
201911,음성군,외부방문자(b+c),726027.0,0.0
201912,음성군,외지인방문자(b),589260.0,0.0
201912,음성군,외국인방문자(c),33792.0,0.0
201912,음성군,외부방문자(b+c),623052.0,0.0
