기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,진천군,외지인방문자(b),429213.0,0.0
201901,진천군,외국인방문자(c),22880.0,0.0
201901,진천군,외부방문자(b+c),452093.0,0.0
201902,진천군,외지인방문자(b),500431.0,0.0
201902,진천군,외국인방문자(c),24206.0,0.0
201902,진천군,외부방문자(b+c),524637.0,0.0
201903,진천군,외지인방문자(b),518301.0,0.0
201903,진천군,외국인방문자(c),30011.0,0.0
201903,진천군,외부방문자(b+c),548313.0,0.0
201904,진천군,외지인방문자(b),566908.0,0.0
201904,진천군,외국인방문자(c),28669.0,0.0
201904,진천군,외부방문자(b+c),595576.0,0.0
201905,진천군,외지인방문자(b),638208.0,0.0
201905,진천군,외국인방문자(c),29522.0,0.0
201905,진천군,외부방문자(b+c),667730.0,0.0
201906,진천군,외지인방문자(b),622713.0,0.0
201906,진천군,외국인방문자(c),28211.0,0.0
201906,진천군,외부방문자(b+c),650924.0,0.0
201907,진천군,외지인방문자(b),562413.0,0.0
201907,진천군,외국인방문자(c),28094.0,0.0
201907,진천군,외부방문자(b+c),590506.0,0.0
201908,진천군,외지인방문자(b),604976.0,0.0
201908,진천군,외국인방문자(c),24864.0,0.0
201908,진천군,외부방문자(b+c),629840.0,0.0
201909,진천군,외지인방문자(b),628222.0,0.0
201909,진천군,외국인방문자(c),32652.0,0.0
201909,진천군,외부방문자(b+c),660874.0,0.0
201910,진천군,외지인방문자(b),586207.0,0.0
201910,진천군,외국인방문자(c),34229.0,0.0
201910,진천군,외부방문자(b+c),620436.0,0.0
201911,진천군,외지인방문자(b),562142.0,0.0
201911,진천군,외국인방문자(c),31228.0,0.0
201911,진천군,외부방문자(b+c),593370.0,0.0
201912,진천군,외지인방문자(b),451769.0,0.0
201912,진천군,외국인방문자(c),29892.0,0.0
201912,진천군,외부방문자(b+c),481661.0,0.0
