기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,청주시 청원구,외지인방문자(b),1018135.0,0.0
201901,청주시 청원구,외국인방문자(c),14264.0,0.0
201901,청주시 청원구,외부방문자(b+c),1032398.0,0.0
201902,청주시 청원구,외지인방문자(b),1094031.0,0.0
201902,청주시 청원구,외국인방문자(c),18336.0,0.0
201902,청주시 청원구,외부방문자(b+c),1112367.0,0.0
201903,청주시 청원구,외지인방문자(b),1033495.0,0.0
201903,청주시 청원구,외국인방문자(c),22027.0,0.0
201903,청주시 청원구,외부방문자(b+c),1055522.0,0.0
201904,청주시 청원구,외지인방문자(b),1005575.0,0.0
201904,청주시 청원구,외국인방문자(c),18995.0,0.0
201904,청주시 청원구,외부방문자(b+c),1024571.0,0.0
201905,청주시 청원구,외지인방문자(b),1091545.0,0.0
201905,청주시 청원구,외국인방문자(c),21456.0,0.0
201905,청주시 청원구,외부방문자(b+c),1113001.0,0.0
201906,청주시 청원구,외지인방문자(b),1032317.0,0.0
201906,청주시 청원구,외국인방문자(c),22551.0,0.0
201906,청주시 청원구,외부방문자(b+c),1054868.0,0.0
201907,청주시 청원구,외지인방문자(b),1039523.0,0.0
201907,청주시 청원구,외국인방문자(c),22101.0,0.0
201907,청주시 청원구,외부방문자(b+c),1061624.0,0.0
201908,청주시 청원구,외지인방문자(b),1118765.0,0.0
201908,청주시 청원구,외국인방문자(c),19682.0,0.0
201908,청주시 청원구,외부방문자(b+c),1138447.0,0.0
201909,청주시 청원구,외지인방문자(b),1143042.0,0.0
201909,청주시 청원구,외국인방문자(c),23178.0,0.0
201909,청주시 청원구,외부방문자(b+c),1166220.0,0.0
201910,청주시 청원구,외지인방문자(b),1120418.0,0.0
201910,청주시 청원구,외국인방문자(c),24125.0,0.0
201910,청주시 청원구,외부방문자(b+c),1144544.0,0.0
201911,청주시 청원구,외지인방문자(b),1108992.0,0.0
201911,청주시 청원구,외국인방문자(c),21541.0,0.0
201911,청주시 청원구,외부방문자(b+c),1130533.0,0.0
201912,청주시 청원구,외지인방문자(b),1131372.0,0.0
201912,청주시 청원구,외국인방문자(c),17970.0,0.0
201912,청주시 청원구,외부방문자(b+c),1149342.0,0.0
