,행정구역,관광명소,도,시/군/구,면적,관광명소/면적
0,부산광역시 중구,6.0,부산광역시,중구,2825781.9999999995,2.1233060441322087e-06
1,대구광역시 중구,10.0,대구광역시,중구,7055184.5,1.4173973763549345e-06
2,부산광역시 동구,5.0,부산광역시,동구,9865235.4,5.068302779678222e-07
3,부산광역시 영도구,6.0,부산광역시,영도구,14199595.299999995,4.225472538643409e-07
4,대구광역시 남구,7.0,대구광역시,남구,17431531.9,4.0157113213899466e-07
5,부산광역시 수영구,3.0,부산광역시,수영구,10212429.4,2.937596807278785e-07
6,경상북도 울릉군,16.0,경상북도,울릉군,72942202.60000001,2.193517528904453e-07
7,부산광역시 서구,3.0,부산광역시,서구,13979612.3,2.1459822601804199e-07
8,전라남도 목포시,11.0,전라남도,목포시,51620811.0,2.1309235145492e-07
9,울산광역시 동구,7.0,울산광역시,동구,36074685.49999999,1.9404188568740264e-07
10,부산광역시 동래구,3.0,부산광역시,동래구,16631773.700000005,1.8037763464759017e-07
11,대구광역시 서구,3.0,대구광역시,서구,17333124.499999996,1.7307900834612944e-07
12,부산광역시 부산진구,5.0,부산광역시,부산진구,29666237.60000001,1.6854176344896525e-07
13,울산광역시 중구,6.0,울산광역시,중구,37010508.6,1.6211611855558233e-07
14,경상남도 통영시,33.0,경상남도,통영시,239860467.7,1.375799868833492e-07
15,부산광역시 해운대구,7.0,부산광역시,해운대구,51474858.00000001,1.3598871899753466e-07
16,강원도 속초시,13.0,강원도,속초시,105760448.0,1.2291929776999433e-07
17,부산광역시 사하구,5.0,부산광역시,사하구,41769978.00000001,1.1970319926910182e-07
18,제주특별자치도 서귀포시,103.0,제주특별자치도,서귀포시,871558430.1999998,1.1817911046579425e-07
19,부산광역시 남구,3.0,부산광역시,남구,26818104.80000001,1.1186472803999181e-07
20,제주특별자치도 제주시,107.0,제주특별자치도,제주시,978668959.2000002,1.0933216895676932e-07
21,충청남도 서천군,36.0,충청남도,서천군,366115806.4000001,9.832954319559799e-08
22,경상남도 창원시 진해구,12.0,경상남도,창원시 진해구,122920231.3,9.762428750001873e-08
23,경상남도 거제시,39.0,경상남도,거제시,403228579.5000002,9.671933484565913e-08
24,울산광역시 남구,7.0,울산광역시,남구,73466522.4,9.528149381955773e-08
25,광주광역시 북구,11.0,광주광역시,북구,120280472.7,9.145291628039969e-08
26,광주광역시 서구,4.0,광주광역시,서구,47748121.1,8.377292986299307e-08
27,광주광역시 동구,4.0,광주광역시,동구,49312364.0,8.11155595785268e-08
28,대전광역시 중구,5.0,대전광역시,중구,62179184.9,8.041276205278786e-08
29,대전광역시 대덕구,5.0,대전광역시,대덕구,68713030.69999999,7.27664017881837e-08
30,경상남도 남해군,26.0,경상남도,남해군,357545658.90000004,7.271798538958571e-08
31,경상남도 창원시 의창구,15.0,경상남도,창원시 의창구,210774094.50000003,7.116624097274913e-08
32,광주광역시 남구,4.0,광주광역시,남구,61018237.8,6.555417108423935e-08
33,대구광역시 수성구,5.0,대구광역시,수성구,76535344.80000001,6.532929345344766e-08
34,전라북도 전주시 완산구,6.0,전라북도,전주시 완산구,92504967.60000002,6.486138156325346e-08
35,대구광역시 달서구,4.0,대구광역시,달서구,62339700.00000001,6.416456928730807e-08
36,강원도 동해시,11.0,강원도,동해시,180201979.5,6.10426146844852e-08
37,충청남도 태안군,31.0,충청남도,태안군,515886989.8000001,6.009067996077616e-08
38,대전광역시 동구,8.0,대전광역시,동구,136679755.3,5.8530979825364084e-08
39,부산광역시 북구,2.0,부산광역시,북구,39370090.5,5.079998482604453e-08
40,강원도 태백시,15.0,강원도,태백시,303521188.1,4.9419943608872555e-08
41,충청북도 증평군,4.0,충청북도,증평군,81797648.39999999,4.890116131993839e-08
42,전라북도 군산시,18.0,전라북도,군산시,396683442.4,4.537623221956794e-08
43,대전광역시 유성구,8.0,대전광역시,유성구,176529023.1,4.531832703491577e-08
44,전라북도 전주시 덕진구,5.0,전라북도,전주시 덕진구,113535873.40000002,4.40389442584761e-08
