,도,시/군/구,면적
0,충청북도,괴산군,842189019.7999994
1,충청북도,단양군,780158659.6
2,충청북도,보은군,584207530.3999999
3,충청북도,영동군,846016197.8
4,충청북도,옥천군,537221175.0999999
5,충청북도,음성군,520182165.6999999
6,충청북도,제천시,883422112.4999999
7,충청북도,증평군,81797648.39999999
8,충청북도,진천군,407303348.2
9,충청북도,청주시 상당구,404362102.99999994
10,충청북도,청주시 서원구,122634639.59999998
11,충청북도,청주시 청원구,215043254.29999995
12,충청북도,청주시 흥덕구,198804526.7
13,충청북도,충주시,983477554.9000001
15,충청남도,계룡시,60698854.79999999
16,충청남도,공주시,864152740.3000003
17,충청남도,금산군,577237129.3000001
18,충청남도,논산시,555580413.2
19,충청남도,당진시,705424109.2
20,충청남도,보령시,586558276.7
21,충청남도,부여군,624534629.9
22,충청남도,서산시,742026667.8
23,충청남도,서천군,366115806.4000001
24,충청남도,아산시,542795755.5999999
25,충청남도,예산군,542648184.5
26,충청남도,천안시 동남구,438386771.59999996
27,충청남도,천안시 서북구,197695942.89999998
28,충청남도,청양군,479099965.09999996
29,충청남도,태안군,515886989.8000001
30,충청남도,홍성군,446698483.00000006
32,제주특별자치도,서귀포시,871558430.1999998
33,제주특별자치도,제주시,978668959.2000002
35,전라북도,고창군,607484715.9999999
36,전라북도,군산시,396683442.4
37,전라북도,김제시,545864267.6
38,전라북도,남원시,752191723.9999999
39,전라북도,무주군,631755525.3000001
40,전라북도,부안군,493176246.5999999
41,전라북도,순창군,495794066.79999995
42,전라북도,완주군,821055308.9000001
43,전라북도,익산시,506537047.40000004
44,전라북도,임실군,597222768.0
45,전라북도,장수군,533202165.5
46,전라북도,전주시 덕진구,113535873.40000002
47,전라북도,전주시 완산구,92504967.60000002
48,전라북도,정읍시,693039120.7
49,전라북도,진안군,789091739.3000001
51,전라남도,강진군,500909508.0
52,전라남도,고흥군,807372281.5
53,전라남도,곡성군,547467005.3
54,전라남도,광양시,463087470.5
55,전라남도,구례군,443243406.5999999
56,전라남도,나주시,608403003.0000001
57,전라남도,담양군,455091602.5
58,전라남도,목포시,51620811.0
59,전라남도,무안군,449711043.9
60,전라남도,보성군,664012341.5
