,관광명소,시군구
0,서울풍물시장전통문화체험관,서울특별시 동대문구
1,양재시민의숲,서울특별시 서초구
2,봉화산(서울),서울특별시 중랑구
3,파리공원,서울특별시 양천구
4,한강시민공원 망원지구(망원한강공원),서울특별시 마포구
5,한강시민공원여의도지구(여의도한강공원),서울특별시 영등포구
6,한강시민공원뚝섬지구(뚝섬한강공원),서울특별시 광진구
7,서래마을,서울특별시 서초구
8,이태원 앤틱 가구 거리,서울특별시 용산구
9,와룡공원,서울특별시 종로구
10,홍릉수목원,서울특별시 동대문구
11,롯데월드,서울특별시 송파구
12,서울어린이대공원,서울특별시 광진구
13,도산공원,서울특별시 강남구
14,경희궁,서울특별시 종로구
15,수락산,서울특별시 노원구
16,불암산,서울특별시 노원구
17,관악산,서울특별시 관악구
18,청계산,서울특별시 서초구
19,서울트릭아이미술관,서울특별시 마포구
20,서울선릉(성종과정현왕후)과정릉(중종)[유네스코세계문화유산],서울특별시 강남구
21,국립4.19민주묘지,서울특별시 강북구
22,국립서울현충원,서울특별시 동작구
23,서울암사동유적,서울특별시 강동구
24,서울 방이동 고분군,서울특별시 송파구
25,종묘,서울특별시 종로구
26,덕수궁,서울특별시 중구
27,경복궁,서울특별시 종로구
28,봉원사(서울),서울특별시 서대문구
29,도선사(서울),서울특별시 강북구
30,남산골한옥마을,서울특별시 중구
31,서서울호수공원,서울특별시 양천구
32,북촌한옥마을,서울특별시 종로구
33,남산서울타워,서울특별시 용산구
34,대학로,서울특별시 종로구
35,청와대앞길,서울특별시 종로구
36,올림픽공원,서울특별시 송파구
37,"서울 헌릉(태종,원경왕후)과 인릉(순조,순원왕후) [유네스코 세계문화유산]",서울특별시 서초구
38,새남터기념성당,서울특별시 용산구
39,서울태릉(문정왕후)과강릉(인순왕후)[유네스코세계문화유산],서울특별시 노원구
40,서울정릉(신덕왕후)[유네스코세계문화유산],서울특별시 성북구
41,서울몽촌토성,서울특별시 송파구
42,서울 석촌동 고분군,서울특별시 송파구
43,천호공원,서울특별시 강동구
44,길동생태공원,서울특별시 강동구
45,북한산국립공원,서울특별시 은평구
46,이태원관광특구,서울특별시 용산구
47,성락원(서울),서울특별시 성북구
48,구암공원,서울특별시 강서구
49,압구정로데오거리,서울특별시 강남구
50,서대문독립공원,서울특별시 서대문구
51,서울숲,서울특별시 성동구
52,백련사(서울),서울특별시 서대문구
53,월드컵공원,서울특별시 마포구
54,서울신림동민속순대타운,서울특별시 관악구
55,여의도공원,서울특별시 영등포구
56,보라매공원,서울특별시 동작구
57,난지한강공원,서울특별시 마포구
58,63스퀘어,서울특별시 영등포구
59,창덕궁과후원[유네스코세계문화유산],서울특별시 종로구
60,노량진수산물도매시장,서울특별시 동작구
61,광장시장,서울특별시 종로구
62,남대문시장,서울특별시 중구
63,평강성서유물박물관,서울특별시 구로구
64,서대문자연사박물관,서울특별시 서대문구
65,전쟁기념관,서울특별시 용산구
66,서울역사박물관,서울특별시 종로구
67,국립중앙박물관,서울특별시 용산구
68,아차산,서울특별시 광진구
69,남산케이블카,서울특별시 중구
70,둘리뮤지엄,서울특별시 도봉구
71,신영시장,서울특별시 양천구
72,동대문역사문화공원,서울특별시 중구
73,응봉산(서울),서울특별시 성동구
74,서울시립북서울미술관,서울특별시 노원구
75,남산 야외식물원,서울특별시 용산구
76,능인선원,서울특별시 강남구
77,만해한용운심우장,서울특별시 성북구
78,광진교8번가,서울특별시 강동구
79,서울마리나 요트&클럽,서울특별시 영등포구
80,홍대 벽화거리,서울특별시 마포구
81,서울망원시장,서울특별시 마포구
82,헬로우뮤지움,서울특별시 성동구
83,동대문디자인플라자(DDP),서울특별시 중구
84,자양동양꼬치거리(중국음식문화거리),서울특별시 광진구
85,구룡산(서울),서울특별시 서초구
86,한국종합무역센터(코엑스),서울특별시 강남구
87,대림중앙시장,서울특별시 영등포구
88,서촌마을,서울특별시 종로구
89,동진시장,서울특별시 마포구
90,서울식물원,서울특별시 강서구
91,금천예술공장,서울특별시 금천구
92,챔피언1250,서울특별시 용산구
93,근현대사기념관,서울특별시 강북구
94,피노파밀리아,서울특별시 노원구
95,"서울의릉(경종,선의왕후)[유네스코세계문화유산]",서울특별시 성북구
96,문화역서울284,서울특별시 중구
97,한강시민공원광나루지구(광나루한강공원),서울특별시 강동구
98,삼청동,서울특별시 종로구
99,상수동 카페거리,서울특별시 마포구
100,인사동,서울특별시 종로구
101,명동,서울특별시 중구
102,무중력지대양천,서울특별시 양천구
103,식민지역사박물관,서울특별시 용산구
104,K-Taekwon school 태권도체험,서울특별시 강동구
105,문화철도 959,서울특별시 구로구
106,고척 스카이돔,서울특별시 구로구
107,궁동저수지 생태공원,서울특별시 구로구
108,국제음식문화거리(INTERNATIONALFOODSTREET),서울특별시 구로구
109,한방스파여용국,서울특별시 송파구
110,공덕동 족발 골목,서울특별시 마포구
111,아차산생태공원,서울특별시 광진구
112,응암동 감자국 거리,서울특별시 은평구
113,호압사(서울),서울특별시 관악구
114,황학동 벼룩시장 (도깨비시장 / 만물시장),서울특별시 중구
115,서울함공원,서울특별시 마포구
116,선유도공원,서울특별시 영등포구
117,하늘공원,서울특별시 마포구
118,녹사평지하예술정원,서울특별시 용산구
119,망우리공원,서울특별시 중랑구
120,여의도샛강생태공원,서울특별시 영등포구
121,강서습지생태공원,서울특별시 강서구
122,백사실계곡,서울특별시 종로구
123,홍대,서울특별시 마포구
124,겸재정선미술관,서울특별시 강서구
125,삼성산성지,서울특별시 관악구
126,관악산공원야외식물원,서울특별시 관악구
127,살곶이체육공원,서울특별시 성동구
128,몽마르뜨공원,서울특별시 서초구
129,영등포신길동홍어거리,서울특별시 영등포구
130,신사동가로수길,서울특별시 강남구
131,한강시민공원 잠실지구(잠실한강공원),서울특별시 송파구
132,한강시민공원잠원지구(잠원한강공원),서울특별시 서초구
133,세빛섬,서울특별시 서초구
134,경동시장,서울특별시 동대문구
135,오동근린공원,서울특별시 강북구
136,양재천 생태공원,서울특별시 서초구
137,북서울꿈의숲,서울특별시 강북구
138,온수공원,서울특별시 구로구
139,용마산,서울특별시 중랑구
140,범어사(부산),부산광역시 금정구
141,부산송도해수욕장,부산광역시 서구
142,용두산공원,부산광역시 중구
143,부산어린이대공원,부산광역시 부산진구
144,일광해수욕장,부산광역시 기장군
145,해운대해수욕장,부산광역시 해운대구
146,송정해수욕장,부산광역시 해운대구
147,광안리해수욕장,부산광역시 수영구
148,부산어촌민속관,부산광역시 북구
149,서면1번가,부산광역시 부산진구
150,대항어촌체험휴양마을,부산광역시 강서구
151,황령산,부산광역시 부산진구
152,선암사(부산),부산광역시 부산진구
153,수영사적공원,부산광역시 수영구
154,부산차이나타운특구(상해문.상해거리),부산광역시 동구
155,삼광사,부산광역시 부산진구
156,해동용궁사(부산),부산광역시 기장군
157,충렬사,부산광역시 동래구
158,태종대(부산국가지질공원),부산광역시 영도구
159,UN기념공원,부산광역시 남구
160,부산진시장,부산광역시 동구
161,동삼동패총전시관,부산광역시 영도구
162,부산근대역사관,부산광역시 중구
163,남천 해변시장,부산광역시 수영구
164,부산해양자연사박물관,부산광역시 동래구
