,행정구역,시도,군구,평균
0,경상북도 군위군,경상북도,군위군,0.0007143986265739275
1,경상북도 고령군,경상북도,고령군,0.000772927371222456
2,전라남도 함평군,전라남도,함평군,0.0008592709579020302
3,경상북도 청도군,경상북도,청도군,0.0009420741247529183
4,전라남도 강진군,전라남도,강진군,0.0009859577743850925
5,경상남도 의령군,경상남도,의령군,0.0010099888990977286
6,전라남도 곡성군,전라남도,곡성군,0.0010927943963534238
7,충청남도 청양군,충청남도,청양군,0.0011396416563893973
8,강원도 화천군,강원도,화천군,0.0011559337325483532
9,부산광역시 북구,부산광역시,북구,0.0012123167178465968
10,전라남도 화순군,전라남도,화순군,0.0013716216033320021
11,전라남도 장성군,전라남도,장성군,0.0017577720645417215
12,울산광역시 북구,울산광역시,북구,0.001909299794365543
13,전라북도 김제시,전라북도,김제시,0.0019471439738677559
14,전라남도 장흥군,전라남도,장흥군,0.001958255542651643
15,충청북도 단양군,충청북도,단양군,0.0020071517943499166
16,전라북도 임실군,전라북도,임실군,0.0020136890393199973
17,경상북도 예천군,경상북도,예천군,0.0020147567129713286
18,경상북도 봉화군,경상북도,봉화군,0.002021174400853502
19,강원도 양구군,강원도,양구군,0.002038829813654453
20,경상남도 합천군,경상남도,합천군,0.002054668644199193
21,전라북도 순창군,전라북도,순창군,0.002141151452791996
22,전라남도 신안군,전라남도,신안군,0.0022571013234328596
23,대구광역시 서구,대구광역시,서구,0.0023781320052721523
24,전라북도 고창군,전라북도,고창군,0.002470068648129276
25,경상북도 성주군,경상북도,성주군,0.002480151054637465
26,충청북도 보은군,충청북도,보은군,0.0025060457662712306
27,충청북도 영동군,충청북도,영동군,0.002661810770483873
28,충청남도 예산군,충청남도,예산군,0.002715402268208557
29,충청북도 청주시 서원구,충청북도,청주시 서원구,0.002741592961570151
30,충청남도 서천군,충청남도,서천군,0.0028218363402926247
31,경상북도 의성군,경상북도,의성군,0.0029174906086995634
32,경상북도 청송군,경상북도,청송군,0.002940145057525361
33,광주광역시 남구,광주광역시,남구,0.0029934556992427374
34,경상남도 거창군,경상남도,거창군,0.0029954591806584598
35,경상북도 상주시,경상북도,상주시,0.0030124368580118073
36,경상남도 산청군,경상남도,산청군,0.003066387739870996
37,경상남도 창녕군,경상남도,창녕군,0.003165408662515558
38,강원도 철원군,강원도,철원군,0.0031703753277128647
39,충청북도 증평군,충청북도,증평군,0.003187713881958853
40,경상남도 고성군,경상남도,고성군,0.003242199558235572
41,전라북도 부안군,전라북도,부안군,0.003258096065252331
42,충청북도 청주시 상당구,충청북도,청주시 상당구,0.0033203912145740367
43,충청남도 논산시,충청남도,논산시,0.0033662471456420624
44,전라남도 담양군,전라남도,담양군,0.0034967683203749947
45,강원도 인제군,강원도,인제군,0.00350646803208733
46,전라남도 진도군,전라남도,진도군,0.003537019562171204
47,경상남도 창원시 마산회원구,경상남도,창원시 마산회원구,0.00358217597594983
48,전라북도 장수군,전라북도,장수군,0.003596993749917054
49,경상북도 영천시,경상북도,영천시,0.0036562293011284607
50,울산광역시 울주군,울산광역시,울주군,0.0036637202064319497
51,경상남도 함안군,경상남도,함안군,0.0036845018190909667
52,전라남도 보성군,전라남도,보성군,0.0037166694595340602
53,전라북도 정읍시,전라북도,정읍시,0.00372097408334069
54,전라북도 무주군,전라북도,무주군,0.0037755662464662525
55,충청남도 공주시,충청남도,공주시,0.0037976395220237834
56,충청남도 태안군,충청남도,태안군,0.0038581583512272114
57,경상북도 영덕군,경상북도,영덕군,0.004008764722048696
58,경상남도 창원시 의창구,경상남도,창원시 의창구,0.004079421958415304
59,강원도 삼척시,강원도,삼척시,0.004113215121593384
60,경상북도 울릉군,경상북도,울릉군,0.004121724817455508
61,광주광역시 북구,광주광역시,북구,0.004137394106042812
62,전라남도 나주시,전라남도,나주시,0.0042184125532531815
63,경상남도 밀양시,경상남도,밀양시,0.004358216255237972
64,충청남도 홍성군,충청남도,홍성군,0.004424541877457445
65,대전광역시 대덕구,대전광역시,대덕구,0.004429416299500681
66,경상북도 영주시,경상북도,영주시,0.004540010010169757
67,전라북도 진안군,전라북도,진안군,0.0046300231397152945
68,경상북도 영양군,경상북도,영양군,0.0046797279378607325
69,전라북도 남원시,전라북도,남원시,0.004926841109092287
70,부산광역시 연제구,부산광역시,연제구,0.0051065497500215285
71,전라남도 고흥군,전라남도,고흥군,0.005183500023700641
72,충청북도 괴산군,충청북도,괴산군,0.00520301500230722
73,전라남도 영광군,전라남도,영광군,0.005236483351162489
74,충청남도 계룡시,충청남도,계룡시,0.005269854887456057
75,경상북도 문경시,경상북도,문경시,0.005404698807239237
76,대전광역시 중구,대전광역시,중구,0.005421188166944573
77,울산광역시 중구,울산광역시,중구,0.005471781834141479
78,강원도 영월군,강원도,영월군,0.005532130549376232
79,전라남도 순천시,전라남도,순천시,0.005622867713018248
80,대구광역시 달성군,대구광역시,달성군,0.005664570969070689
81,강원도 태백시,강원도,태백시,0.005675822862688338
82,충청남도 금산군,충청남도,금산군,0.005688076200708651
83,전라남도 해남군,전라남도,해남군,0.005848195594105863
84,경상남도 함양군,경상남도,함양군,0.006107122460480421
85,경상북도 경산시,경상북도,경산시,0.006130614740367135
86,경상남도 하동군,경상남도,하동군,0.006150785436077551
87,충청남도 보령시,충청남도,보령시,0.0062794455850191675
88,충청북도 옥천군,충청북도,옥천군,0.006725218054165064
