,행정구역,visit_rank,place_rank,money_rank,(외국인/내국인)방문객수,관광명소/면적,(외국인/내국인)지출액 평균,순위평균,코드
0,대구광역시 서구,21.0,12.0,24,0.0010293392898292528,1.7307900834612944e-07,0.0023781320052721523,19.0,27170.0
1,부산광역시 북구,8.0,40.0,10,0.0008078752453274978,5.079998482604453e-08,0.0012123167178465968,19.333333333333332,26320.0
2,광주광역시 남구,1.0,33.0,34,0.0006600879503826035,6.555417108423935e-08,0.0029934556992427374,22.666666666666668,29155.0
3,전라남도 장흥군,12.0,63.0,15,0.0009481701193392192,2.892300032053529e-08,0.001958255542651643,30.0,46800.0
4,광주광역시 북구,3.0,26.0,62,0.0007374303047624783,9.145291628039969e-08,0.004137394106042812,30.333333333333332,29170.0
5,울산광역시 중구,6.0,14.0,78,0.0007580597299628677,1.6211611855558233e-07,0.005471781834141479,32.666666666666664,31110.0
6,대전광역시 중구,4.0,29.0,77,0.0007377958723156429,8.041276205278786e-08,0.005421188166944573,36.666666666666664,30140.0
7,전라남도 화순군,7.0,94.0,11,0.0007810771659815673,1.778880768562895e-08,0.0013716216033320021,37.333333333333336,46790.0
8,대전광역시 대덕구,17.0,30.0,66,0.0009688192675735521,7.27664017881837e-08,0.004429416299500681,37.666666666666664,30230.0
9,충청남도 서천군,61.0,22.0,31,0.0015472517183170136,9.832954319559799e-08,0.0028218363402926247,38.0,44770.0
10,전라남도 강진군,24.0,85.0,5,0.0010600799004174025,1.996368573622683e-08,0.0009859577743850925,38.0,46810.0
11,전라북도 순창군,18.0,75.0,22,0.0009890790761211152,2.2186630975633126e-08,0.002141151452791996,38.333333333333336,45770.0
12,강원도 태백시,2.0,41.0,82,0.0006901007984657548,4.9419943608872555e-08,0.005675822862688338,41.666666666666664,42190.0
13,전라남도 담양군,37.0,49.0,45,0.0012540632083247476,4.174983650681623e-08,0.0034967683203749947,43.666666666666664,46710.0
14,충청북도 증평군,50.0,42.0,40,0.0013800622609663525,4.890116131993839e-08,0.003187713881958853,44.0,43745.0
15,전라남도 곡성군,14.0,120.0,7,0.000957179505515133,1.2786158676656967e-08,0.0010927943963534238,47.0,46720.0
16,충청남도 예산군,31.0,83.0,29,0.0011560727244160334,2.0270960659594724e-08,0.002715402268208557,47.666666666666664,44810.0
17,전라남도 목포시,40.0,9.0,99,0.0012735409014423284,2.1309235145492e-07,0.008910586147744124,49.333333333333336,46110.0
18,충청남도 청양군,9.0,134.0,8,0.0008377798404048796,1.043623536678066e-08,0.0011396416563893973,50.333333333333336,44790.0
19,전라북도 임실군,10.0,125.0,17,0.0009148954220364683,1.1720919521273175e-08,0.0020136890393199973,50.666666666666664,45750.0
20,강원도 양구군,51.0,91.0,20,0.0013856260911978046,1.813184282300357e-08,0.002038829813654453,54.0,42800.0
21,경상남도 거창군,13.0,114.0,35,0.0009490675567073742,1.3693293517743782e-08,0.0029954591806584598,54.0,48880.0
22,강원도 철원군,33.0,92.0,39,0.001186668725772926,1.7983947540789052e-08,0.0031703753277128647,54.666666666666664,42780.0
23,전라북도 고창군,79.0,61.0,25,0.0018733081160766385,3.127650704548755e-08,0.002470068648129276,55.0,45790.0
24,전라남도 함평군,35.0,135.0,3,0.0012281793309052472,1.0201400842438774e-08,0.0008592709579020302,57.666666666666664,46860.0
25,대구광역시 달서구,32.0,36.0,111,0.0011736723775306042,6.416456928730807e-08,0.012141972916662332,59.666666666666664,27290.0
26,충청남도 계룡시,5.0,100.0,75,0.0007440643320963586,1.6474775402187656e-08,0.005269854887456057,60.0,44250.0
27,전라북도 익산시,23.0,70.0,90,0.0010486631089644655,2.3690271149158203e-08,0.006947042205989997,61.0,45140.0
28,전라북도 부안군,94.0,47.0,42,0.0022492751765274648,4.258112620949576e-08,0.003258096065252331,61.0,45800.0
29,대전광역시 서구,22.0,48.0,121,0.0010373453523148278,4.187362667393735e-08,0.013803738127432826,63.666666666666664,30170.0
30,경상남도 의령군,25.0,162.0,6,0.0010637960650719308,6.2123270265469775e-09,0.0010099888990977286,64.33333333333333,48720.0
31,전라북도 남원시,16.0,109.0,70,0.0009668913873302849,1.4623931172101013e-08,0.004926841109092287,65.0,45190.0
32,전라북도 장수군,20.0,128.0,49,0.0010163994772877396,1.1252767502122982e-08,0.003596993749917054,65.66666666666667,45740.0
33,부산광역시 동래구,42.0,11.0,145,0.0013081651916026075,1.8037763464759017e-07,0.02123921428049279,66.0,26260.0
34,광주광역시 동구,36.0,28.0,135,0.0012518921008513575,8.11155595785268e-08,0.0167003684104245,66.33333333333333,29110.0
35,대구광역시 달성군,65.0,55.0,81,0.0016546986668110456,3.515411885844385e-08,0.005664570969070689,67.0,27710.0
36,대구광역시 남구,54.0,5.0,143,0.001417759238951811,4.0157113213899466e-07,0.02041656880591108,67.33333333333333,27200.0
37,전라남도 장성군,41.0,151.0,12,0.0012963934293374634,7.716021086173442e-09,0.0017577720645417215,68.0,46880.0
38,경상북도 고령군,97.0,105.0,2,0.0023420237039346666,1.562256704555877e-08,0.000772927371222456,68.0,47830.0
39,충청북도 영동군,11.0,166.0,28,0.0009207610274024578,4.7280418630301555e-09,0.002661810770483873,68.33333333333333,43740.0
40,전라북도 김제시,53.0,140.0,14,0.0014171055442809709,9.159786226681381e-09,0.0019471439738677559,69.0,45210.0
41,경상남도 산청군,49.0,122.0,37,0.001360404022753384,1.2584876894713454e-08,0.003066387739870996,69.33333333333333,48860.0
42,경상남도 합천군,73.0,116.0,21,0.001811522468778379,1.3218002408088828e-08,0.002054668644199193,70.0,48890.0
43,충청남도 홍성군,19.0,129.0,65,0.0010148843249897677,1.1193232550109196e-08,0.004424541877457445,71.0,44800.0
44,경상북도 예천군,43.0,153.0,18,0.0013273202337109572,7.558763102165134e-09,0.0020147567129713286,71.33333333333333,47900.0
45,광주광역시 서구,60.0,27.0,128,0.0015177544554396503,8.377292986299307e-08,0.015539923702606935,71.66666666666667,29140.0
46,경상북도 군위군,45.0,170.0,1,0.0013336358287359565,3.2556071123517905e-09,0.0007143986265739275,72.0,47720.0
47,충청북도 제천시,26.0,97.0,94,0.0010641150450315924,1.6979425563110977e-08,0.00764751788133676,72.33333333333333,43150.0
48,경상북도 영주시,28.0,124.0,67,0.0011089274734447654,1.1938711414368998e-08,0.004540010010169757,73.0,47210.0
49,충청북도 단양군,85.0,119.0,16,0.00196939550998949,1.2817905533634867e-08,0.0020071517943499166,73.33333333333333,43800.0
50,전라남도 보성군,70.0,99.0,53,0.0017548614485590618,1.6565957155481573e-08,0.0037166694595340602,74.0,46780.0
51,경상북도 울릉군,157.0,7.0,61,0.03249131840002146,2.193517528904453e-07,0.004121724817455508,75.0,47940.0
52,강원도 원주시,56.0,76.0,93,0.0014367678819349518,2.188334423217168e-08,0.007322915386188265,75.0,42130.0
53,경상북도 영천시,44.0,132.0,50,0.001333551722393552,1.0878964413240094e-08,0.0036562293011284607,75.33333333333333,47230.0
54,경상남도 고성군,92.0,95.0,41,0.0021736855870634012,1.7375954728251993e-08,0.003242199558235572,76.0,48820.0
55,경상북도 성주군,75.0,127.0,26,0.0018402858041450091,1.1361673070218682e-08,0.002480151054637465,76.0,47840.0
56,충청남도 공주시,71.0,102.0,56,0.001774870915364144,1.6200839674638703e-08,0.0037976395220237834,76.33333333333333,44150.0
57,경상남도 밀양시,67.0,101.0,64,0.0016991065761867432,1.6277035674047414e-08,0.004358216255237972,77.33333333333333,48270.0
58,전라북도 정읍시,76.0,103.0,54,0.0018410138005734388,1.587211987238111e-08,0.00372097408334069,77.66666666666667,45180.0
59,강원도 화천군,111.0,113.0,9,0.0028551837203726464,1.4302502350793667e-08,0.0011559337325483532,77.66666666666667,42790.0
