기준년월,광역지자체,중분류,,지출액,전년도 지출액
201901,부산광역시,관광총소비,0000,2.402001E7,2.0497921E7
201901,부산광역시,호텔,1001,2262914.0,1824856.0
201901,부산광역시,콘도,1002,2035.0,1252.0
201901,부산광역시,캠핑장/펜션,1003,0.0,0.0
201901,부산광역시,기타숙박,1004,672765.0,591117.0
201901,부산광역시,여행업,2001,776.0,15687.0
201901,부산광역시,육상운송,3001,2222.0,0.0
201901,부산광역시,수상운송,3002,5060.0,7071.0
201901,부산광역시,항공운송,3003,25033.0,1460.0
201901,부산광역시,렌터카,3004,6181.0,18372.0
201901,부산광역시,면세점,4001,2833598.0,2736906.0
201901,부산광역시,관광기념품,4002,418636.0,139221.0
201901,부산광역시,레저용품쇼핑,4003,242665.0,179250.0
201901,부산광역시,대형쇼핑몰,4004,6273326.0,5529414.0
201901,부산광역시,카지노,5001,9423477.0,7949910.0
201901,부산광역시,관광유원시설,5002,44218.0,27776.0
201901,부산광역시,골프장,5003,16142.0,9642.0
201901,부산광역시,스키장,5004,0.0,0.0
201901,부산광역시,기타레저,5005,240.0,74.0
201901,부산광역시,문화서비스,5006,3233.0,6783.0
201901,부산광역시,식음료,6001,1787489.0,1459129.0
201902,부산광역시,관광총소비,0000,2.1817571E7,2.1919033E7
201902,부산광역시,호텔,1001,2274940.0,2056964.0
201902,부산광역시,콘도,1002,831.0,1101.0
201902,부산광역시,캠핑장/펜션,1003,40.0,50.0
201902,부산광역시,기타숙박,1004,729394.0,615079.0
201902,부산광역시,여행업,2001,132.0,3340.0
201902,부산광역시,육상운송,3001,1921.0,154.0
201902,부산광역시,수상운송,3002,6801.0,8419.0
201902,부산광역시,항공운송,3003,31811.0,4560.0
201902,부산광역시,렌터카,3004,11376.0,11095.0
201902,부산광역시,면세점,4001,2683773.0,3005516.0
201902,부산광역시,관광기념품,4002,450082.0,281064.0
201902,부산광역시,레저용품쇼핑,4003,253800.0,222432.0
201902,부산광역시,대형쇼핑몰,4004,6782347.0,7136450.0
201902,부산광역시,카지노,5001,6673750.0,6951450.0
201902,부산광역시,관광유원시설,5002,51366.0,43294.0
201902,부산광역시,골프장,5003,8189.0,13897.0
201902,부산광역시,스키장,5004,0.0,0.0
201902,부산광역시,기타레저,5005,25.0,61.0
201902,부산광역시,문화서비스,5006,3369.0,4138.0
201902,부산광역시,식음료,6001,1853625.0,1559970.0
201903,부산광역시,관광총소비,0000,2.7132071E7,2.6550901E7
201903,부산광역시,호텔,1001,2886608.0,2633547.0
201903,부산광역시,콘도,1002,1659.0,2636.0
201903,부산광역시,캠핑장/펜션,1003,0.0,0.0
201903,부산광역시,기타숙박,1004,1037313.0,931522.0
201903,부산광역시,여행업,2001,7945.0,5034.0
201903,부산광역시,육상운송,3001,5402.0,0.0
201903,부산광역시,수상운송,3002,8914.0,9028.0
201903,부산광역시,항공운송,3003,31652.0,4484.0
201903,부산광역시,렌터카,3004,10838.0,13635.0
201903,부산광역시,면세점,4001,3379973.0,3899634.0
201903,부산광역시,관광기념품,4002,663307.0,236555.0
201903,부산광역시,레저용품쇼핑,4003,291302.0,239515.0
201903,부산광역시,대형쇼핑몰,4004,7976175.0,7878906.0
201903,부산광역시,카지노,5001,8421911.0,8395774.0
201903,부산광역시,관광유원시설,5002,58432.0,48998.0
201903,부산광역시,골프장,5003,19020.0,19624.0
201903,부산광역시,스키장,5004,0.0,0.0
201903,부산광역시,기타레저,5005,35.0,38.0
201903,부산광역시,문화서비스,5006,5544.0,4328.0
201903,부산광역시,식음료,6001,2326041.0,2227643.0
201904,부산광역시,관광총소비,0000,3.3310363E7,2.8377838E7
201904,부산광역시,호텔,1001,3938300.0,3167061.0
201904,부산광역시,콘도,1002,2240.0,3281.0
201904,부산광역시,캠핑장/펜션,1003,344.0,500.0
201904,부산광역시,기타숙박,1004,1487171.0,1126434.0
201904,부산광역시,여행업,2001,2148.0,7529.0
201904,부산광역시,육상운송,3001,6556.0,0.0
201904,부산광역시,수상운송,3002,8415.0,9721.0
201904,부산광역시,항공운송,3003,35660.0,7451.0
201904,부산광역시,렌터카,3004,9775.0,19361.0
201904,부산광역시,면세점,4001,4078815.0,4298130.0
201904,부산광역시,관광기념품,4002,980246.0,288864.0
201904,부산광역시,레저용품쇼핑,4003,351060.0,280761.0
201904,부산광역시,대형쇼핑몰,4004,1.0211986E7,8499722.0
201904,부산광역시,카지노,5001,9052155.0,8097885.0
201904,부산광역시,관광유원시설,5002,107109.0,75723.0
201904,부산광역시,골프장,5003,21847.0,31884.0
201904,부산광역시,스키장,5004,0.0,0.0
201904,부산광역시,기타레저,5005,117.0,39.0
201904,부산광역시,문화서비스,5006,8229.0,7258.0
201904,부산광역시,식음료,6001,3008190.0,2456235.0
201905,부산광역시,관광총소비,0000,3.2614978E7,3.2879269E7
201905,부산광역시,호텔,1001,3872896.0,4677158.0
201905,부산광역시,콘도,1002,3850.0,3423.0
201905,부산광역시,캠핑장/펜션,1003,200.0,0.0
201905,부산광역시,기타숙박,1004,1555079.0,1516440.0
201905,부산광역시,여행업,2001,7262.0,6873.0
201905,부산광역시,육상운송,3001,8324.0,1709.0
201905,부산광역시,수상운송,3002,11989.0,9923.0
201905,부산광역시,항공운송,3003,48100.0,8330.0
201905,부산광역시,렌터카,3004,13545.0,13877.0
201905,부산광역시,면세점,4001,4173826.0,4593517.0
201905,부산광역시,관광기념품,4002,842951.0,130893.0
201905,부산광역시,레저용품쇼핑,4003,305699.0,314641.0
201905,부산광역시,대형쇼핑몰,4004,1.0197498E7,9340303.0
201905,부산광역시,카지노,5001,8092396.0,9336350.0
201905,부산광역시,관광유원시설,5002,126215.0,75597.0
201905,부산광역시,골프장,5003,27490.0,39530.0
201905,부산광역시,스키장,5004,0.0,0.0
201905,부산광역시,기타레저,5005,92.0,177.0
201905,부산광역시,문화서비스,5006,6746.0,8920.0
201905,부산광역시,식음료,6001,3320822.0,2801609.0
201906,부산광역시,관광총소비,0000,3.1681754E7,2.9238886E7
201906,부산광역시,호텔,1001,3163886.0,2988494.0
201906,부산광역시,콘도,1002,1574.0,2093.0
201906,부산광역시,캠핑장/펜션,1003,290.0,0.0
201906,부산광역시,기타숙박,1004,1407521.0,1064895.0
201906,부산광역시,여행업,2001,187.0,18589.0
201906,부산광역시,육상운송,3001,5696.0,990.0
201906,부산광역시,수상운송,3002,10387.0,9627.0
201906,부산광역시,항공운송,3003,47173.0,5404.0
201906,부산광역시,렌터카,3004,20247.0,18019.0
201906,부산광역시,면세점,4001,3884671.0,4222909.0
201906,부산광역시,관광기념품,4002,701795.0,153861.0
201906,부산광역시,레저용품쇼핑,4003,306112.0,256013.0
201906,부산광역시,대형쇼핑몰,4004,1.0392315E7,8522698.0
201906,부산광역시,카지노,5001,8567259.0,9218187.0
201906,부산광역시,관광유원시설,5002,122561.0,83985.0
201906,부산광역시,골프장,5003,19994.0,28571.0
201906,부산광역시,스키장,5004,0.0,0.0
201906,부산광역시,기타레저,5005,188.0,212.0
201906,부산광역시,문화서비스,5006,8223.0,2573.0
201906,부산광역시,식음료,6001,3021675.0,2641767.0
201907,부산광역시,관광총소비,0000,3.0486945E7,2.9299649E7
201907,부산광역시,호텔,1001,3494741.0,3262745.0
201907,부산광역시,콘도,1002,2891.0,4557.0
201907,부산광역시,캠핑장/펜션,1003,60.0,60.0
201907,부산광역시,기타숙박,1004,1660552.0,1360450.0
201907,부산광역시,여행업,2001,11060.0,8127.0
201907,부산광역시,육상운송,3001,5000.0,803.0
201907,부산광역시,수상운송,3002,10110.0,9072.0
201907,부산광역시,항공운송,3003,49669.0,27453.0
201907,부산광역시,렌터카,3004,22840.0,10957.0
201907,부산광역시,면세점,4001,3201096.0,3121891.0
201907,부산광역시,관광기념품,4002,469713.0,186881.0
201907,부산광역시,레저용품쇼핑,4003,263134.0,205437.0
201907,부산광역시,대형쇼핑몰,4004,8806276.0,8163605.0
201907,부산광역시,카지노,5001,9115355.0,1.01757E7
201907,부산광역시,관광유원시설,5002,163711.0,111326.0
201907,부산광역시,골프장,5003,27572.0,14585.0
201907,부산광역시,스키장,5004,0.0,0.0
201907,부산광역시,기타레저,5005,392.0,529.0
201907,부산광역시,문화서비스,5006,10150.0,4791.0
201907,부산광역시,식음료,6001,3172622.0,2630679.0
201908,부산광역시,관광총소비,0000,3.1834444E7,3.0824848E7
201908,부산광역시,호텔,1001,3526017.0,3352343.0
201908,부산광역시,콘도,1002,4620.0,5512.0
201908,부산광역시,캠핑장/펜션,1003,0.0,0.0
201908,부산광역시,기타숙박,1004,1893733.0,1639846.0
201908,부산광역시,여행업,2001,120.0,6865.0
201908,부산광역시,육상운송,3001,5703.0,14535.0
201908,부산광역시,수상운송,3002,14324.0,15808.0
201908,부산광역시,항공운송,3003,39422.0,46378.0
201908,부산광역시,렌터카,3004,18952.0,11214.0
201908,부산광역시,면세점,4001,3659066.0,3735749.0
201908,부산광역시,관광기념품,4002,451774.0,110239.0
201908,부산광역시,레저용품쇼핑,4003,254265.0,257564.0
201908,부산광역시,대형쇼핑몰,4004,9471808.0,9021717.0
201908,부산광역시,카지노,5001,9112594.0,9681219.0
201908,부산광역시,관광유원시설,5002,167933.0,123041.0
201908,부산광역시,골프장,5003,12875.0,12144.0
201908,부산광역시,스키장,5004,0.0,0.0
201908,부산광역시,기타레저,5005,467.0,118.0
201908,부산광역시,문화서비스,5006,5942.0,4024.0
201908,부산광역시,식음료,6001,3194827.0,2786533.0
201909,부산광역시,관광총소비,0000,2.8254193E7,2.9415396E7
201909,부산광역시,호텔,1001,3148664.0,3267681.0
201909,부산광역시,콘도,1002,3308.0,3462.0
201909,부산광역시,캠핑장/펜션,1003,793.0,174.0
201909,부산광역시,기타숙박,1004,1481008.0,1449118.0
201909,부산광역시,여행업,2001,8569.0,7421.0
201909,부산광역시,육상운송,3001,12604.0,6442.0
201909,부산광역시,수상운송,3002,12858.0,21406.0
201909,부산광역시,항공운송,3003,37834.0,60279.0
