기준년월,광역지자체,중분류,,지출액,전년도 지출액
201901,인천광역시,관광총소비,0000,3.9630894E7,3.6395462E7
201901,인천광역시,호텔,1001,1.5495124E7,9816232.0
201901,인천광역시,콘도,1002,0.0,0.0
201901,인천광역시,캠핑장/펜션,1003,0.0,0.0
201901,인천광역시,기타숙박,1004,485117.0,481054.0
201901,인천광역시,여행업,2001,13561.0,7652.0
201901,인천광역시,육상운송,3001,0.0,214.0
201901,인천광역시,수상운송,3002,57.0,157.0
201901,인천광역시,항공운송,3003,11756.0,132013.0
201901,인천광역시,렌터카,3004,240453.0,191330.0
201901,인천광역시,면세점,4001,1.7556511E7,2.1033012E7
201901,인천광역시,관광기념품,4002,256396.0,181360.0
201901,인천광역시,레저용품쇼핑,4003,47981.0,36649.0
201901,인천광역시,대형쇼핑몰,4004,1968851.0,1871895.0
201901,인천광역시,카지노,5001,0.0,0.0
201901,인천광역시,관광유원시설,5002,0.0,50.0
201901,인천광역시,골프장,5003,6152.0,14393.0
201901,인천광역시,스키장,5004,0.0,0.0
201901,인천광역시,기타레저,5005,1.0,371.0
201901,인천광역시,문화서비스,5006,786.0,1687.0
201901,인천광역시,식음료,6001,3548147.0,2627393.0
201902,인천광역시,관광총소비,0000,3.5329756E7,3.8545719E7
201902,인천광역시,호텔,1001,1.3303086E7,1.0407808E7
201902,인천광역시,콘도,1002,0.0,0.0
201902,인천광역시,캠핑장/펜션,1003,60.0,330.0
201902,인천광역시,기타숙박,1004,382487.0,532235.0
201902,인천광역시,여행업,2001,3612.0,14302.0
201902,인천광역시,육상운송,3001,0.0,1166.0
201902,인천광역시,수상운송,3002,967.0,493.0
201902,인천광역시,항공운송,3003,6167.0,83603.0
201902,인천광역시,렌터카,3004,197007.0,221073.0
201902,인천광역시,면세점,4001,1.6005656E7,2.250452E7
201902,인천광역시,관광기념품,4002,160512.0,148736.0
201902,인천광역시,레저용품쇼핑,4003,49569.0,44982.0
201902,인천광역시,대형쇼핑몰,4004,2011708.0,1670418.0
201902,인천광역시,카지노,5001,0.0,0.0
201902,인천광역시,관광유원시설,5002,41.0,173.0
201902,인천광역시,골프장,5003,8241.0,14249.0
201902,인천광역시,스키장,5004,0.0,0.0
201902,인천광역시,기타레저,5005,0.0,138.0
201902,인천광역시,문화서비스,5006,688.0,1519.0
201902,인천광역시,식음료,6001,3199957.0,2899974.0
201903,인천광역시,관광총소비,0000,3.7651259E7,4.2227997E7
201903,인천광역시,호텔,1001,1.413683E7,1.3582224E7
201903,인천광역시,콘도,1002,0.0,0.0
201903,인천광역시,캠핑장/펜션,1003,0.0,0.0
201903,인천광역시,기타숙박,1004,582085.0,779927.0
201903,인천광역시,여행업,2001,8433.0,4078.0
201903,인천광역시,육상운송,3001,0.0,0.0
201903,인천광역시,수상운송,3002,280.0,84.0
201903,인천광역시,항공운송,3003,6855.0,33205.0
201903,인천광역시,렌터카,3004,258701.0,245887.0
201903,인천광역시,면세점,4001,1.651357E7,2.2781842E7
201903,인천광역시,관광기념품,4002,215385.0,111581.0
201903,인천광역시,레저용품쇼핑,4003,42126.0,49770.0
201903,인천광역시,대형쇼핑몰,4004,2137236.0,1715980.0
201903,인천광역시,카지노,5001,0.0,0.0
201903,인천광역시,관광유원시설,5002,63.0,111.0
201903,인천광역시,골프장,5003,36507.0,43184.0
201903,인천광역시,스키장,5004,0.0,0.0
201903,인천광역시,기타레저,5005,4.0,0.0
201903,인천광역시,문화서비스,5006,1128.0,1301.0
201903,인천광역시,식음료,6001,3712055.0,2878825.0
201904,인천광역시,관광총소비,0000,4.4982283E7,4.27951E7
201904,인천광역시,호텔,1001,1.8087204E7,1.3738079E7
201904,인천광역시,콘도,1002,0.0,0.0
201904,인천광역시,캠핑장/펜션,1003,0.0,1142.0
201904,인천광역시,기타숙박,1004,661885.0,707906.0
201904,인천광역시,여행업,2001,904.0,877.0
201904,인천광역시,육상운송,3001,0.0,0.0
201904,인천광역시,수상운송,3002,134.0,331.0
201904,인천광역시,항공운송,3003,8640.0,14556.0
201904,인천광역시,렌터카,3004,279167.0,278030.0
201904,인천광역시,면세점,4001,1.8687696E7,2.3296299E7
201904,인천광역시,관광기념품,4002,305227.0,131185.0
201904,인천광역시,레저용품쇼핑,4003,93820.0,43430.0
201904,인천광역시,대형쇼핑몰,4004,2557386.0,1766758.0
201904,인천광역시,카지노,5001,0.0,0.0
201904,인천광역시,관광유원시설,5002,287.0,63.0
201904,인천광역시,골프장,5003,90385.0,112513.0
201904,인천광역시,스키장,5004,0.0,0.0
201904,인천광역시,기타레저,5005,34.0,0.0
201904,인천광역시,문화서비스,5006,1474.0,1767.0
201904,인천광역시,식음료,6001,4208041.0,2702165.0
201905,인천광역시,관광총소비,0000,4.6181679E7,4.4363381E7
201905,인천광역시,호텔,1001,1.6937458E7,1.1784533E7
201905,인천광역시,콘도,1002,0.0,0.0
201905,인천광역시,캠핑장/펜션,1003,1865.0,0.0
201905,인천광역시,기타숙박,1004,629961.0,868235.0
201905,인천광역시,여행업,2001,2344.0,8575.0
201905,인천광역시,육상운송,3001,0.0,0.0
201905,인천광역시,수상운송,3002,0.0,345.0
201905,인천광역시,항공운송,3003,7097.0,10556.0
201905,인천광역시,렌터카,3004,285049.0,226372.0
201905,인천광역시,면세점,4001,2.0862058E7,2.6326477E7
201905,인천광역시,관광기념품,4002,239184.0,136034.0
201905,인천광역시,레저용품쇼핑,4003,68585.0,47489.0
201905,인천광역시,대형쇼핑몰,4004,2676161.0,1802233.0
201905,인천광역시,카지노,5001,0.0,0.0
201905,인천광역시,관광유원시설,5002,170.0,374.0
201905,인천광역시,골프장,5003,115619.0,118665.0
201905,인천광역시,스키장,5004,0.0,0.0
201905,인천광역시,기타레저,5005,0.0,74.0
201905,인천광역시,문화서비스,5006,2155.0,1208.0
201905,인천광역시,식음료,6001,4353971.0,3032211.0
201906,인천광역시,관광총소비,0000,4.2164373E7,3.97771E7
201906,인천광역시,호텔,1001,1.6137499E7,1.1601113E7
201906,인천광역시,콘도,1002,0.0,0.0
201906,인천광역시,캠핑장/펜션,1003,248.0,12.0
201906,인천광역시,기타숙박,1004,584070.0,728857.0
201906,인천광역시,여행업,2001,8378.0,1123.0
201906,인천광역시,육상운송,3001,0.0,0.0
201906,인천광역시,수상운송,3002,672.0,607.0
