기준년월,광역지자체,중분류,,지출액,전년도 지출액
201901,세종특별자치시,관광총소비,0000,38717.0,44883.0
201901,세종특별자치시,호텔,1001,0.0,0.0
201901,세종특별자치시,콘도,1002,0.0,0.0
201901,세종특별자치시,캠핑장/펜션,1003,0.0,0.0
201901,세종특별자치시,기타숙박,1004,970.0,8568.0
201901,세종특별자치시,여행업,2001,0.0,0.0
201901,세종특별자치시,육상운송,3001,0.0,0.0
201901,세종특별자치시,수상운송,3002,0.0,0.0
201901,세종특별자치시,항공운송,3003,0.0,0.0
201901,세종특별자치시,렌터카,3004,0.0,0.0
201901,세종특별자치시,면세점,4001,0.0,0.0
201901,세종특별자치시,관광기념품,4002,0.0,325.0
201901,세종특별자치시,레저용품쇼핑,4003,515.0,1242.0
201901,세종특별자치시,대형쇼핑몰,4004,15738.0,17424.0
201901,세종특별자치시,카지노,5001,0.0,0.0
201901,세종특별자치시,관광유원시설,5002,0.0,0.0
201901,세종특별자치시,골프장,5003,200.0,0.0
201901,세종특별자치시,스키장,5004,0.0,0.0
201901,세종특별자치시,기타레저,5005,0.0,0.0
201901,세종특별자치시,문화서비스,5006,52.0,0.0
201901,세종특별자치시,식음료,6001,21242.0,17324.0
201902,세종특별자치시,관광총소비,0000,39369.0,56545.0
201902,세종특별자치시,호텔,1001,0.0,0.0
201902,세종특별자치시,콘도,1002,0.0,0.0
201902,세종특별자치시,캠핑장/펜션,1003,0.0,0.0
201902,세종특별자치시,기타숙박,1004,2837.0,6261.0
201902,세종특별자치시,여행업,2001,0.0,0.0
201902,세종특별자치시,육상운송,3001,0.0,0.0
201902,세종특별자치시,수상운송,3002,0.0,0.0
201902,세종특별자치시,항공운송,3003,0.0,0.0
201902,세종특별자치시,렌터카,3004,0.0,0.0
201902,세종특별자치시,면세점,4001,0.0,0.0
201902,세종특별자치시,관광기념품,4002,0.0,98.0
201902,세종특별자치시,레저용품쇼핑,4003,205.0,60.0
201902,세종특별자치시,대형쇼핑몰,4004,16814.0,28849.0
201902,세종특별자치시,카지노,5001,0.0,0.0
201902,세종특별자치시,관광유원시설,5002,0.0,0.0
201902,세종특별자치시,골프장,5003,64.0,0.0
201902,세종특별자치시,스키장,5004,0.0,0.0
201902,세종특별자치시,기타레저,5005,0.0,0.0
201902,세종특별자치시,문화서비스,5006,10.0,0.0
201902,세종특별자치시,식음료,6001,19439.0,21277.0
201903,세종특별자치시,관광총소비,0000,65966.0,53044.0
201903,세종특별자치시,호텔,1001,0.0,0.0
201903,세종특별자치시,콘도,1002,0.0,0.0
201903,세종특별자치시,캠핑장/펜션,1003,0.0,0.0
201903,세종특별자치시,기타숙박,1004,45.0,1586.0
201903,세종특별자치시,여행업,2001,0.0,0.0
201903,세종특별자치시,육상운송,3001,0.0,0.0
201903,세종특별자치시,수상운송,3002,0.0,0.0
201903,세종특별자치시,항공운송,3003,0.0,0.0
201903,세종특별자치시,렌터카,3004,0.0,0.0
