기준년월,광역지자체,중분류,,지출액,전년도 지출액
201901,강원도,관광총소비,0000,2463080.0,3056657.0
201901,강원도,호텔,1001,941304.0,936980.0
201901,강원도,콘도,1002,284332.0,230791.0
201901,강원도,캠핑장/펜션,1003,11232.0,11794.0
201901,강원도,기타숙박,1004,485813.0,262802.0
201901,강원도,여행업,2001,23191.0,3489.0
201901,강원도,육상운송,3001,20.0,0.0
201901,강원도,수상운송,3002,12.0,0.0
201901,강원도,항공운송,3003,0.0,0.0
201901,강원도,렌터카,3004,3922.0,8237.0
201901,강원도,면세점,4001,0.0,734.0
201901,강원도,관광기념품,4002,2510.0,3177.0
201901,강원도,레저용품쇼핑,4003,142914.0,152871.0
201901,강원도,대형쇼핑몰,4004,105244.0,570331.0
201901,강원도,카지노,5001,0.0,0.0
201901,강원도,관광유원시설,5002,32.0,625.0
201901,강원도,골프장,5003,42417.0,26603.0
201901,강원도,스키장,5004,0.0,0.0
201901,강원도,기타레저,5005,150.0,55.0
201901,강원도,문화서비스,5006,1913.0,25719.0
201901,강원도,식음료,6001,418072.0,822449.0
201902,강원도,관광총소비,0000,3695713.0,1.2437297E7
201902,강원도,호텔,1001,1451108.0,1692684.0
201902,강원도,콘도,1002,436873.0,846436.0
201902,강원도,캠핑장/펜션,1003,8270.0,179401.0
201902,강원도,기타숙박,1004,849458.0,2118017.0
201902,강원도,여행업,2001,17394.0,15001.0
201902,강원도,육상운송,3001,0.0,60.0
201902,강원도,수상운송,3002,18.0,36.0
201902,강원도,항공운송,3003,0.0,0.0
201902,강원도,렌터카,3004,2220.0,60815.0
201902,강원도,면세점,4001,0.0,13462.0
201902,강원도,관광기념품,4002,3258.0,43970.0
201902,강원도,레저용품쇼핑,4003,215563.0,550062.0
201902,강원도,대형쇼핑몰,4004,89770.0,1207698.0
201902,강원도,카지노,5001,0.0,0.0
201902,강원도,관광유원시설,5002,463.0,572.0
201902,강원도,골프장,5003,50191.0,45665.0
201902,강원도,스키장,5004,0.0,0.0
201902,강원도,기타레저,5005,183.0,276.0
201902,강원도,문화서비스,5006,2278.0,174951.0
201902,강원도,식음료,6001,568666.0,5488190.0
201903,강원도,관광총소비,0000,753656.0,2430243.0
201903,강원도,호텔,1001,188980.0,582822.0
201903,강원도,콘도,1002,35396.0,134946.0
201903,강원도,캠핑장/펜션,1003,2851.0,19860.0
201903,강원도,기타숙박,1004,105974.0,270193.0
201903,강원도,여행업,2001,10146.0,3317.0
201903,강원도,육상운송,3001,0.0,9.0
201903,강원도,수상운송,3002,24.0,36.0
201903,강원도,항공운송,3003,0.0,0.0
201903,강원도,렌터카,3004,2855.0,19473.0
