기준년월,광역지자체,중분류,,지출액,전년도 지출액
201901,전라남도,관광총소비,0000,415504.0,429721.0
201901,전라남도,호텔,1001,134199.0,89684.0
201901,전라남도,콘도,1002,0.0,6541.0
201901,전라남도,캠핑장/펜션,1003,1385.0,100.0
201901,전라남도,기타숙박,1004,39701.0,85169.0
201901,전라남도,여행업,2001,15.0,235.0
201901,전라남도,육상운송,3001,0.0,0.0
201901,전라남도,수상운송,3002,40.0,101.0
201901,전라남도,항공운송,3003,0.0,0.0
201901,전라남도,렌터카,3004,722.0,1545.0
201901,전라남도,면세점,4001,0.0,0.0
201901,전라남도,관광기념품,4002,318.0,337.0
201901,전라남도,레저용품쇼핑,4003,11526.0,1693.0
201901,전라남도,대형쇼핑몰,4004,100923.0,115004.0
201901,전라남도,카지노,5001,0.0,0.0
201901,전라남도,관광유원시설,5002,4527.0,2924.0
201901,전라남도,골프장,5003,2763.0,2122.0
201901,전라남도,스키장,5004,0.0,0.0
201901,전라남도,기타레저,5005,20.0,0.0
201901,전라남도,문화서비스,5006,162.0,194.0
201901,전라남도,식음료,6001,119205.0,124070.0
201902,전라남도,관광총소비,0000,437780.0,398827.0
201902,전라남도,호텔,1001,109541.0,113311.0
201902,전라남도,콘도,1002,465.0,491.0
201902,전라남도,캠핑장/펜션,1003,231.0,2587.0
201902,전라남도,기타숙박,1004,67191.0,63888.0
201902,전라남도,여행업,2001,0.0,0.0
201902,전라남도,육상운송,3001,0.0,0.0
201902,전라남도,수상운송,3002,31.0,0.0
201902,전라남도,항공운송,3003,0.0,0.0
201902,전라남도,렌터카,3004,2897.0,70.0
201902,전라남도,면세점,4001,0.0,0.0
201902,전라남도,관광기념품,4002,174.0,470.0
201902,전라남도,레저용품쇼핑,4003,10853.0,10801.0
201902,전라남도,대형쇼핑몰,4004,117690.0,78024.0
201902,전라남도,카지노,5001,0.0,0.0
201902,전라남도,관광유원시설,5002,3389.0,2652.0
201902,전라남도,골프장,5003,5522.0,9519.0
201902,전라남도,스키장,5004,0.0,0.0
201902,전라남도,기타레저,5005,189.0,12.0
201902,전라남도,문화서비스,5006,491.0,221.0
201902,전라남도,식음료,6001,119118.0,116780.0
201903,전라남도,관광총소비,0000,575502.0,573942.0
