기준년월,광역지자체,중분류,,지출액,전년도 지출액
201901,경상남도,관광총소비,0000,2633689.0,2939692.0
201901,경상남도,호텔,1001,657253.0,711795.0
201901,경상남도,콘도,1002,2228.0,1222.0
201901,경상남도,캠핑장/펜션,1003,326.0,282.0
201901,경상남도,기타숙박,1004,393865.0,438233.0
201901,경상남도,여행업,2001,1515.0,0.0
201901,경상남도,육상운송,3001,0.0,9.0
201901,경상남도,수상운송,3002,0.0,0.0
201901,경상남도,항공운송,3003,0.0,0.0
201901,경상남도,렌터카,3004,8576.0,5469.0
201901,경상남도,면세점,4001,244.0,0.0
201901,경상남도,관광기념품,4002,1592.0,2138.0
201901,경상남도,레저용품쇼핑,4003,27261.0,25840.0
201901,경상남도,대형쇼핑몰,4004,748257.0,784523.0
201901,경상남도,카지노,5001,0.0,0.0
201901,경상남도,관광유원시설,5002,982.0,2358.0
201901,경상남도,골프장,5003,21918.0,22224.0
201901,경상남도,스키장,5004,0.0,0.0
201901,경상남도,기타레저,5005,6.0,32.0
201901,경상남도,문화서비스,5006,770.0,1786.0
201901,경상남도,식음료,6001,768896.0,943783.0
201902,경상남도,관광총소비,0000,2414238.0,2735055.0
201902,경상남도,호텔,1001,631998.0,742622.0
201902,경상남도,콘도,1002,4263.0,3923.0
201902,경상남도,캠핑장/펜션,1003,291.0,677.0
201902,경상남도,기타숙박,1004,322065.0,356465.0
201902,경상남도,여행업,2001,72.0,0.0
201902,경상남도,육상운송,3001,0.0,0.0
201902,경상남도,수상운송,3002,0.0,0.0
201902,경상남도,항공운송,3003,0.0,0.0
201902,경상남도,렌터카,3004,8232.0,18627.0
201902,경상남도,면세점,4001,4269.0,0.0
201902,경상남도,관광기념품,4002,1423.0,1542.0
201902,경상남도,레저용품쇼핑,4003,36710.0,55803.0
201902,경상남도,대형쇼핑몰,4004,699804.0,728152.0
201902,경상남도,카지노,5001,0.0,0.0
201902,경상남도,관광유원시설,5002,1255.0,2509.0
201902,경상남도,골프장,5003,24660.0,35989.0
201902,경상남도,스키장,5004,0.0,0.0
201902,경상남도,기타레저,5005,18.0,78.0
201902,경상남도,문화서비스,5006,4099.0,2006.0
201902,경상남도,식음료,6001,675079.0,786661.0
201903,경상남도,관광총소비,0000,3303537.0,3656295.0
201903,경상남도,호텔,1001,913126.0,1186245.0
201903,경상남도,콘도,1002,3188.0,6597.0
201903,경상남도,캠핑장/펜션,1003,477.0,158.0
201903,경상남도,기타숙박,1004,481644.0,504795.0
201903,경상남도,여행업,2001,5820.0,0.0
201903,경상남도,육상운송,3001,0.0,4.0
201903,경상남도,수상운송,3002,0.0,58.0
201903,경상남도,항공운송,3003,0.0,0.0
201903,경상남도,렌터카,3004,8566.0,9286.0
201903,경상남도,면세점,4001,2639.0,0.0
201903,경상남도,관광기념품,4002,2473.0,2030.0
201903,경상남도,레저용품쇼핑,4003,44798.0,51263.0
201903,경상남도,대형쇼핑몰,4004,879637.0,872975.0
201903,경상남도,카지노,5001,0.0,0.0
201903,경상남도,관광유원시설,5002,942.0,1454.0
201903,경상남도,골프장,5003,57775.0,23396.0
201903,경상남도,스키장,5004,0.0,0.0
201903,경상남도,기타레저,5005,133.0,32.0
201903,경상남도,문화서비스,5006,3715.0,4971.0
201903,경상남도,식음료,6001,898604.0,993031.0
201904,경상남도,관광총소비,0000,3281835.0,3780807.0
201904,경상남도,호텔,1001,751772.0,1119805.0
201904,경상남도,콘도,1002,18712.0,8094.0
201904,경상남도,캠핑장/펜션,1003,2530.0,581.0
201904,경상남도,기타숙박,1004,463133.0,546011.0
201904,경상남도,여행업,2001,1539.0,2386.0
201904,경상남도,육상운송,3001,0.0,0.0
201904,경상남도,수상운송,3002,90.0,0.0
201904,경상남도,항공운송,3003,0.0,0.0
201904,경상남도,렌터카,3004,3613.0,6062.0
201904,경상남도,면세점,4001,113.0,0.0
201904,경상남도,관광기념품,4002,8767.0,2789.0
201904,경상남도,레저용품쇼핑,4003,63388.0,50086.0
201904,경상남도,대형쇼핑몰,4004,977804.0,989479.0
201904,경상남도,카지노,5001,0.0,0.0
201904,경상남도,관광유원시설,5002,9113.0,5570.0
201904,경상남도,골프장,5003,62879.0,72917.0
201904,경상남도,스키장,5004,0.0,0.0
201904,경상남도,기타레저,5005,12.0,157.0
201904,경상남도,문화서비스,5006,5566.0,5747.0
201904,경상남도,식음료,6001,912806.0,971123.0
201905,경상남도,관광총소비,0000,3686830.0,3780692.0
201905,경상남도,호텔,1001,881667.0,987244.0
201905,경상남도,콘도,1002,33258.0,6703.0
201905,경상남도,캠핑장/펜션,1003,2525.0,1950.0
201905,경상남도,기타숙박,1004,539444.0,547628.0
201905,경상남도,여행업,2001,1876.0,750.0
201905,경상남도,육상운송,3001,40.0,452.0
201905,경상남도,수상운송,3002,64.0,0.0
201905,경상남도,항공운송,3003,0.0,0.0
201905,경상남도,렌터카,3004,5864.0,5140.0
201905,경상남도,면세점,4001,0.0,0.0
201905,경상남도,관광기념품,4002,2396.0,3831.0
201905,경상남도,레저용품쇼핑,4003,53455.0,50970.0
201905,경상남도,대형쇼핑몰,4004,1073020.0,1070227.0
201905,경상남도,카지노,5001,0.0,0.0
201905,경상남도,관광유원시설,5002,17249.0,8186.0
201905,경상남도,골프장,5003,76952.0,73273.0
201905,경상남도,스키장,5004,0.0,0.0
201905,경상남도,기타레저,5005,124.0,118.0
201905,경상남도,문화서비스,5006,2539.0,2669.0
201905,경상남도,식음료,6001,996358.0,1021551.0
201906,경상남도,관광총소비,0000,3397282.0,3492451.0
201906,경상남도,호텔,1001,917624.0,950488.0
201906,경상남도,콘도,1002,6881.0,10756.0
201906,경상남도,캠핑장/펜션,1003,7351.0,507.0
201906,경상남도,기타숙박,1004,550064.0,525832.0
201906,경상남도,여행업,2001,2156.0,0.0
201906,경상남도,육상운송,3001,0.0,0.0
201906,경상남도,수상운송,3002,40.0,0.0
201906,경상남도,항공운송,3003,0.0,0.0
201906,경상남도,렌터카,3004,8142.0,4492.0
201906,경상남도,면세점,4001,0.0,0.0
201906,경상남도,관광기념품,4002,5106.0,4065.0
201906,경상남도,레저용품쇼핑,4003,32656.0,44485.0
201906,경상남도,대형쇼핑몰,4004,959952.0,897215.0
201906,경상남도,카지노,5001,0.0,0.0
201906,경상남도,관광유원시설,5002,26825.0,33650.0
201906,경상남도,골프장,5003,89762.0,109030.0
201906,경상남도,스키장,5004,0.0,0.0
201906,경상남도,기타레저,5005,105.0,24.0
201906,경상남도,문화서비스,5006,2916.0,1555.0
201906,경상남도,식음료,6001,787704.0,910352.0
201907,경상남도,관광총소비,0000,3356644.0,3222507.0
201907,경상남도,호텔,1001,769517.0,748247.0
201907,경상남도,콘도,1002,17621.0,21187.0
201907,경상남도,캠핑장/펜션,1003,2638.0,2318.0
201907,경상남도,기타숙박,1004,502808.0,516787.0
201907,경상남도,여행업,2001,2181.0,0.0
201907,경상남도,육상운송,3001,770.0,0.0
201907,경상남도,수상운송,3002,0.0,0.0
201907,경상남도,항공운송,3003,0.0,0.0
201907,경상남도,렌터카,3004,8693.0,9731.0
201907,경상남도,면세점,4001,0.0,0.0
201907,경상남도,관광기념품,4002,6964.0,3598.0
201907,경상남도,레저용품쇼핑,4003,39387.0,35536.0
201907,경상남도,대형쇼핑몰,4004,915904.0,907883.0
201907,경상남도,카지노,5001,0.0,0.0
201907,경상남도,관광유원시설,5002,54475.0,50068.0
201907,경상남도,골프장,5003,28243.0,40517.0
201907,경상남도,스키장,5004,0.0,0.0
201907,경상남도,기타레저,5005,195.0,32.0
201907,경상남도,문화서비스,5006,1948.0,1593.0
201907,경상남도,식음료,6001,1005300.0,885012.0
201908,경상남도,관광총소비,0000,3215340.0,2985190.0
201908,경상남도,호텔,1001,719534.0,575295.0
201908,경상남도,콘도,1002,35239.0,5044.0
201908,경상남도,캠핑장/펜션,1003,1972.0,1708.0
201908,경상남도,기타숙박,1004,452308.0,354653.0
201908,경상남도,여행업,2001,7996.0,275.0
201908,경상남도,육상운송,3001,0.0,0.0
201908,경상남도,수상운송,3002,80.0,0.0
201908,경상남도,항공운송,3003,0.0,0.0
201908,경상남도,렌터카,3004,7737.0,5382.0
201908,경상남도,면세점,4001,0.0,0.0
201908,경상남도,관광기념품,4002,2235.0,4713.0
201908,경상남도,레저용품쇼핑,4003,29387.0,38085.0
201908,경상남도,대형쇼핑몰,4004,1000628.0,1013295.0
201908,경상남도,카지노,5001,0.0,0.0
201908,경상남도,관광유원시설,5002,47705.0,47563.0
201908,경상남도,골프장,5003,50153.0,35053.0
201908,경상남도,스키장,5004,0.0,0.0
201908,경상남도,기타레저,5005,158.0,52.0
201908,경상남도,문화서비스,5006,1423.0,1696.0
201908,경상남도,식음료,6001,858786.0,902376.0
201909,경상남도,관광총소비,0000,2992474.0,3844479.0
201909,경상남도,호텔,1001,766704.0,843564.0
201909,경상남도,콘도,1002,6935.0,14708.0
201909,경상남도,캠핑장/펜션,1003,1114.0,465.0
201909,경상남도,기타숙박,1004,391038.0,428934.0
201909,경상남도,여행업,2001,1482.0,0.0
201909,경상남도,육상운송,3001,0.0,0.0
201909,경상남도,수상운송,3002,0.0,50.0
201909,경상남도,항공운송,3003,0.0,0.0
201909,경상남도,렌터카,3004,6745.0,12071.0
201909,경상남도,면세점,4001,5.0,942.0
201909,경상남도,관광기념품,4002,3309.0,2474.0
201909,경상남도,레저용품쇼핑,4003,25338.0,44047.0
201909,경상남도,대형쇼핑몰,4004,887735.0,1177693.0
201909,경상남도,카지노,5001,0.0,0.0
201909,경상남도,관광유원시설,5002,7480.0,9144.0
201909,경상남도,골프장,5003,42733.0,65861.0
