기준년월,광역지자체,중분류,,지출액,전년도 지출액
201901,서울특별시,관광총소비,0000,2.13418644E8,2.22466944E8
201901,서울특별시,호텔,1001,4.3517568E7,4.1775382E7
201901,서울특별시,콘도,1002,94168.0,81856.0
201901,서울특별시,캠핑장/펜션,1003,0.0,0.0
201901,서울특별시,기타숙박,1004,6563310.0,6009689.0
201901,서울특별시,여행업,2001,437568.0,443806.0
201901,서울특별시,육상운송,3001,466667.0,628235.0
201901,서울특별시,수상운송,3002,7707.0,408.0
201901,서울특별시,항공운송,3003,1273063.0,1532572.0
201901,서울특별시,렌터카,3004,57637.0,154338.0
201901,서울특별시,면세점,4001,3.5717369E7,3.0713122E7
201901,서울특별시,관광기념품,4002,6734042.0,5042679.0
201901,서울특별시,레저용품쇼핑,4003,3798188.0,3851865.0
201901,서울특별시,대형쇼핑몰,4004,6.2466667E7,9.4359879E7
201901,서울특별시,카지노,5001,2.5558568E7,1.3656409E7
201901,서울특별시,관광유원시설,5002,117209.0,125066.0
201901,서울특별시,골프장,5003,20564.0,15635.0
201901,서울특별시,스키장,5004,0.0,0.0
201901,서울특별시,기타레저,5005,87.0,70.0
201901,서울특별시,문화서비스,5006,246313.0,408140.0
201901,서울특별시,식음료,6001,2.6341949E7,2.366779E7
201902,서울특별시,관광총소비,0000,2.02083702E8,2.17723875E8
201902,서울특별시,호텔,1001,4.3668095E7,4.1255409E7
201902,서울특별시,콘도,1002,58455.0,64501.0
201902,서울특별시,캠핑장/펜션,1003,30.0,0.0
201902,서울특별시,기타숙박,1004,6164616.0,6145645.0
201902,서울특별시,여행업,2001,416514.0,686288.0
201902,서울특별시,육상운송,3001,425753.0,651455.0
201902,서울특별시,수상운송,3002,7280.0,361.0
201902,서울특별시,항공운송,3003,812216.0,1641900.0
201902,서울특별시,렌터카,3004,45992.0,226657.0
201902,서울특별시,면세점,4001,3.4850159E7,2.3697584E7
201902,서울특별시,관광기념품,4002,8703995.0,7011035.0
201902,서울특별시,레저용품쇼핑,4003,3270962.0,3629919.0
201902,서울특별시,대형쇼핑몰,4004,5.6898653E7,9.6498145E7
201902,서울특별시,카지노,5001,2.2521155E7,1.0820003E7
201902,서울특별시,관광유원시설,5002,177046.0,157648.0
201902,서울특별시,골프장,5003,19467.0,17031.0
201902,서울특별시,스키장,5004,0.0,0.0
201902,서울특별시,기타레저,5005,40.0,0.0
201902,서울특별시,문화서비스,5006,205188.0,370393.0
201902,서울특별시,식음료,6001,2.3838086E7,2.4849902E7
201903,서울특별시,관광총소비,0000,2.56302195E8,2.45123067E8
201903,서울특별시,호텔,1001,5.9114114E7,5.6169296E7
201903,서울특별시,콘도,1002,82288.0,43803.0
201903,서울특별시,캠핑장/펜션,1003,0.0,0.0
201903,서울특별시,기타숙박,1004,9415957.0,8499399.0
201903,서울특별시,여행업,2001,514981.0,733131.0
201903,서울특별시,육상운송,3001,604764.0,811147.0
201903,서울특별시,수상운송,3002,9427.0,284.0
201903,서울특별시,항공운송,3003,999689.0,1935801.0
201903,서울특별시,렌터카,3004,65136.0,125419.0
201903,서울특별시,면세점,4001,4.2653997E7,3.5972483E7
201903,서울특별시,관광기념품,4002,8766421.0,5230796.0
201903,서울특별시,레저용품쇼핑,4003,4231369.0,5112042.0
201903,서울특별시,대형쇼핑몰,4004,7.1073976E7,8.4168263E7
201903,서울특별시,카지노,5001,2.5406394E7,1.5394051E7
201903,서울특별시,관광유원시설,5002,166094.0,148286.0
201903,서울특별시,골프장,5003,31704.0,27889.0
201903,서울특별시,스키장,5004,0.0,0.0
201903,서울특별시,기타레저,5005,4.0,80.0
201903,서울특별시,문화서비스,5006,434781.0,423209.0
201903,서울특별시,식음료,6001,3.2731099E7,3.0327688E7
201904,서울특별시,관광총소비,0000,2.92474752E8,2.58493321E8
201904,서울특별시,호텔,1001,6.9538528E7,6.0696106E7
201904,서울특별시,콘도,1002,97699.0,85095.0
201904,서울특별시,캠핑장/펜션,1003,0.0,0.0
201904,서울특별시,기타숙박,1004,1.183682E7,8832607.0
201904,서울특별시,여행업,2001,1089507.0,725627.0
201904,서울특별시,육상운송,3001,685580.0,821045.0
201904,서울특별시,수상운송,3002,25393.0,8035.0
201904,서울특별시,항공운송,3003,1104168.0,1605698.0
201904,서울특별시,렌터카,3004,77655.0,176628.0
201904,서울특별시,면세점,4001,5.2547127E7,3.5278188E7
201904,서울특별시,관광기념품,4002,9559690.0,7425227.0
201904,서울특별시,레저용품쇼핑,4003,5079094.0,5293960.0
201904,서울특별시,대형쇼핑몰,4004,8.0198102E7,8.8607373E7
201904,서울특별시,카지노,5001,2.2054921E7,1.6354544E7
201904,서울특별시,관광유원시설,5002,242440.0,211769.0
201904,서울특별시,골프장,5003,26296.0,29532.0
201904,서울특별시,스키장,5004,25.0,0.0
201904,서울특별시,기타레저,5005,143.0,135.0
201904,서울특별시,문화서비스,5006,538090.0,336956.0
201904,서울특별시,식음료,6001,3.7773475E7,3.2004797E7
201905,서울특별시,관광총소비,0000,3.10206707E8,2.73065696E8
201905,서울특별시,호텔,1001,6.7733983E7,5.6976989E7
201905,서울특별시,콘도,1002,79605.0,112294.0
201905,서울특별시,캠핑장/펜션,1003,0.0,0.0
201905,서울특별시,기타숙박,1004,1.0749719E7,8225762.0
201905,서울특별시,여행업,2001,666823.0,700484.0
201905,서울특별시,육상운송,3001,720536.0,908694.0
201905,서울특별시,수상운송,3002,36788.0,17127.0
