扁霖斥岿,堡开瘤磊眉,吝盒幅,,瘤免咀,傈斥档 瘤免咀
201901,堡林堡开矫,包堡醚家厚,0000,532052.0,916812.0
201901,堡林堡开矫,龋炮,1001,3814.0,6576.0
201901,堡林堡开矫,能档,1002,0.0,0.0
201901,堡林堡开矫,姆俏厘/奇记,1003,0.0,0.0
201901,堡林堡开矫,扁鸥槛冠,1004,153233.0,472648.0
201901,堡林堡开矫,咯青诀,2001,0.0,0.0
201901,堡林堡开矫,腊惑款价,3001,7.0,0.0
201901,堡林堡开矫,荐惑款价,3002,0.0,0.0
201901,堡林堡开矫,亲傍款价,3003,0.0,0.0
201901,堡林堡开矫,坊磐墨,3004,165.0,459.0
201901,堡林堡开矫,搁技痢,4001,0.0,0.0
201901,堡林堡开矫,包堡扁充前,4002,82.0,226.0
201901,堡林堡开矫,饭历侩前碱俏,4003,20602.0,29645.0
201901,堡林堡开矫,措屈碱俏隔,4004,218436.0,256685.0
201901,堡林堡开矫,墨瘤畴,5001,0.0,0.0
201901,堡林堡开矫,包堡蜡盔矫汲,5002,43.0,12.0
201901,堡林堡开矫,榜橇厘,5003,301.0,85.0
201901,堡林堡开矫,胶虐厘,5004,0.0,0.0
201901,堡林堡开矫,扁鸥饭历,5005,0.0,0.0
201901,堡林堡开矫,巩拳辑厚胶,5006,26292.0,439.0
201901,堡林堡开矫,侥澜丰,6001,109077.0,150038.0
201902,堡林堡开矫,包堡醚家厚,0000,557051.0,577128.0
201902,堡林堡开矫,龋炮,1001,1763.0,4756.0
201902,堡林堡开矫,能档,1002,0.0,0.0
201902,堡林堡开矫,姆俏厘/奇记,1003,0.0,0.0
201902,堡林堡开矫,扁鸥槛冠,1004,168979.0,188610.0
201902,堡林堡开矫,咯青诀,2001,0.0,0.0
201902,堡林堡开矫,腊惑款价,3001,0.0,0.0
201902,堡林堡开矫,荐惑款价,3002,0.0,0.0
201902,堡林堡开矫,亲傍款价,3003,0.0,0.0
201902,堡林堡开矫,坊磐墨,3004,358.0,0.0
201902,堡林堡开矫,搁技痢,4001,0.0,0.0
201902,堡林堡开矫,包堡扁充前,4002,108.0,293.0
201902,堡林堡开矫,饭历侩前碱俏,4003,16749.0,23926.0
201902,堡林堡开矫,措屈碱俏隔,4004,235173.0,248657.0
201902,堡林堡开矫,墨瘤畴,5001,0.0,0.0
201902,堡林堡开矫,包堡蜡盔矫汲,5002,10.0,48.0
201902,堡林堡开矫,榜橇厘,5003,1092.0,200.0
201902,堡林堡开矫,胶虐厘,5004,0.0,0.0
201902,堡林堡开矫,扁鸥饭历,5005,0.0,0.0
201902,堡林堡开矫,巩拳辑厚胶,5006,21695.0,797.0
201902,堡林堡开矫,侥澜丰,6001,111124.0,109840.0
201903,堡林堡开矫,包堡醚家厚,0000,830686.0,951226.0
201903,堡林堡开矫,龋炮,1001,7296.0,7024.0
201903,堡林堡开矫,能档,1002,0.0,0.0
201903,堡林堡开矫,姆俏厘/奇记,1003,0.0,0.0
201903,堡林堡开矫,扁鸥槛冠,1004,252713.0,347774.0
201903,堡林堡开矫,咯青诀,2001,918.0,0.0
201903,堡林堡开矫,腊惑款价,3001,7.0,28.0
201903,堡林堡开矫,荐惑款价,3002,0.0,0.0
201903,堡林堡开矫,亲傍款价,3003,0.0,0.0
201903,堡林堡开矫,坊磐墨,3004,1400.0,940.0
201903,堡林堡开矫,搁技痢,4001,0.0,0.0
201903,堡林堡开矫,包堡扁充前,4002,80.0,146.0
201903,堡林堡开矫,饭历侩前碱俏,4003,25898.0,31926.0
201903,堡林堡开矫,措屈碱俏隔,4004,299822.0,386347.0
201903,堡林堡开矫,墨瘤畴,5001,0.0,0.0
201903,堡林堡开矫,包堡蜡盔矫汲,5002,64.0,64.0
201903,堡林堡开矫,榜橇厘,5003,143.0,250.0
201903,堡林堡开矫,胶虐厘,5004,0.0,0.0
201903,堡林堡开矫,扁鸥饭历,5005,0.0,60.0
201903,堡林堡开矫,巩拳辑厚胶,5006,31643.0,590.0
201903,堡林堡开矫,侥澜丰,6001,210701.0,176077.0
201904,堡林堡开矫,包堡醚家厚,0000,885553.0,1233633.0
201904,堡林堡开矫,龋炮,1001,4752.0,9981.0
201904,堡林堡开矫,能档,1002,0.0,0.0
201904,堡林堡开矫,姆俏厘/奇记,1003,0.0,0.0
201904,堡林堡开矫,扁鸥槛冠,1004,249984.0,630644.0
201904,堡林堡开矫,咯青诀,2001,0.0,0.0
201904,堡林堡开矫,腊惑款价,3001,0.0,0.0
201904,堡林堡开矫,荐惑款价,3002,0.0,0.0
201904,堡林堡开矫,亲傍款价,3003,0.0,0.0
201904,堡林堡开矫,坊磐墨,3004,1010.0,4085.0
201904,堡林堡开矫,搁技痢,4001,0.0,0.0
201904,堡林堡开矫,包堡扁充前,4002,814.0,51.0
201904,堡林堡开矫,饭历侩前碱俏,4003,48513.0,29654.0
201904,堡林堡开矫,措屈碱俏隔,4004,302466.0,332629.0
201904,堡林堡开矫,墨瘤畴,5001,0.0,0.0
201904,堡林堡开矫,包堡蜡盔矫汲,5002,505.0,83.0
201904,堡林堡开矫,榜橇厘,5003,743.0,414.0
201904,堡林堡开矫,胶虐厘,5004,0.0,0.0
201904,堡林堡开矫,扁鸥饭历,5005,0.0,0.0
201904,堡林堡开矫,巩拳辑厚胶,5006,50793.0,994.0
201904,堡林堡开矫,侥澜丰,6001,225973.0,225098.0
201905,堡林堡开矫,包堡醚家厚,0000,989034.0,1835895.0
201905,堡林堡开矫,龋炮,1001,5768.0,7955.0
201905,堡林堡开矫,能档,1002,0.0,0.0
201905,堡林堡开矫,姆俏厘/奇记,1003,0.0,0.0
201905,堡林堡开矫,扁鸥槛冠,1004,262572.0,933947.0
201905,堡林堡开矫,咯青诀,2001,0.0,0.0
201905,堡林堡开矫,腊惑款价,3001,0.0,2839.0
201905,堡林堡开矫,荐惑款价,3002,0.0,0.0
201905,堡林堡开矫,亲傍款价,3003,0.0,0.0
201905,堡林堡开矫,坊磐墨,3004,200.0,1960.0
201905,堡林堡开矫,搁技痢,4001,0.0,0.0
201905,堡林堡开矫,包堡扁充前,4002,80.0,65.0
