기준년월,광역지자체,중분류,,지출액,전년도 지출액
201901,울산광역시,관광총소비,0000,870952.0,989455.0
201901,울산광역시,호텔,1001,437557.0,581089.0
201901,울산광역시,콘도,1002,0.0,0.0
201901,울산광역시,캠핑장/펜션,1003,0.0,0.0
201901,울산광역시,기타숙박,1004,57634.0,38532.0
201901,울산광역시,여행업,2001,811.0,735.0
201901,울산광역시,육상운송,3001,0.0,0.0
201901,울산광역시,수상운송,3002,0.0,0.0
201901,울산광역시,항공운송,3003,0.0,0.0
201901,울산광역시,렌터카,3004,2280.0,1910.0
201901,울산광역시,면세점,4001,0.0,2766.0
201901,울산광역시,관광기념품,4002,2048.0,240.0
201901,울산광역시,레저용품쇼핑,4003,7774.0,5851.0
201901,울산광역시,대형쇼핑몰,4004,204742.0,186342.0
201901,울산광역시,카지노,5001,0.0,0.0
201901,울산광역시,관광유원시설,5002,0.0,0.0
201901,울산광역시,골프장,5003,963.0,1211.0
201901,울산광역시,스키장,5004,0.0,0.0
201901,울산광역시,기타레저,5005,0.0,0.0
201901,울산광역시,문화서비스,5006,277.0,556.0
201901,울산광역시,식음료,6001,156865.0,170222.0
201902,울산광역시,관광총소비,0000,884195.0,1410523.0
201902,울산광역시,호텔,1001,492930.0,758883.0
201902,울산광역시,콘도,1002,0.0,0.0
201902,울산광역시,캠핑장/펜션,1003,0.0,0.0
201902,울산광역시,기타숙박,1004,39420.0,35261.0
201902,울산광역시,여행업,2001,1270.0,793.0
201902,울산광역시,육상운송,3001,0.0,0.0
201902,울산광역시,수상운송,3002,0.0,0.0
201902,울산광역시,항공운송,3003,0.0,0.0
201902,울산광역시,렌터카,3004,2160.0,1275.0
201902,울산광역시,면세점,4001,0.0,3711.0
201902,울산광역시,관광기념품,4002,1643.0,855.0
201902,울산광역시,레저용품쇼핑,4003,9758.0,5609.0
201902,울산광역시,대형쇼핑몰,4004,195011.0,422016.0
201902,울산광역시,카지노,5001,0.0,0.0
201902,울산광역시,관광유원시설,5002,0.0,0.0
201902,울산광역시,골프장,5003,741.0,1758.0
201902,울산광역시,스키장,5004,0.0,0.0
201902,울산광역시,기타레저,5005,0.0,0.0
201902,울산광역시,문화서비스,5006,355.0,784.0
201902,울산광역시,식음료,6001,140907.0,179578.0
