기준년월,광역지자체,중분류,,지출액,전년도 지출액
201901,경기도,관광총소비,0000,2.228815E7,2.207441E7
201901,경기도,호텔,1001,3030637.0,4003959.0
201901,경기도,콘도,1002,32124.0,17716.0
201901,경기도,캠핑장/펜션,1003,428.0,3727.0
201901,경기도,기타숙박,1004,4954179.0,4563657.0
201901,경기도,여행업,2001,48429.0,68181.0
201901,경기도,육상운송,3001,12035.0,18096.0
201901,경기도,수상운송,3002,795.0,378.0
201901,경기도,항공운송,3003,0.0,0.0
201901,경기도,렌터카,3004,94004.0,59059.0
201901,경기도,면세점,4001,2466.0,134.0
201901,경기도,관광기념품,4002,101194.0,50328.0
201901,경기도,레저용품쇼핑,4003,655441.0,575489.0
201901,경기도,대형쇼핑몰,4004,7012700.0,6868232.0
201901,경기도,카지노,5001,0.0,0.0
201901,경기도,관광유원시설,5002,21789.0,16335.0
201901,경기도,골프장,5003,35985.0,34001.0
201901,경기도,스키장,5004,32000.0,31434.0
201901,경기도,기타레저,5005,962.0,828.0
201901,경기도,문화서비스,5006,139583.0,112587.0
201901,경기도,식음료,6001,6113398.0,5650270.0
201902,경기도,관광총소비,0000,2.1132554E7,2.250734E7
201902,경기도,호텔,1001,2300986.0,3822214.0
201902,경기도,콘도,1002,90753.0,17772.0
201902,경기도,캠핑장/펜션,1003,1185.0,2789.0
201902,경기도,기타숙박,1004,4205110.0,4147087.0
201902,경기도,여행업,2001,50037.0,42982.0
201902,경기도,육상운송,3001,17509.0,15179.0
201902,경기도,수상운송,3002,1040.0,879.0
201902,경기도,항공운송,3003,0.0,0.0
201902,경기도,렌터카,3004,92119.0,103872.0
201902,경기도,면세점,4001,692.0,1212.0
201902,경기도,관광기념품,4002,68880.0,68235.0
201902,경기도,레저용품쇼핑,4003,688141.0,1190030.0
201902,경기도,대형쇼핑몰,4004,7083217.0,7600137.0
201902,경기도,카지노,5001,0.0,0.0
201902,경기도,관광유원시설,5002,30195.0,21413.0
201902,경기도,골프장,5003,61455.0,62251.0
201902,경기도,스키장,5004,31236.0,52140.0
201902,경기도,기타레저,5005,683.0,1065.0
201902,경기도,문화서비스,5006,156757.0,141482.0
201902,경기도,식음료,6001,6252559.0,5216600.0
201903,경기도,관광총소비,0000,2.7083333E7,2.6192213E7
201903,경기도,호텔,1001,3642492.0,5042158.0
201903,경기도,콘도,1002,27265.0,4211.0
201903,경기도,캠핑장/펜션,1003,1540.0,1742.0
201903,경기도,기타숙박,1004,6288576.0,5490264.0
201903,경기도,여행업,2001,103755.0,50810.0
201903,경기도,육상운송,3001,26636.0,34796.0
201903,경기도,수상운송,3002,3607.0,3127.0
201903,경기도,항공운송,3003,0.0,0.0
201903,경기도,렌터카,3004,135225.0,97570.0
201903,경기도,면세점,4001,2500.0,350.0
201903,경기도,관광기념품,4002,94498.0,73979.0
201903,경기도,레저용품쇼핑,4003,628782.0,586747.0
201903,경기도,대형쇼핑몰,4004,7449466.0,7397145.0
201903,경기도,카지노,5001,0.0,0.0
201903,경기도,관광유원시설,5002,51033.0,39062.0
