扁霖斥岿,堡开瘤磊眉,吝盒幅,,瘤免咀,傈斥档 瘤免咀
201901,面没合档,包堡醚家厚,0000,923882.0,670781.0
201901,面没合档,龋炮,1001,74290.0,85858.0
201901,面没合档,能档,1002,0.0,364.0
201901,面没合档,姆俏厘/奇记,1003,0.0,0.0
201901,面没合档,扁鸥槛冠,1004,456332.0,272735.0
201901,面没合档,咯青诀,2001,0.0,3651.0
201901,面没合档,腊惑款价,3001,4600.0,29.0
201901,面没合档,荐惑款价,3002,0.0,0.0
201901,面没合档,亲傍款价,3003,0.0,0.0
201901,面没合档,坊磐墨,3004,486.0,1142.0
201901,面没合档,搁技痢,4001,4009.0,1984.0
201901,面没合档,包堡扁充前,4002,0.0,178.0
201901,面没合档,饭历侩前碱俏,4003,11794.0,13741.0
201901,面没合档,措屈碱俏隔,4004,178550.0,135660.0
201901,面没合档,墨瘤畴,5001,0.0,0.0
201901,面没合档,包堡蜡盔矫汲,5002,85.0,4.0
201901,面没合档,榜橇厘,5003,822.0,1432.0
201901,面没合档,胶虐厘,5004,0.0,0.0
201901,面没合档,扁鸥饭历,5005,0.0,0.0
201901,面没合档,巩拳辑厚胶,5006,411.0,287.0
201901,面没合档,侥澜丰,6001,192503.0,153716.0
201902,面没合档,包堡醚家厚,0000,866747.0,792973.0
201902,面没合档,龋炮,1001,68572.0,102589.0
201902,面没合档,能档,1002,0.0,120.0
201902,面没合档,姆俏厘/奇记,1003,0.0,0.0
201902,面没合档,扁鸥槛冠,1004,480572.0,261422.0
201902,面没合档,咯青诀,2001,1947.0,1893.0
201902,面没合档,腊惑款价,3001,66.0,35.0
201902,面没合档,荐惑款价,3002,0.0,0.0
201902,面没合档,亲傍款价,3003,0.0,0.0
201902,面没合档,坊磐墨,3004,3056.0,186.0
201902,面没合档,搁技痢,4001,5298.0,11728.0
201902,面没合档,包堡扁充前,4002,90.0,644.0
201902,面没合档,饭历侩前碱俏,4003,14074.0,9268.0
201902,面没合档,措屈碱俏隔,4004,133522.0,230499.0
201902,面没合档,墨瘤畴,5001,0.0,0.0
201902,面没合档,包堡蜡盔矫汲,5002,47.0,0.0
201902,面没合档,榜橇厘,5003,1390.0,1238.0
201902,面没合档,胶虐厘,5004,0.0,0.0
201902,面没合档,扁鸥饭历,5005,0.0,0.0
201902,面没合档,巩拳辑厚胶,5006,362.0,217.0
201902,面没合档,侥澜丰,6001,157752.0,173134.0
201903,面没合档,包堡醚家厚,0000,1253955.0,1040033.0
201903,面没合档,龋炮,1001,69228.0,122858.0
201903,面没合档,能档,1002,119.0,0.0
201903,面没合档,姆俏厘/奇记,1003,161.0,40.0
201903,面没合档,扁鸥槛冠,1004,680447.0,417612.0
201903,面没合档,咯青诀,2001,3873.0,391.0
201903,面没合档,腊惑款价,3001,0.0,4440.0
201903,面没合档,荐惑款价,3002,0.0,10.0
201903,面没合档,亲傍款价,3003,0.0,0.0
