기준년월,광역지자체,중분류,,지출액,전년도 지출액
201901,전라북도,관광총소비,0000,763634.0,630834.0
201901,전라북도,호텔,1001,27002.0,17218.0
201901,전라북도,콘도,1002,2035.0,418.0
201901,전라북도,캠핑장/펜션,1003,0.0,788.0
201901,전라북도,기타숙박,1004,118700.0,178632.0
201901,전라북도,여행업,2001,0.0,81.0
201901,전라북도,육상운송,3001,0.0,645.0
201901,전라북도,수상운송,3002,0.0,0.0
201901,전라북도,항공운송,3003,28160.0,0.0
201901,전라북도,렌터카,3004,2594.0,1218.0
201901,전라북도,면세점,4001,0.0,0.0
201901,전라북도,관광기념품,4002,2464.0,1692.0
201901,전라북도,레저용품쇼핑,4003,24422.0,29726.0
201901,전라북도,대형쇼핑몰,4004,319747.0,203540.0
201901,전라북도,카지노,5001,0.0,0.0
201901,전라북도,관광유원시설,5002,104.0,72.0
201901,전라북도,골프장,5003,366.0,802.0
201901,전라북도,스키장,5004,0.0,0.0
201901,전라북도,기타레저,5005,0.0,0.0
201901,전라북도,문화서비스,5006,1086.0,1030.0
201901,전라북도,식음료,6001,236955.0,194972.0
201902,전라북도,관광총소비,0000,750094.0,636708.0
201902,전라북도,호텔,1001,16640.0,20587.0
201902,전라북도,콘도,1002,1720.0,487.0
201902,전라북도,캠핑장/펜션,1003,0.0,1032.0
201902,전라북도,기타숙박,1004,160150.0,138352.0
201902,전라북도,여행업,2001,2839.0,0.0
201902,전라북도,육상운송,3001,0.0,0.0
201902,전라북도,수상운송,3002,0.0,0.0
201902,전라북도,항공운송,3003,22763.0,0.0
201902,전라북도,렌터카,3004,2090.0,1130.0
201902,전라북도,면세점,4001,0.0,0.0
201902,전라북도,관광기념품,4002,2796.0,1490.0
201902,전라북도,레저용품쇼핑,4003,24905.0,29691.0
201902,전라북도,대형쇼핑몰,4004,263261.0,244939.0
201902,전라북도,카지노,5001,0.0,0.0
201902,전라북도,관광유원시설,5002,372.0,260.0
201902,전라북도,골프장,5003,1916.0,1709.0
201902,전라북도,스키장,5004,0.0,0.0
201902,전라북도,기타레저,5005,0.0,0.0
201902,전라북도,문화서비스,5006,2196.0,1713.0
201902,전라북도,식음료,6001,248446.0,195319.0
201903,전라북도,관광총소비,0000,1048193.0,1102672.0
201903,전라북도,호텔,1001,31030.0,36876.0
201903,전라북도,콘도,1002,1539.0,1087.0
201903,전라북도,캠핑장/펜션,1003,12.0,12.0
201903,전라북도,기타숙박,1004,217715.0,350033.0
201903,전라북도,여행업,2001,36.0,70.0
201903,전라북도,육상운송,3001,0.0,0.0
201903,전라북도,수상운송,3002,168.0,0.0
201903,전라북도,항공운송,3003,43851.0,0.0
201903,전라북도,렌터카,3004,589.0,3244.0
201903,전라북도,면세점,4001,0.0,0.0
201903,전라북도,관광기념품,4002,1977.0,88433.0
201903,전라북도,레저용품쇼핑,4003,35658.0,42585.0
201903,전라북도,대형쇼핑몰,4004,370164.0,277052.0
201903,전라북도,카지노,5001,0.0,0.0
201903,전라북도,관광유원시설,5002,589.0,712.0
201903,전라북도,골프장,5003,6880.0,14328.0
201903,전라북도,스키장,5004,0.0,0.0
201903,전라북도,기타레저,5005,0.0,0.0
201903,전라북도,문화서비스,5006,2472.0,1505.0
201903,전라북도,식음료,6001,335512.0,286734.0
201904,전라북도,관광총소비,0000,1181091.0,910667.0
201904,전라북도,호텔,1001,41550.0,23063.0
201904,전라북도,콘도,1002,32608.0,2150.0
201904,전라북도,캠핑장/펜션,1003,353.0,1.0
201904,전라북도,기타숙박,1004,199786.0,268396.0
201904,전라북도,여행업,2001,545.0,0.0
201904,전라북도,육상운송,3001,5501.0,0.0
201904,전라북도,수상운송,3002,116.0,0.0
201904,전라북도,항공운송,3003,43791.0,0.0
201904,전라북도,렌터카,3004,2848.0,4682.0
201904,전라북도,면세점,4001,0.0,0.0
201904,전라북도,관광기념품,4002,18799.0,4419.0
201904,전라북도,레저용품쇼핑,4003,39384.0,41983.0
201904,전라북도,대형쇼핑몰,4004,390885.0,263095.0
201904,전라북도,카지노,5001,0.0,0.0
201904,전라북도,관광유원시설,5002,146.0,184.0
201904,전라북도,골프장,5003,8718.0,6344.0
