기준년월,광역지자체,중분류,,지출액,전년도 지출액
201901,경상북도,관광총소비,0000,986394.0,1184495.0
201901,경상북도,호텔,1001,233337.0,357659.0
201901,경상북도,콘도,1002,3019.0,1944.0
201901,경상북도,캠핑장/펜션,1003,80.0,509.0
201901,경상북도,기타숙박,1004,128603.0,221043.0
201901,경상북도,여행업,2001,163.0,120.0
201901,경상북도,육상운송,3001,495.0,342.0
201901,경상북도,수상운송,3002,44.0,0.0
201901,경상북도,항공운송,3003,0.0,0.0
201901,경상북도,렌터카,3004,1085.0,7274.0
201901,경상북도,면세점,4001,0.0,0.0
201901,경상북도,관광기념품,4002,4168.0,3446.0
201901,경상북도,레저용품쇼핑,4003,16826.0,27708.0
201901,경상북도,대형쇼핑몰,4004,154504.0,145066.0
201901,경상북도,카지노,5001,0.0,0.0
201901,경상북도,관광유원시설,5002,1023.0,1300.0
201901,경상북도,골프장,5003,2950.0,3468.0
201901,경상북도,스키장,5004,0.0,0.0
201901,경상북도,기타레저,5005,14475.0,16418.0
201901,경상북도,문화서비스,5006,756.0,795.0
201901,경상북도,식음료,6001,424866.0,397403.0
201902,경상북도,관광총소비,0000,1012848.0,1125833.0
201902,경상북도,호텔,1001,257508.0,280898.0
201902,경상북도,콘도,1002,4356.0,3166.0
201902,경상북도,캠핑장/펜션,1003,210.0,30.0
201902,경상북도,기타숙박,1004,164780.0,175152.0
201902,경상북도,여행업,2001,96.0,310.0
201902,경상북도,육상운송,3001,298.0,328.0
201902,경상북도,수상운송,3002,7.0,48.0
201902,경상북도,항공운송,3003,0.0,0.0
201902,경상북도,렌터카,3004,3210.0,9399.0
201902,경상북도,면세점,4001,0.0,0.0
201902,경상북도,관광기념품,4002,6136.0,2331.0
201902,경상북도,레저용품쇼핑,4003,16005.0,10685.0
201902,경상북도,대형쇼핑몰,4004,149420.0,180935.0
201902,경상북도,카지노,5001,0.0,0.0
201902,경상북도,관광유원시설,5002,1002.0,1222.0
201902,경상북도,골프장,5003,8030.0,10376.0
201902,경상북도,스키장,5004,0.0,0.0
201902,경상북도,기타레저,5005,15159.0,31236.0
201902,경상북도,문화서비스,5006,903.0,2458.0
201902,경상북도,식음료,6001,385730.0,417258.0
201903,경상북도,관광총소비,0000,1542520.0,1586576.0
201903,경상북도,호텔,1001,462633.0,442492.0
201903,경상북도,콘도,1002,3822.0,6992.0
201903,경상북도,캠핑장/펜션,1003,322.0,2174.0
201903,경상북도,기타숙박,1004,223196.0,320521.0
201903,경상북도,여행업,2001,974.0,886.0
201903,경상북도,육상운송,3001,1246.0,1892.0
201903,경상북도,수상운송,3002,0.0,21.0
201903,경상북도,항공운송,3003,0.0,0.0
201903,경상북도,렌터카,3004,3522.0,17085.0
201903,경상북도,면세점,4001,0.0,0.0
201903,경상북도,관광기념품,4002,6494.0,4828.0
201903,경상북도,레저용품쇼핑,4003,26075.0,18975.0
201903,경상북도,대형쇼핑몰,4004,196310.0,180161.0
201903,경상북도,카지노,5001,0.0,0.0
201903,경상북도,관광유원시설,5002,620.0,1524.0
