"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","점포구분명",
"1","대규모점포","08_25_01_P","4500000","2017450025407500001","2017-02-21","","01","영업/정상","5","영업개시전","","","","","","21566.49","","충청남도 공주시 금흥동 201번지 1호","","","U7 SQUARE","2017-04-28 17:50:25","I","2018-08-31 23:59:59","복합쇼핑몰","","","대규모점포",
"2","대규모점포","08_25_01_P","3640000","2019364011407500001","2019-01-17","","01","영업/정상","5","영업개시전","","","","","02-380-5789","818.3","","대전광역시 동구 용운동 432번지 덕림코아빌딩","대전광역시 동구 계족로140번길 183, 덕림코아빌딩 (용운동)","34526","(주)이마트에브리데이 용방점","2021-06-03 11:00:44","U","2021-06-05 02:40:00","구분없음","240750.46513665","314288.284698506","준대규모점포",
"3","대규모점포","08_25_01_P","3940000","2019394038807500001","2019-01-22","","01","영업/정상","5","영업개시전","","","","","031-947-9603","6030.85","","경기도 고양시 일산동구 장항동 1800번지 라몬테이탈리아노","경기도 고양시 일산동구 연리지로 51, 라몬테이탈리아노 (장항동)","10393","라 몬테 이탈리아노","2019-01-22 21:54:58","I","2019-01-24 02:20:58","그 밖의 대규모점포","178307.044705103","461974.801224849","대규모점포",
"4","대규모점포","08_25_01_P","3940000","2019394038807500002","2019-01-23","","01","영업/정상","5","영업개시전","","","","","955-9445","9385.02","","경기도 고양시 일산서구 대화동 2603번지","경기도 고양시 일산서구 킨텍스로 240 (대화동)","10391","GIFC MALL","2019-01-23 18:52:35","I","2019-01-25 02:21:00","그 밖의 대규모점포","177925.172169511","462673.381313058","대규모점포",
"5","대규모점포","08_25_01_P","5070000","2019507017807500001","2019-01-15","","01","영업/정상","5","영업개시전","","","","","02-380-9461","142.23","","경상북도 안동시 서부동 149번지 40호","경상북도 안동시 번영4길 15 (서부동)","36695","노브랜드 안동구시장점","2019-01-15 17:44:45","I","2019-01-17 02:20:51","구분없음","354708.469102592","341870.144885659","준대규모점포",
"6","대규모점포","08_25_01_P","5050000","2019505035207500001","2019-02-27","","01","영업/정상","5","영업개시전","","","","","031-8060-0910","14558.83","","경상북도 경주시 신평동 375번지 4호","경상북도 경주시 보문로 452, 모다아울렛 경주보문점 (신평동)","38117","모다아울렛 경주보문점","2019-02-27 17:40:19","I","2019-03-01 02:21:54","전문점","406640.745856422","262693.090896716","대규모점포",
"7","대규모점포","08_25_01_P","5710000","2019571018307500001","2019-01-14","","01","영업/정상","5","영업개시전","","","","","","379.2","","충청북도 청주시 상당구 방서동 247번지 9호 청주센트럴자이 102~1호","충청북도 청주시 상당구 단재로 316, 102~105호 (방서동, 청주센트럴자이)","28787","GS수퍼마켓 청주방서점","2019-01-14 16:36:51","I","2019-01-16 02:20:50","구분없음","244759.908068828","344574.244837769","준대규모점포",
"8","대규모점포","08_25_01_P","5350000","2017535029207500001","2017-12-13","","01","영업/정상","5","영업개시전","","","","","051-205-0491","3372","","경상남도 김해시 동상동 1117번지","","","캐슬아리스타궁","2017-12-14 09:30:03","I","2018-08-31 23:59:59","그 밖의 대규모점포","371586.650743855","194970.613063528","대규모점포",
"9","대규모점포","08_25_01_P","4530000","2022453039107500001","2022-03-23","","01","영업/정상","5","영업개시전","","","","","041-669-1378","4150.89","","충청남도 서산시 잠홍동 568","충청남도 서산시 고운로 353(잠홍동)","31966","충서원예농협 하나로마트","2022-03-24 10:00:07","I","2022-03-26 00:22:34","대형마트","152914.504639942","365160.666934624","대규모점포",
"10","대규모점포","08_25_01_P","5690000","2019569020007500001","2019-04-17","","01","영업/정상","5","영업개시전","","","","","","457.32","","세종특별자치시 보람동 730 호려울마을3단지 근린생활시설","세종특별자치시 한누리대로 2200, 호려울마을3단지 근린생활시설 1층 101-112호 (보람동)","30151","(주)이마트에브리데이 세종신동아점","2021-05-03 14:16:20","U","2021-05-05 02:40:00","그 밖의 대규모점포","225200.242050323","330681.871250214","준대규모점포",
