,시도명,시군구명,박물관/미술관 수
0,강원도,강릉시,24
1,강원도,고성군,2
2,강원도,동해시,1
3,강원도,삼척시,3
4,강원도,속초시,4
5,강원도,양구군,10
6,강원도,양양군,2
7,강원도,영월군,23
8,강원도,원주시,13
9,강원도,인제군,10
10,강원도,정선군,3
11,강원도,춘천시,12
12,강원도,태백시,2
13,강원도,평창군,4
14,강원도,홍천군,2
15,강원도,화천군,1
16,강원도,횡성군,1
17,경기도,가평군,4
18,경기도,고양시,34
19,경기도,과천시,4
20,경기도,광명시,2
21,경기도,광주시,7
22,경기도,구리시,1
23,경기도,김포시,15
24,경기도,남양주시,31
25,경기도,동두천시,1
26,경기도,부천시,18
27,경기도,성남시,20
28,경기도,수원시,18
29,경기도,시흥시,6
30,경기도,안산시,16
31,경기도,안성시,4
32,경기도,안양시,6
33,경기도,양주시,6
34,경기도,양평군,13
35,경기도,여주군,5
36,경기도,여주시,22
37,경기도,연천군,1
38,경기도,오산시,2
39,경기도,용인시,57
40,경기도,의왕시,2
41,경기도,의정부시,1
42,경기도,이천시,5
43,경기도,파주시,20
44,경기도,평택시,1
45,경기도,포천시,6
46,경기도,하남시,2
47,경기도,화성시,13
48,경상남도,거제시,6
49,경상남도,거창군,1
50,경상남도,고성군,5
51,경상남도,김해시,26
52,경상남도,남해군,5
53,경상남도,마산시,4
54,경상남도,밀양시,7
55,경상남도,사천시,2
56,경상남도,산청군,4
57,경상남도,양산시,4
58,경상남도,의령군,2
59,경상남도,진주시,10
60,경상남도,진해시,2
61,경상남도,창녕군,3
62,경상남도,창원시,12
63,경상남도,통영시,4
64,경상남도,하동군,1
65,경상남도,함안군,1
66,경상남도,함양군,1
67,경상남도,합천군,3
68,경상북도,경산시,9
69,경상북도,경주시,11
70,경상북도,고령군,2
71,경상북도,구미시,2
72,경상북도,군위군,1
73,경상북도,김천시,6
74,경상북도,문경시,5
75,경상북도,봉화군,1
76,경상북도,상주시,2
77,경상북도,성주군,1
78,경상북도,안동시,10
79,경상북도,영양군,1
80,경상북도,영주시,3
81,경상북도,영천시,5
82,경상북도,예천군,3
83,경상북도,울릉군,1
84,경상북도,울진군,1
85,경상북도,의성군,2
86,경상북도,청도군,2
87,경상북도,청송군,1
88,경상북도,칠곡군,3
89,경상북도,포항시,11
90,광주광역시,남구,3
91,광주광역시,동구,10
92,광주광역시,북구,5
93,광주광역시,서구,1
94,대구광역시,남구,1
95,대구광역시,달서구,2
96,대구광역시,달성군,1
97,대구광역시,동구,4
98,대구광역시,북구,4
99,대구광역시,수성구,5
100,대구광역시,중구,4
101,대전광역시,대덕구,3
102,대전광역시,동구,3
103,대전광역시,서구,4
104,대전광역시,유성구,10
105,대전광역시,중구,2
106,부산광역시,강서구,1
107,부산광역시,금정구,6
108,부산광역시,남구,6
109,부산광역시,동래구,4
110,부산광역시,부산진구,3
111,부산광역시,사상구,1
112,부산광역시,사하구,1
113,부산광역시,서구,3
114,부산광역시,중구,2
115,부산광역시,해운대구,2
116,서울특별시,서대문구,1
117,세종특별자치시,금남면,1
118,세종특별자치시,연동면,1
119,세종특별자치시,전동면,1
120,세종특별자치시,전의면,1
121,세종특별자치시,조치원읍,1
122,울산광역시,남구,3
123,울산광역시,울주군,5
124,울산광역시,중구,3
125,인천광역시,강화군,5
126,인천광역시,남동구,4
127,인천광역시,동구,1
128,인천광역시,미추홀구,6
129,인천광역시,부평구,3
130,인천광역시,서구,2
131,인천광역시,연수구,4
132,인천광역시,중구,7
133,전라남도,강진군,8
134,전라남도,고흥군,4
135,전라남도,곡성군,1
136,전라남도,광양시,1
137,전라남도,구례군,2
138,전라남도,나주시,6
139,전라남도,담양군,7
140,전라남도,목포시,10
141,전라남도,무안군,1
142,전라남도,보성군,4
143,전라남도,순천시,7
144,전라남도,신안군,2
145,전라남도,여수시,3
146,전라남도,영광군,2
147,전라남도,영암군,7
148,전라남도,완도군,2
149,전라남도,장성군,1
150,전라남도,장흥군,3
151,전라남도,진도군,10
152,전라남도,함평군,2
153,전라남도,해남군,5
154,전라남도,화순군,6
155,전라북도,고창군,2
156,전라북도,군산시,5
157,전라북도,김제시,4
158,전라북도,남원시,2
159,전라북도,무주군,1
160,전라북도,부안군,4
161,전라북도,순창군,2
162,전라북도,완주군,4
163,전라북도,익산시,9
164,전라북도,장수군,1
165,전라북도,전주시,27
166,전라북도,정읍시,3
167,전라북도,진안군,2
168,제주특별자치도,서귀포시,45
169,제주특별자치도,제주시,42
170,충청남도,공주시,8
171,충청남도,금산군,1
172,충청남도,논산시,1
173,충청남도,당진시,5
174,충청남도,보령시,2
175,충청남도,부여군,4
176,충청남도,서산시,3
177,충청남도,서천군,1
178,충청남도,아산시,6
179,충청남도,예산군,7
180,충청남도,천안시,21
181,충청남도,청양군,1
182,충청남도,태안군,2
183,충청남도,홍성군,3
184,충청북도,괴산군,1
185,충청북도,단양군,1
186,충청북도,영동군,3
187,충청북도,옥천군,1
188,충청북도,음성군,3
189,충청북도,제천시,3
190,충청북도,증평군,1
191,충청북도,진천군,2
192,충청북도,청원군,1
193,충청북도,청주시,29
194,충청북도,충주시,5
