,사업장명,시도명,시군구명,위경도
0,U7 SQUARE,충청남도,공주시,"[36.4805728, 127.149909]"
1,(주)이마트에브리데이 용방점,대전광역시,동구,"[36.325769371882295, 127.45383338646604]"
2,라 몬테 이탈리아노,경기도,고양시 일산동구,"[37.65715360043748, 126.75415922963828]"
3,GIFC MALL,경기도,고양시 일산서구,"[37.663438519911445, 126.74981048098012]"
4,노브랜드 안동구시장점,경상북도,안동시,"[36.562662343477456, 128.7281453332472]"
5,모다아울렛 경주보문점,경상북도,경주시,"[35.83987478265617, 129.28703261346433]"
6,GS수퍼마켓 청주방서점,충청북도,청주시 상당구,"[36.5985072798459, 127.50023469453348]"
7,캐슬아리스타궁,경상남도,김해시,"[35.23658105174938, 128.88494247987344]"
8,충서원예농협 하나로마트,충청남도,서산시,"[36.78389778193603, 126.47251003297528]"
9,(주)이마트에브리데이 세종신동아점,세종특별자치시,보람동,"[36.47403431529416, 127.28118644983756]"
10,원더아리아,충청북도,청주시 청원구,"[36.653215189798296, 127.48943696369577]"
11,노브랜드 동해남부재래시장점,강원도,동해시,"[37.48454371403548, 129.10492003845343]"
12,GS THE FRESH 안양비산점,경기도,안양시 동안구,"[37.4043668, 126.933819]"
13,GS THE FRESH 성북클라시아점,서울특별시,성북구,"[37.605326043832015, 127.025213488051]"
14,GS THE FRESH 송파시그니처점,서울특별시,송파구,"[37.4927105332105, 127.14869295802377]"
15,GS THE FRESH 부평열우물점,인천광역시,부평구,"[37.472649507205375, 126.69706733025181]"
16,GS THE FRESH 부평더샵점,인천광역시,부평구,"[37.472649507205375, 126.69706733025181]"
17,토성상가,부산광역시,서구,"[35.09650965408878, 129.02307884450695]"
18,하나로마트 강원지역본부점,강원도,춘천시,"[37.87396520503161, 127.72277365062826]"
19,노브랜드인천장승백이시장점,인천광역시,남동구,"[37.44417792464164, 126.73482125596283]"
20,홈씨씨 수원점,경기도,수원시 권선구,"[37.26351870487079, 126.99630326348077]"
21,이마트에브리데이 홍성중앙점,충청남도,홍성군,"[36.59249827606808, 126.65563568246762]"
22,탑마트 진해경화점,경상남도,창원시 진해구,"[35.150805956456765, 128.68167120007678]"
23,고척아이파크쇼핑센터,서울특별시,구로구,"[37.49578105470297, 126.85839242461128]"
24,영주농협하나로마트중앙점,경상북도,영주시,"[36.820650563015896, 128.6223767609187]"
25,엘리오스구월,인천광역시,남동구,"[37.44431642698495, 126.70079811858956]"
26,스타필드 고양,경기도,고양시 덕양구,"[37.644335264556034, 126.8940038676577]"
27,일산 벨라씨타(Bella Citta),경기도,고양시 일산동구,"[37.63969510504923, 126.79194757480802]"
28,고양 일산 호수공원 가로수길,경기도,고양시 일산서구,"[37.66327615436913, 126.75568866493079]"
29,일렉트로마트 판교점,경기도,성남시 분당구,"[37.39273303306545, 127.10740949931171]"
30,엠브릿지,세종특별자치시,어진동,"[36.49997450814056, 127.2571973756082]"
31,TOP PRICE WHOLESALE,경기도,광주시,"[37.40827298933622, 127.19464408814252]"
32,홍대복합역사 상업시설,서울특별시,마포구,"[37.55677873616377, 126.92400896483178]"
33,라스플로레스,경기도,화성시,"[37.17900708045327, 127.09148713960158]"
34,레이크꼬모,경기도,화성시,"[37.1713609, 127.104758]"
35,노브랜드 주문진수산시장점,강원도,강릉시,"[37.88844030831665, 128.82698612213073]"
36,목동에버하임,서울특별시,양천구,"[37.54383884303205, 126.86990351534563]"
37,시흥플랑드르,경기도,시흥시,"[37.368274960613995, 126.80655742235115]"
38,파인트리몰,전라북도,전주시 덕진구,"[35.8642760507937, 127.12013414583686]"
39,(주)이마트에브리데이 경산무학점,경상북도,경산시,"[35.9164435350625, 128.80784122528047]"
40,광주 금호 리첸시아 센트럴 스퀘어,경기도,광주시,"[37.405488319688516, 127.2554663795401]"
41,롯데프레시앤델리 봉화산역점,서울특별시,중랑구,"[37.61357563259412, 127.09188737450987]"
42,GS THE FRESH 수원매교역점,경기도,수원시 팔달구,"[37.26661695390176, 127.01758213766043]"
43,GS THE FRESH 송파하비오점,서울특별시,송파구,"[37.477853349853696, 127.12287399026546]"
44,스타오씨엘 에비뉴I,인천광역시,미추홀구,"[37.4384744843819, 126.65110840018664]"
45,경동타워 쇼핑,부산광역시,서구,"[35.09650965408878, 129.02307884450695]"
46,롯데프레시송파가락가맹점,서울특별시,송파구,"[37.49265879379804, 127.13368257042852]"
47,앨리웨이 인천,인천광역시,미추홀구,"[37.46637262478575, 126.66269621728398]"
48,소래포구어시장,인천광역시,남동구,"[37.39517744869662, 126.73852174059226]"
49,로마네시티,전라북도,전주시 덕진구,"[35.87031647533446, 127.1237879012637]"
50,GS THE FRESH 안양호계점,경기도,안양시 동안구,"[37.359508911189785, 126.9617313779181]"
51,GS THE FRESH 수원화서점,경기도,수원시 장안구,"[37.287067219289106, 126.99391380929124]"
52,GS THE FRESH 부산 온천점,부산광역시,동래구,"[35.213182024298675, 129.07978106035682]"
53,GS THE FRESH 동래래미안점,부산광역시,동래구,"[35.209222108491076, 129.0689203694981]"
54,GS THE FRESH 부산송도점,부산광역시,서구,"[35.07534840817365, 129.02273054995305]"
55,코스트코 홀세일 청라점,인천광역시,서구,"[37.53687640922174, 126.61602446789944]"
56,GS THE FRESH 부산송도점,부산광역시,서구,"[35.07534840817365, 129.02273054995305]"
57,이지바이 봉담,경기도,화성시,"[37.2244103, 126.94518]"
58,다산역 데시앙 상업시설,경기도,남양주시,"[37.62268604816754, 127.152536207849]"
59,GS THE FRESH 용호빌리브점,부산광역시,남구,"[35.128603346556616, 129.1114503723703]"
60,GS THE FRESH 세종해들마을점,세종특별자치시,대평동,"[36.46905231992794, 127.28171653787646]"
61,화서역 파크 푸르지오,경기도,수원시 장안구,"[37.2899469, 126.995721]"
62,고양삼송현대헤리엇,경기도,고양시 덕양구,"[37.65025898771401, 126.89829805473983]"
63,킹덤시티,경상남도,창원시 의창구,"[35.25740652195281, 128.62503099435074]"
64,(주)지에스리테일 창원유니시티점,경상남도,창원시 의창구,"[35.25357149237259, 128.62606833358342]"
65,주식회사 락앤락,경기도,안성시,"[37.04237462997406, 127.14033612869757]"
66,익산송원백화점,전라북도,익산시,"[35.9408017, 126.950824]"
67,GS THE FRESH 산본대림본점,경기도,군포시,"[37.362499795998275, 126.92884696924298]"
68,홈플러스 익스프레스 오목교점,서울특별시,양천구,"[37.52017256225118, 126.87064808541228]"
69,롯데프레시 음성금왕점,충청북도,음성군,"[36.9946237, 127.597784]"
70,전주에코시티 DK-mall,전라북도,전주시 덕진구,"[35.86967833225936, 127.12297335421052]"
71,광명역세권택지개발지구복합단지판매시설D멀티플렉스AK PLAZA,경기도,광명시,"[37.41599917951344, 126.88186141366202]"
72,맘마마트 천안점,충청남도,천안시 서북구,"[36.797438640309274, 127.11597405989154]"
73,범어더리브스퀘어,대구광역시,수성구,"[35.86154291757106, 128.6181180410001]"
74,코스트코 홀세일 김해점,경상남도,김해시,"[35.232673944946505, 128.83778637594898]"
75,더 샵스 앳 센터필드 (THE SHOPS AT CENTERFIELD),서울특별시,강남구,"[37.50046095976141, 127.04070191393484]"
76,코스트코 홀세일 김해점,경상남도,김해시,"[35.2354868, 128.838677]"
77,엘마트 구리점,경기도,구리시,"[37.609914766906584, 127.14006480395626]"
78,KT&G Mall 세종B관,세종특별자치시,어진동,"[36.497721679008116, 127.25594757146256]"
79,천호코오롱상가,서울특별시,강동구,"[37.536373894654275, 127.12761602772304]"
80,(주)이마트에브리데이 고양덕이점,경기도,고양시 일산서구,"[37.69703954317678, 126.75553877458259]"
81,GS THE FRESH 수원팔달점,경기도,수원시 팔달구,"[37.26319324493879, 127.00742180099246]"
82,청량리역 한양수자인 그라시엘 판매시설,서울특별시,동대문구,"[37.5745488159325, 127.04220205051074]"
83,GS THE FRESH 무악현대점,서울특별시,종로구,"[37.57263199048203, 126.9600177055021]"
84,노량진 드림스퀘어,서울특별시,동작구,"[37.51157480875015, 126.93859589126815]"
85,GS THE FRESH 울산남부점,울산광역시,남구,"[35.519382497784825, 129.3159477833649]"
86,아트몰링 부산점,부산광역시,사하구,"[35.10390250786773, 128.96550309180748]"
87,코스트코 홀세일 공세점,경기도,용인시 기흥구,"[37.235497699597246, 127.10813465163525]"
88,GS슈퍼마켓 안산고잔점,경기도,안산시 단원구,"[37.3172274496573, 126.834434801116]"
89,제주 프리미엄 전문점,제주특별자치도,서귀포시,"[33.30440561465141, 126.31663500027527]"
90,코스트코 홀세일,대구광역시,북구,"[35.903376161224486, 128.61739011760056]"
91,하나프러스,대구광역시,북구,"[35.885812629129155, 128.56951446144598]"
92,대구기계공구상협동조합,대구광역시,북구,"[35.90103209963372, 128.60514478805274]"
93,대구종합유통단지 전기재료관,대구광역시,북구,"[35.90240730018205, 128.60683833157003]"
94,네오시티프라자,대구광역시,북구,"[35.92951237884412, 128.54804639599408]"
95,대구종합유통단지 전자관,대구광역시,북구,"[35.90417729358718, 128.60615229765443]"
96,칠성시장,대구광역시,북구,"[35.873343958253606, 128.6048240729568]"
97,경명시장,대구광역시,북구,"[35.87268564770801, 128.60349035468133]"
98,동대구시장,대구광역시,북구,"[35.8781840679459, 128.60835455202962]"
99,산격종합시장,대구광역시,북구,"[35.89547557104099, 128.60985784826673]"
100,복현종합시장,대구광역시,북구,"[35.88964958788598, 128.61924702404644]"
101,동아아울렛 강북점,대구광역시,북구,"[35.931552635781, 128.54835640458307]"
102,홈플러스 칠곡IC점,대구광역시,북구,"[35.932470201619594, 128.5394815833532]"
103,삼성시장,대구광역시,북구,"[35.8778285, 128.603477]"
104,팔달시장,대구광역시,북구,"[35.88594504890452, 128.57021055554048]"
105,팔달신시장,대구광역시,북구,"[35.8877774338057, 128.56571143961605]"
106,대성시장,대구광역시,북구,"[35.8758093, 128.604875]"
107,(주)홈플러스 칠곡점,대구광역시,북구,"[35.94207858463475, 128.55509231961685]"
108,대구종합유통단지 섬유제품관,대구광역시,북구,"[35.90337432897163, 128.6089402114463]"
109,신세계이마트 칠성점,대구광역시,북구,"[35.882143352098375, 128.5892413316036]"
110,(주)스펙트럼시티,대구광역시,북구,"[35.882143352098375, 128.5892413316036]"
111,EXCO Mall,대구광역시,북구,"[35.904244038928425, 128.61226243937]"
112,한신공영(주),대구광역시,북구,"[35.94133944152634, 128.55948305585855]"
113,홈플러스(주)익스프레스 구암2점,대구광역시,북구,"[35.928442580954226, 128.55617547324283]"
114,롯데백화점 대구점,대구광역시,북구,"[35.87303129570931, 128.5950602862883]"
115,대구종합유통단지 전기조명관사업협동조합,대구광역시,북구,"[35.9027555900935, 128.60759365652794]"
116,(주)이마트 칠성점,대구광역시,북구,"[35.882143352098375, 128.5892413316036]"
117,대구종합유통단지 일반의류관,대구광역시,북구,"[35.902309827480295, 128.60968927508333]"
118,전자상가협동조합,대구광역시,북구,"[35.90304637084647, 128.60482065533557]"
119,스펙트럼시티,대구광역시,북구,"[35.882143352098375, 128.5892413316036]"
120,롯데쇼핑(주)롯데슈퍼 복현점,대구광역시,북구,"[35.89516567923434, 128.61474744110498]"
121,롯데프레시 대구칠곡가맹점,대구광역시,북구,"[35.92941715599578, 128.55668519730042]"
122,이랜드리테일 NC 중앙로역점,대전광역시,중구,"[36.32600029100605, 127.4245108810418]"
123,신남부시장,대전광역시,중구,"[36.3125858, 127.437528]"
124,선화상가,대전광역시,중구,"[36.3353714, 127.416158]"
125,뉴삼부프라자,대전광역시,중구,"[36.32051438060098, 127.3925390921926]"
126,새서울종합시장,대전광역시,중구,"[36.31911060551247, 127.39589918615602]"
127,삼성슈퍼,대전광역시,중구,"[36.3252658, 127.406638]"
128,중앙로1번가지하상가,대전광역시,중구,"[36.3292766, 127.427207]"
129,패션엔비,대전광역시,중구,"[36.32548276223606, 127.42633441457158]"
130,대전코아,대전광역시,중구,"[36.322733, 127.424978]"
131,백화점 세이,대전광역시,중구,"[36.318249485757754, 127.40815215647345]"
132,제일가구프라자,대전광역시,중구,"[36.31982435212359, 127.4107197697261]"
133,대림가구타워,대전광역시,중구,"[36.32171820726915, 127.40985309174833]"
134,코스트코 홀세일 대전점,대전광역시,중구,"[36.321233966889885, 127.40268121546956]"
135,밀라노21 운영관리위원회,대전광역시,중구,"[36.326164743359506, 127.42647783673304]"
136,가구갤러리,대전광역시,중구,"[36.319470209835714, 127.41247188877523]"
137,홈플러스(주) 문화점,대전광역시,중구,"[36.317482394850884, 127.40691335385623]"
138,남대전 종합시장,대전광역시,중구,"[36.311902878864004, 127.43429856766322]"
139,홈플러스(주)익스프레스 오류점,대전광역시,중구,"[36.32145181749047, 127.40903408816636]"
140,홈플러스(주)익스프레스 유천점,대전광역시,중구,"[36.31842351315001, 127.39277881869654]"
141,뉴 삼부프라자,대전광역시,중구,"[36.32051438060098, 127.3925390921926]"
142,구포시장,부산광역시,북구,"[35.20516993580488, 129.00310352450472]"
143,만덕시장,부산광역시,북구,"[35.21170445656824, 129.03450790336143]"
144,구남시장,부산광역시,북구,"[35.2024396, 128.996957]"
145,덕천시장,부산광역시,북구,"[35.208447927474985, 129.01256797302548]"
146,새구포종합상가시장,부산광역시,북구,"[35.20937372160834, 129.00894785199125]"
147,흥아대림상가,부산광역시,북구,"[35.2317068, 129.013972]"
148,롯데쇼핑(주)롯데마트화명점,부산광역시,북구,"[35.23239171147699, 129.0121244624486]"
149,(주)농협유통 하나로클럽 부산점,부산광역시,북구,"[35.24722170283541, 129.01039157502976]"
150,덕천지하상가 태아쇼핑,부산광역시,북구,"[35.20744442772524, 129.00511667787677]"
151,뉴코아 덕천점,부산광역시,북구,"[35.208391958033026, 129.00665889715793]"
152,(주)메가마트 덕천점,부산광역시,북구,"[35.21139337040666, 129.02157199128303]"
153,(주) 지에스리테일 구포점,부산광역시,북구,"[35.20299083185367, 129.0027419053976]"
154,(주)지에스리테일 만덕점,부산광역시,북구,"[35.20749411788172, 129.02339044126285]"
155,예스홈마트,부산광역시,북구,"[35.20872652128215, 129.0063581562489]"
156,폴라렉스 아울렛,부산광역시,북구,"[35.208391958033026, 129.00665889715793]"
157,홈플러스(주) 익스프레스 부산만덕점,부산광역시,북구,"[35.20489327982333, 129.0290239407119]"
158,홈플러스(주)익스프레스 구남점,부산광역시,북구,"[35.19353321320598, 128.99335369794545]"
159,탑마트 구포점,부산광역시,북구,"[35.196251643264226, 128.99611808169024]"
160,감전제일상가,부산광역시,사상구,"[35.153534084544525, 128.98373737922583]"
161,북부산시장,부산광역시,사상구,"[35.16788516356323, 128.9810760667801]"
162,고려쇼핑센터,부산광역시,사상구,"[35.160548967223015, 128.98110579130986]"
163,우신상가,부산광역시,사상구,"[35.181131237158276, 128.99111376814585]"
164,구덕대림상가,부산광역시,사상구,"[35.13182101437445, 128.99134371800403]"
165,학장반도아파트상가,부산광역시,사상구,"[35.13479737802689, 128.9781956318643]"
166,(주)영해종합시장,부산광역시,사상구,"[35.13791689167117, 128.98711370587515]"
167,부산산업용재 유통상가,부산광역시,사상구,"[35.150448483143215, 128.98056443408285]"
168,주례현대무지개 상가,부산광역시,사상구,"[35.142380871240434, 129.00465936860263]"
169,부산광역시철강판매업협동조합,부산광역시,사상구,"[35.131887994982456, 128.96573412857896]"
170,마트월드,부산광역시,사상구,"[35.13907356535523, 128.97010861678837]"
171,부산산업용품상 협동조합,부산광역시,사상구,"[35.15698349330382, 128.97862578426128]"
172,홈플러스(주)서부산점,부산광역시,사상구,"[35.16151182435597, 128.97694329937505]"
173,성황리마트,부산광역시,사상구,"[35.13567110232446, 128.97696378530824]"
174,관리단대표회의,부산광역시,사상구,"[35.1315727297574, 128.96517284392618]"
175,(주)르네시떼,부산광역시,사상구,"[35.16151182435597, 128.97694329937505]"
176,(주)이마트 사상점,부산광역시,사상구,"[35.16138770190538, 128.97800798719692]"
177,(주)미래도시(경동윈츠빌),부산광역시,사상구,"[35.1465742586731, 129.01241864346014]"
178,(주)지에스리테일주례점,부산광역시,사상구,"[35.14592380810227, 129.00189220359476]"
179,(주)지에스리테일신주례점,부산광역시,사상구,"[35.15112713043762, 129.01241613009196]"
180,롯데쇼핑(주) 롯데슈퍼부산학장점,부산광역시,사상구,"[35.13479737802689, 128.9781956318643]"
181,롯데쇼핑(주)롯데마트사상점,부산광역시,사상구,"[35.124794926936374, 128.9675486628668]"
182,홈플러스(주)익스프레스모라점,부산광역시,사상구,"[35.18302101278128, 128.99137431614722]"
183,(주)농협유통 하나로마트 주례점,부산광역시,사상구,"[35.1465742586731, 129.01241864346014]"
184,홈플러스(주) 안동점,경상북도,안동시,"[36.559805996161096, 128.72870309275353]"
185,(주)이마트 안동점,경상북도,안동시,"[36.55572655305904, 128.69854016878418]"
186,안동봉화축산업협동조합 하나로마트,경상북도,안동시,"[36.570362242111344, 128.68464895050704]"
187,홍천중앙시장,강원도,홍천군,"[37.68848578148651, 127.88530167705882]"
188,홍천종합온천장,강원도,홍천군,"[37.69275269521571, 127.83663037751458]"
189,화천읍5일장터,강원도,화천군,"[38.1029903, 127.706988]"
190,(주)지에스리테일홍천점,강원도,홍천군,"[37.68554956983928, 127.88281137890587]"
191,홍천시장,강원도,홍천군,"[37.6879626481589, 127.88573563889973]"
192,(주) 지에스리테일 홍천점,강원도,홍천군,"[37.68554956983928, 127.88281137890587]"
193,사단법인철암시장,강원도,태백시,"[37.1299744, 129.045862]"
194,사단법인황지자유시장,강원도,태백시,"[37.1700897, 128.995754]"
195,합명회사장성중앙시장,강원도,태백시,"[37.1006918, 129.00969]"
196,(주)이마트,강원도,태백시,"[37.197427603212326, 128.96101633039686]"
197,롯데마트 울산점,울산광역시,남구,"[35.53080282656961, 129.3149268623528]"
198,울산산업공구월드,울산광역시,남구,"[35.532997432849605, 129.34222710017525]"
199,주식회사 야음시장,울산광역시,남구,"[35.52141112489279, 129.33033053278498]"
200,홈플러스테스코(주)울산북구점,울산광역시,북구,"[35.627299291754056, 129.3439610526967]"
201,GS슈퍼 울산옥동점,울산광역시,남구,"[35.531907202743206, 129.29471478800545]"
202,업스퀘어,울산광역시,남구,"[35.53918505771701, 129.33795610934797]"
203,(주)지에스리테일 울산신정점,울산광역시,남구,"[35.53354129700191, 129.29846008066232]"
204,Emarteveryday 울산야음점,울산광역시,남구,"[35.52798529316536, 129.3230434705455]"
205,세이브존 울산점,울산광역시,남구,"[35.54523643962441, 129.32375710938672]"
206,홈플러스 주식회사 울산남구점,울산광역시,남구,"[35.523614313683176, 129.3219349967807]"
207,(주)현대백화점 울산점,울산광역시,남구,"[35.53684744966519, 129.33491764288385]"
