,시도명,시군구명,숙박업소 수
0,강원도,강릉시,879
1,강원도,고성군,395
2,강원도,동해시,186
3,강원도,삼척시,261
4,강원도,속초시,338
5,강원도,양구군,119
6,강원도,양양군,542
7,강원도,영월군,260
8,강원도,원주시,373
9,강원도,인제군,369
10,강원도,정선군,257
11,강원도,철원군,142
12,강원도,춘천시,451
13,강원도,태백시,84
14,강원도,평창군,505
15,강원도,홍천군,426
16,강원도,화천군,210
17,강원도,횡성군,187
18,경기도,가평군,1152
19,경기도,고양시 덕양구,69
20,경기도,고양시 일산동구,32
21,경기도,고양시 일산서구,55
22,경기도,과천시,3
23,경기도,광명시,36
24,경기도,광주시,114
25,경기도,구리시,58
26,경기도,군포시,37
27,경기도,김포시,87
28,경기도,남양주시,198
29,경기도,동두천시,65
30,경기도,부천시,143
31,경기도,성남시 분당구,52
32,경기도,성남시 수정구,129
33,경기도,성남시 중원구,240
34,경기도,수원시 권선구,57
35,경기도,수원시 영통구,21
36,경기도,수원시 장안구,50
37,경기도,수원시 팔달구,248
38,경기도,시흥시,115
39,경기도,안산시 단원구,269
40,경기도,안산시 상록구,69
41,경기도,안성시,98
42,경기도,안양시 동안구,61
43,경기도,안양시 만안구,102
44,경기도,양주시,157
45,경기도,양평군,454
46,경기도,여주시,128
47,경기도,연천군,108
48,경기도,오산시,104
49,경기도,용인시 기흥구,49
50,경기도,용인시 수지구,21
51,경기도,용인시 처인구,172
52,경기도,의왕시,17
53,경기도,의정부시,119
54,경기도,이천시,159
55,경기도,파주시,231
56,경기도,평택시,215
57,경기도,포천시,355
58,경기도,하남시,44
59,경기도,화성시,282
60,경상남도,거제시,656
61,경상남도,거창군,123
62,경상남도,고성군,126
63,경상남도,김해시,169
64,경상남도,남해군,473
65,경상남도,밀양시,208
66,경상남도,사천시,181
67,경상남도,산청군,226
68,경상남도,양산시,187
69,경상남도,의령군,26
70,경상남도,진주시,258
71,경상남도,창녕군,90
72,경상남도,창원시 마산합포구,145
73,경상남도,창원시 마산회원구,117
74,경상남도,창원시 성산구,130
75,경상남도,창원시 의창구,117
76,경상남도,창원시 진해구,100
77,경상남도,통영시,496
78,경상남도,하동군,218
79,경상남도,함안군,54
80,경상남도,함양군,138
81,경상남도,합천군,102
82,경상북도,경산시,80
83,경상북도,경주시,1000
84,경상북도,고령군,29
85,경상북도,구미시,204
86,경상북도,군위군,37
87,경상북도,김천시,156
88,경상북도,문경시,183
89,경상북도,봉화군,67
90,경상북도,상주시,81
91,경상북도,성주군,79
92,경상북도,안동시,236
93,경상북도,영덕군,236
94,경상북도,영양군,24
95,경상북도,영주시,139
96,경상북도,영천시,109
97,경상북도,예천군,48
98,경상북도,울릉군,166
99,경상북도,울진군,219
100,경상북도,의성군,39
101,경상북도,청도군,174
102,경상북도,청송군,67
103,경상북도,칠곡군,100
104,경상북도,포항시 남구,281
105,경상북도,포항시 북구,280
106,광주광역시,광산구,98
107,광주광역시,남구,30
108,광주광역시,동구,119
109,광주광역시,북구,163
110,광주광역시,서구,93
111,대구광역시,남구,37
112,대구광역시,달서구,102
113,대구광역시,달성군,62
114,대구광역시,동구,157
115,대구광역시,북구,78
116,대구광역시,서구,91
117,대구광역시,수성구,49
118,대구광역시,중구,100
119,대전광역시,대덕구,96
120,대전광역시,동구,130
121,대전광역시,서구,81
122,대전광역시,유성구,120
123,대전광역시,중구,165
124,부산광역시,강서구,62
125,부산광역시,금정구,68
126,부산광역시,기장군,99
127,부산광역시,남구,53
128,부산광역시,동구,129
129,부산광역시,동래구,111
130,부산광역시,부산진구,198
131,부산광역시,북구,94
132,부산광역시,사상구,101
133,부산광역시,사하구,72
134,부산광역시,서구,74
135,부산광역시,수영구,131
136,부산광역시,연제구,47
137,부산광역시,영도구,64
138,부산광역시,중구,131
139,부산광역시,해운대구,357
140,서울특별시,강남구,152
141,서울특별시,강동구,71
142,서울특별시,강북구,94
143,서울특별시,강서구,98
144,서울특별시,관악구,82
145,서울특별시,광진구,69
146,서울특별시,구로구,105
147,서울특별시,금천구,64
148,서울특별시,노원구,28
149,서울특별시,도봉구,17
150,서울특별시,동대문구,117
151,서울특별시,동작구,39
152,서울특별시,마포구,184
153,서울특별시,서대문구,90
154,서울특별시,서초구,76
155,서울특별시,성동구,52
156,서울특별시,성북구,87
157,서울특별시,송파구,73
158,서울특별시,양천구,25
159,서울특별시,영등포구,154
160,서울특별시,용산구,133
161,서울특별시,은평구,62
162,서울특별시,종로구,236
163,서울특별시,중구,306
164,서울특별시,중랑구,88
165,세종특별자치시,세종특별자치시,69
166,울산광역시,남구,252
167,울산광역시,동구,61
168,울산광역시,북구,60
169,울산광역시,울주군,226
170,울산광역시,중구,81
171,인천광역시,강화군,397
172,인천광역시,계양구,60
173,인천광역시,남동구,68
174,인천광역시,동구,36
175,인천광역시,미추홀구,149
176,인천광역시,부평구,136
177,인천광역시,서구,64
178,인천광역시,연수구,92
179,인천광역시,옹진군,423
180,인천광역시,중구,321
181,전라남도,강진군,93
182,전라남도,고흥군,155
183,전라남도,곡성군,78
184,전라남도,광양시,208
185,전라남도,구례군,178
186,전라남도,나주시,60
187,전라남도,담양군,177
188,전라남도,목포시,297
189,전라남도,무안군,90
190,전라남도,보성군,112
191,전라남도,순천시,401
192,전라남도,신안군,208
193,전라남도,여수시,859
194,전라남도,영광군,84
195,전라남도,영암군,105
196,전라남도,완도군,265
197,전라남도,장성군,95
198,전라남도,장흥군,81
199,전라남도,진도군,93
200,전라남도,함평군,64
201,전라남도,해남군,169
202,전라남도,화순군,72
203,전라북도,고창군,131
204,전라북도,군산시,163
205,전라북도,김제시,97
206,전라북도,남원시,172
207,전라북도,무주군,212
208,전라북도,부안군,283
209,전라북도,순창군,57
210,전라북도,완주군,124
211,전라북도,익산시,190
212,전라북도,임실군,40
213,전라북도,장수군,32
214,전라북도,전주시 덕진구,222
215,전라북도,전주시 완산구,272
216,전라북도,정읍시,114
217,전라북도,진안군,98
218,제주특별자치도,서귀포시,1424
219,제주특별자치도,제주시,2569
220,충청남도,계룡시,33
221,충청남도,공주시,224
222,충청남도,금산군,95
223,충청남도,논산시,208
224,충청남도,당진시,126
225,충청남도,보령시,428
226,충청남도,부여군,86
227,충청남도,서산시,199
228,충청남도,서천군,130
229,충청남도,아산시,189
230,충청남도,예산군,136
231,충청남도,천안시 동남구,226
232,충청남도,천안시 서북구,129
233,충청남도,청양군,35
234,충청남도,태안군,970
